memory_mode,region_count,episode_count,prediction_count,candidate_count,available_count,outside_coverage_count,top1_accuracy,mean_regret_log2,candidate_top1_accuracy,candidate_mean_regret_log2
cold_start,2,21,18,20,18,1,0.8888888888888888,0.04524156640328578,0.85,0.06022409736905811
cold_start,3,24,23,24,23,1,0.8695652173913043,0.03813951237568916,0.8333333333333334,0.09386735055334257
cold_start_cross_query,2,21,12,20,12,6,1.0,0.0,0.75,0.1085221878969626
cold_start_cross_query,3,24,20,24,20,4,0.85,0.04386043923204254,0.7083333333333334,0.24872993343515182
exact_query_memory,2,21,13,13,13,0,1.0,0.0,1.0,0.0
exact_query_memory,3,24,17,17,17,0,1.0,0.0,1.0,0.0
hierarchical_cold_start,2,21,18,20,18,1,1.0,0.0,0.95,0.019506687606100904
hierarchical_cold_start,3,24,23,24,23,1,0.9130434782608695,0.02693830472981467,0.875,0.08313285989271287
hierarchical_warm_start,2,21,21,21,21,0,1.0,0.0,1.0,0.0
hierarchical_warm_start,3,24,23,24,23,1,0.9130434782608695,0.02693830472981467,0.875,0.08313285989271287
warm_start,2,21,21,21,21,0,1.0,0.0,1.0,0.0
warm_start,3,24,23,24,23,1,0.8695652173913043,0.03813951237568916,0.8333333333333334,0.09386735055334257
warm_start_cross_query,2,21,21,21,21,0,1.0,0.0,1.0,0.0
warm_start_cross_query,3,24,20,24,20,4,0.85,0.04386043923204254,0.7083333333333334,0.24872993343515182
