feature,family,transform,reference_state_count,observed_count,missing_share,distinct_count,selected,decision,panel
elapsed_seconds,execution,log1p,6,6,0.0,6,True,selected,remote_transport
result_row_count,execution,log1p,6,6,0.0,2,True,selected,remote_transport
result_output_byte_count,execution,log1p,6,6,0.0,2,True,selected,remote_transport
shared_blks_hit_sum,execution,log1p,6,6,0.0,3,True,selected,remote_transport
shared_blks_read_sum,execution,log1p,6,6,0.0,1,False,constant,remote_transport
temp_blks_written_sum,execution,log1p,6,6,0.0,1,False,constant,remote_transport
estimated_result_bytes,flow,log1p,6,2,0.6666666666666667,1,False,constant,remote_transport
estimated_remote_output_bytes,flow,log1p,6,6,0.0,6,True,selected,remote_transport
estimated_fanin_bytes,flow,log1p,6,6,0.0,1,False,constant,remote_transport
coordinator_main_plan_total_time_ms,gac,log1p,6,6,0.0,6,True,selected,remote_transport
coordinator_foreign_scan_time_ms_sum,gac,log1p,6,6,0.0,6,True,selected,remote_transport
coordinator_non_foreign_time_share_proxy,gac,identity,6,6,0.0,6,True,selected,remote_transport
coordinator_fanin_rows,gac,log1p,6,6,0.0,1,False,constant,remote_transport
coordinator_fanin_bytes_estimated,gac,log1p,6,6,0.0,1,False,constant,remote_transport
coordinator_final_rows,gac,log1p,6,6,0.0,2,True,selected,remote_transport
coordinator_final_bytes_estimated,gac,log1p,6,6,0.0,2,True,selected,remote_transport
coordinator_blocking_input_rows_sum,gac,log1p,6,6,0.0,1,False,constant,remote_transport
coordinator_temp_written_blocks,gac,log1p,6,6,0.0,1,False,constant,remote_transport
coordinator_hash_batches_max,gac,log1p,6,2,0.6666666666666667,1,False,constant,remote_transport
coordinator_sort_input_rows_sum,gac,log1p,6,4,0.33333333333333337,1,False,constant,remote_transport
coordinator_sort_time_ms_max,gac,log1p,6,4,0.33333333333333337,4,True,selected,remote_transport
coordinator_aggregate_input_rows_sum,gac,log1p,6,4,0.33333333333333337,1,False,constant,remote_transport
coordinator_aggregate_time_ms_max,gac,log1p,6,4,0.33333333333333337,4,True,selected,remote_transport
coordinator_join_input_rows_sum,gac,log1p,6,0,1.0,0,False,all_missing,remote_transport
coordinator_join_time_ms_max,gac,log1p,6,0,1.0,0,False,all_missing,remote_transport
task_count,region,log1p,6,6,0.0,2,True,selected,remote_transport
task_time_mean_ms,region,log1p,6,0,1.0,0,False,all_missing,remote_transport
task_time_cv,region,identity,6,0,1.0,0,False,all_missing,remote_transport
task_rows_mean,region,log1p,6,0,1.0,0,False,all_missing,remote_transport
task_rows_cv,region,identity,6,0,1.0,0,False,all_missing,remote_transport
remote_region_actual_rows_sum,region,log1p,6,6,0.0,4,True,selected,remote_transport
remote_region_actual_rows_cv,region,identity,6,6,0.0,3,True,selected,remote_transport
remote_region_actual_rows_max_share,region,identity,6,6,0.0,3,True,selected,remote_transport
remote_region_actual_time_sum,region,log1p,6,6,0.0,6,True,selected,remote_transport
remote_region_actual_time_cv,region,identity,6,6,0.0,6,True,selected,remote_transport
remote_region_actual_time_max_share,region,identity,6,6,0.0,6,True,selected,remote_transport
remote_region_tuple_bytes_sum,region,log1p,6,6,0.0,6,True,selected,remote_transport
remote_region_tuple_bytes_cv,region,identity,6,6,0.0,2,True,selected,remote_transport
remote_region_tuple_bytes_max_share,region,identity,6,6,0.0,2,True,selected,remote_transport
regional_temp_written_blocks_sum,region,log1p,6,6,0.0,6,True,selected,remote_transport
regional_spill_present,region,identity,6,6,0.0,2,True,selected,remote_transport
remote_citus_map_merge_job_count_sum,citus,log1p,6,0,1.0,0,False,all_missing,remote_transport
remote_citus_dependent_map_task_count_sum,citus,log1p,6,0,1.0,0,False,all_missing,remote_transport
