policy_id,intervention_role,fraction,target_pair_count,full_pair_count,full_strict_pair_count,evaluation_status,grouping_contract
gac_memory,positive_case,0.25,4,15,15,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_memory,positive_case,0.5,8,15,15,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_memory,positive_case,0.75,12,15,15,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_memory,positive_case,1.0,15,15,15,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_regional_reduction,positive_case,0.25,15,60,60,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_regional_reduction,positive_case,0.5,30,60,60,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_regional_reduction,positive_case,0.75,45,60,60,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
gac_regional_reduction,positive_case,1.0,60,60,60,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
hot_shard_placement,positive_case,0.25,13,49,49,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
hot_shard_placement,positive_case,0.5,25,49,49,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
hot_shard_placement,positive_case,0.75,37,49,49,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
hot_shard_placement,positive_case,1.0,49,49,49,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
regional_memory,positive_case,0.25,14,54,54,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
regional_memory,positive_case,0.5,27,54,54,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
regional_memory,positive_case,0.75,41,54,54,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
regional_memory,positive_case,1.0,54,54,54,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,calibration,0.25,2,6,6,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,calibration,0.5,3,6,6,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,calibration,0.75,5,6,6,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,calibration,1.0,6,6,6,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,positive_case,0.25,6,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,positive_case,0.5,12,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,positive_case,0.75,18,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_bundle,positive_case,1.0,24,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_calibration,calibration,0.25,6,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_calibration,calibration,0.5,12,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_calibration,calibration,0.75,18,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
remote_transport_calibration,calibration,1.0,24,24,24,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
repartition_colocation,positive_case,0.25,19,75,75,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
repartition_colocation,positive_case,0.5,38,75,75,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
repartition_colocation,positive_case,0.75,57,75,75,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
repartition_colocation,positive_case,1.0,75,75,75,planned_not_fitted,"pair_id+scenario_family, report template and dataset holdouts"
