pair_id,pressure_axis,intervention_role,mitigation_action,target_scope_canonical,target_scope_source,target_scope_status,stressed_template_id,mitigated_template_id,logical_question_id,dataset_profile_id,dataset_size_class,stressed_condition_id,mitigated_condition_id,stressed_execution_count,mitigated_execution_count,changed_fields,stressed_config_json,mitigated_config_json,target_metric,repeat_count,complete_repeat_count,elapsed_ratio_median,elapsed_ratio_min,elapsed_ratio_max,target_log2_gain_median,target_log2_gain_std,positive_repeat_share,result_equivalence_status,same_row_count,exact_multiset_hash,policy_id,action_display_name,action_kind,policy_display_name,policy_intended_use,expected_changed_fields,expected_no_change,gain_pair_status,strict_gain_eligible,review_gain_eligible,change_contract_status,original_result_equivalence_status,correctness_recovery_status,correctness_recovery_applied
pair-029769d7a614ec361d9ca8fc,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_event_filter_summary,gac_fdw_multiregion_event_filter_summary,event_filter_summary,pilot-balanced-v1,medium,cond-34514b0310eec3f2f78d,cond-557526294dd33fe914c9,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.1083967712298202,0.9722267458214281,1.335322653925635,0.148474413353917,0.2300623714497192,0.6666666666666666,recovery_tolerance_equivalent,True,False,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,same_row_count_hash_diff_review,tolerance_equivalent,True
pair-04c22a9fc525d1b277d0d920,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,raw-small-balanced-v1,small,cond-0ca6989af41f1365178e,cond-d952d76393188006b9a8,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.0941504918904543,1.0283970584293156,1.0941504918904545,0.1298111832604546,0.0487299471928235,1.0,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-069d3fa047f7c6184464cd16,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,raw-large-balanced-v1,large,cond-753420da36a87de37d68,cond-8e41f9726a2bd56409f9,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.0119741100323625,0.9109557407683726,1.0715920751440524,0.0171723811333035,0.1199842457405379,0.6666666666666666,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-0b435013a3aabec8cb733fab,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,pilot-balanced-v1,medium,cond-12d7cccf498a38890bcb,cond-5a2e4daff17e68f7333f,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.0678645169793084,0.9488373980440693,1.147888733239944,0.0947286197961789,0.1386995217840149,0.6666666666666666,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-0d2ba08b5d61e86c106e7dac,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_event_filter_summary,gac_fdw_multiregion_event_filter_summary,event_filter_summary,pilot-balanced-v1,medium,cond-c65dd4c76657bc34b12e,cond-d8c8cfe1754a04afb8ca,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.9473655959937736,0.8563632445080742,0.9885842481674607,-0.0780068141337816,0.1063881531326101,0.0,recovery_tolerance_equivalent,True,False,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,same_row_count_hash_diff_review,tolerance_equivalent,True
pair-0f3140749ce196dd71356d43,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,raw-small-balanced-v1,small,cond-428e3a1550a02ead4f12,cond-6adc2e2ebf0003bcc142,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.950430120932552,0.9247309146822923,1.1223057772321123,-0.0733475362829621,0.1564118840414773,0.3333333333333333,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-15f4fd594cb7851dffe211c9,gac_finalization,positive_case,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_coordinator_raw_user_topk,gac_fdw_coordinator_raw_user_topk,user_value_topk,pilot-balanced-v1,medium,cond-42f66f3e214d11482c92,cond-76a3ddaad1432bc83908,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""physical_strategy_id"":[""gac_raw_aggregate""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_coordinator_raw_user_topk""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""physical_strategy_id"":[""gac_raw_aggregate""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_coordinator_raw_user_topk""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.1273732051063403,1.1109585738777108,1.1731167276896954,0.1729651836795841,0.0419884439281592,1.0,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-2034afdb01f7315139905266,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_event_filter_summary,gac_fdw_multiregion_event_filter_summary,event_filter_summary,raw-small-balanced-v1,small,cond-109eaf6418bdd7537278,cond-c3f81cbcec3c9d0d8dcf,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,1.054388685723768,0.8793625344705956,1.1603004716409147,0.0764067944857367,0.2000948883006915,0.6666666666666666,recovery_tolerance_equivalent,True,False,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,same_row_count_hash_diff_review,tolerance_equivalent,True
pair-21c81f6894e355cd61af0d88,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_event_filter_summary,gac_fdw_multiregion_event_filter_summary,event_filter_summary,raw-small-balanced-v1,small,cond-7d1a93a610e20bf7f4ee,cond-aa96686f5ce9bcb1629d,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-small-balanced-v1""],""dataset_size_class"":[""small""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_event_filter_summary""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.9377439867745868,0.9377439867745869,1.0593239332313418,-0.0927339881638248,0.0888896187764259,0.6666666666666666,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-250ccfb451be987f237643d9,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,raw-large-balanced-v1,large,cond-8e69621c6d4e564d0d3b,cond-b87f4a31567922e50309,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.984903778409316,0.9849037784093159,1.008380582910574,-0.0219453096000923,0.0172337399179443,0.6666666666666666,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-279b2355d7d8bfe4a2498bbd,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,pilot-balanced-v1,medium,cond-14bc500d3c557fabec6b,cond-3c2309470e41fc823816,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.9488109107796092,0.8981199268503963,1.0279115375860197,-0.0758074947450897,0.0979306500796316,0.3333333333333333,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-2ce26eab2d775d5183040c62,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,pilot-balanced-v1,medium,cond-602cae79262b46ce77ff,cond-b114317ebd57c018cb12,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""pilot-balanced-v1""],""dataset_size_class"":[""medium""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.9661405650505756,0.8312664889039376,0.969140607916029,-0.0496949909728983,0.1207594057711305,0.0,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
pair-2d0a83973a3266484f5e6d2b,gac_finalization,negative_control,increase_gac_work_mem,global_query,inferred_from_gac_execution,ok,gac_fdw_multiregion_tenant_point_raw_finalize,gac_fdw_multiregion_tenant_point_raw_finalize,tenant_point_rollup,raw-large-balanced-v1,large,cond-0f540e6afb587b1cc160,cond-e0c0d217c0c387ae444f,3,3,runtime_config_id|work_mem,"{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_stressed""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""64kB""]}","{""dataset_profile_id"":[""raw-large-balanced-v1""],""dataset_size_class"":[""large""],""execution_strategy"":[""multiregion_union""],""regional_pg_options_json"":[""{}""],""runtime_config_id"":[""pressure_gac_memory_mitigated""],""template_id"":[""gac_fdw_multiregion_tenant_point_raw_finalize""],""work_mem"":[""256MB""]}",paired_coordinator_severity_vector,3,3,0.9884380538164484,0.9720910032914787,1.05677596577887,-0.0167775409229449,0.0627299628080206,0.6666666666666666,exact_multiset,True,True,gac_memory,Povećaj GAC work_mem,deployable_action,Povećanje GAC work_mem,limited_gain_candidate,work_mem|runtime_config_id,False,strict_eligible,True,True,ok_expected_change,exact_multiset,,False
