matrix,feature,row_count,non_null_count,null_count,null_fraction,non_numeric_count,distinct_non_null_count,min,max,reason
m0,has_materialize,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m0,nested_loop_count,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m0,remote_region_actual_rows_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_region_zero_row_count,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m0,remote_region_tuple_bytes_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_region_task_count_cv,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,remote_region_task_count_max_share,150,138,12,0.08,0,1,0.5,0.5,constant_non_null_values
m0,remote_region_task_count_min_max_ratio,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_region_task_count_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_region_plan_fingerprint_count,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_region_dominant_plan_fingerprint_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,remote_has_hash_join,150,144,6,0.04,0,1,0.0,0.0,constant_non_null_values
m0,citus_map_merge_job_count,150,0,150,1.0,0,0,,,too_few_non_null_values
m0,citus_repartition_query,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_index_scan_share,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_join_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_sort_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_materialization_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_parallel_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_region_task_count_cv,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_task_within_region_plan_fingerprint_count_max,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,worker_task_within_region_plan_fingerprint_count_mean,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m0,worker_node_count_index_scan,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_index_only_scan,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_hash_join,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_merge_join,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_nested_loop,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_sort,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_incremental_sort,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_hash_aggregate,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_group_aggregate,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_materialize,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_memoize,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m0,worker_node_count_other,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,join_min_depth,150,39,111,0.74,0,1,8.0,8.0,constant_non_null_values
m1,custom_scan_min_depth,150,6,144,0.96,0,1,2.0,2.0,null_fraction_above_threshold
m1,custom_scan_max_depth,150,6,144,0.96,0,1,2.0,2.0,null_fraction_above_threshold
m1,remote_join_present,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,dominant_time_node_depth,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,has_materialize,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,nested_loop_count,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,remote_region_actual_rows_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_region_zero_row_count,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,remote_region_tuple_bytes_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_region_task_count_cv,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,remote_region_task_count_max_share,150,138,12,0.08,0,1,0.5,0.5,constant_non_null_values
m1,remote_region_task_count_min_max_ratio,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_region_task_count_active_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_region_plan_fingerprint_count,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_region_dominant_plan_fingerprint_share,150,138,12,0.08,0,1,1.0,1.0,constant_non_null_values
m1,remote_has_hash_join,150,144,6,0.04,0,1,0.0,0.0,constant_non_null_values
m1,citus_map_merge_job_count,150,0,150,1.0,0,0,,,too_few_non_null_values
m1,citus_repartition_query,150,150,0,0.0,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_index_scan_share,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_join_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_sort_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_materialization_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_parallel_node_count,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
m1,worker_task_region_task_count_cv,150,138,12,0.08,0,1,0.0,0.0,constant_non_null_values
