matrix,source_feature,output_feature,status,reason,transform,imputation,center,scale,null_fraction,non_null_count,distinct_non_null_count
m0,main_root_actual_total_time_ms,main_root_actual_total_time_ms,kept,,log1p,none,7.031974921354249,1.7048878126393499,0.0,150,150
m0,main_root_actual_rows,main_root_actual_rows,kept,,log1p,none,2.8004578552261497,1.4568637102940716,0.0,150,10
m0,main_root_plan_rows,main_root_plan_rows,kept,,log1p,none,2.9715964611327927,1.4710367731592762,0.0,150,11
m0,main_total_cost,main_total_cost,kept,,log1p,none,6.696990827964611,0.7295879952455641,0.0,150,20
m0,has_foreign_scan,has_foreign_scan,kept,,identity,none,0.92,0.2712931993250107,0.0,150,2
m0,has_custom_scan,has_custom_scan,kept,,identity,none,0.04,0.19595917942265423,0.0,150,2
m0,has_join,has_join,kept,,identity,none,0.26,0.4386342439892262,0.0,150,2
m0,has_sort,has_sort,kept,,identity,none,0.8,0.4,0.0,150,2
m0,has_hash,has_hash,kept,,identity,none,0.1,0.30000000000000004,0.0,150,2
m0,has_aggregate,has_aggregate,kept,,identity,none,0.88,0.32496153618543844,0.0,150,2
m0,has_limit,has_limit,kept,,identity,none,0.7,0.458257569495584,0.0,150,2
m0,join_node_count,join_node_count,kept,,identity,none,0.68,1.24,0.0,150,3
m0,hash_join_count,hash_join_count,kept,,identity,none,0.36,1.1092339699089637,0.0,150,3
m0,merge_join_count,merge_join_count,kept,,identity,none,0.32,0.7332121111929343,0.0,150,2
m0,remote_path_share,remote_path_share,kept,,identity,none,0.8645479398120892,0.26630960617848837,0.0,150,139
m0,fdw_remote_sql_count,fdw_remote_sql_count,kept,,identity,none,2.52,1.4316424134538623,0.0,150,4
m0,fdw_remote_plan_count,fdw_remote_plan_count,kept,,identity,median,2.68,1.24,0.08,138,3
m0,fdw_remote_plan_count,fdw_remote_plan_count__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_actual_rows_sum,remote_region_actual_rows_sum,kept,,log1p,median,12.217555431394787,2.0857004709546216,0.08,138,16
m0,remote_region_actual_rows_sum,remote_region_actual_rows_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_actual_rows_cv,remote_region_actual_rows_cv,kept,,identity,median,0.24195637150211827,0.367326456023569,0.08,138,9
m0,remote_region_actual_rows_cv,remote_region_actual_rows_cv__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_actual_rows_max_share,remote_region_actual_rows_max_share,kept,,identity,median,0.6209781857510592,0.1836632280117845,0.08,138,9
m0,remote_region_actual_rows_max_share,remote_region_actual_rows_max_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_actual_rows_min_max_ratio,remote_region_actual_rows_min_max_ratio,kept,,identity,median,0.7306791896517013,0.406819063714751,0.08,138,9
m0,remote_region_actual_rows_min_max_ratio,remote_region_actual_rows_min_max_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_actual_rows_active_share,remote_region_actual_rows_active_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_nonzero_count,remote_region_nonzero_count,kept,,identity,none,1.84,0.5425863986500215,0.0,150,2
m0,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_sum,kept,,log1p,median,15.46306271082964,1.7941574180726498,0.08,138,28
m0,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_tuple_bytes_cv,remote_region_tuple_bytes_cv,kept,,identity,median,0.24197220351407447,0.3673151819579718,0.08,138,19
m0,remote_region_tuple_bytes_cv,remote_region_tuple_bytes_cv__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_max_share,kept,,identity,median,0.6209861017570373,0.1836575909789859,0.08,138,19
m0,remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_max_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_tuple_bytes_min_max_ratio,remote_region_tuple_bytes_min_max_ratio,kept,,identity,median,0.7306479059760668,0.4068007039556773,0.08,138,19
m0,remote_region_tuple_bytes_min_max_ratio,remote_region_tuple_bytes_min_max_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_tuple_bytes_active_share,remote_region_tuple_bytes_active_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_task_count_sum,remote_region_task_count_sum,kept,,log1p,median,4.217695203415449,0.7007270919855914,0.08,138,5
m0,remote_region_task_count_sum,remote_region_task_count_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_task_count_cv,remote_region_task_count_cv__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_task_count_max_share,remote_region_task_count_max_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_task_count_min_max_ratio,remote_region_task_count_min_max_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_task_count_active_share,remote_region_task_count_active_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_plan_fingerprint_count,remote_region_plan_fingerprint_count__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_region_dominant_plan_fingerprint_share,remote_region_dominant_plan_fingerprint_share__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_plan_node_count_sum,remote_plan_node_count_sum,kept,,log1p,median,1.4204865266175117,0.7637563268642977,0.04,144,5
m0,remote_plan_node_count_sum,remote_plan_node_count_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,remote_plan_max_depth,remote_plan_max_depth,kept,,identity,median,0.14666666666666667,0.6365183073216006,0.04,144,4
m0,remote_plan_max_depth,remote_plan_max_depth__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,remote_has_custom_scan,remote_has_custom_scan,kept,,identity,median,0.96,0.19595917942265426,0.04,144,2
m0,remote_has_custom_scan,remote_has_custom_scan__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,remote_has_sort,remote_has_sort,kept,,identity,median,0.04,0.19595917942265423,0.04,144,2
m0,remote_has_sort,remote_has_sort__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,remote_has_hash_join,remote_has_hash_join__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,remote_actual_rows_sum,remote_actual_rows_sum,kept,,log1p,median,12.234830060587605,1.7799637104504984,0.04,144,22
m0,remote_actual_rows_sum,remote_actual_rows_sum__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,global_fanin_ratio,global_fanin_ratio,kept,,log1p,median,8.364337137943274,2.399643680091582,0.08,138,133
m0,global_fanin_ratio,global_fanin_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.08,0.2712931993250107,,,2
m0,remote_to_final_rows_ratio,remote_to_final_rows_ratio,kept,,log1p,median,9.367500542659151,2.4343669073161895,0.04,144,37
m0,remote_to_final_rows_ratio,remote_to_final_rows_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,finalize_share,finalize_share,kept,,identity,none,0.13545206018791073,0.26630960617848837,0.0,150,139
m0,drf_bytes_proxy,drf_bytes_proxy,kept,,log1p,median,0.9371934400928404,1.6113474921291076,0.04,144,6
m0,drf_bytes_proxy,drf_bytes_proxy__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,wan_output_rows,wan_output_rows,kept,,log1p,median,12.172708453973149,2.0868772113601923,0.04,144,22
m0,wan_output_rows,wan_output_rows__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,wan_output_bytes_proxy,wan_output_bytes_proxy,kept,,log1p,median,15.233768564044503,2.049339778416875,0.04,144,31
m0,wan_output_bytes_proxy,wan_output_bytes_proxy__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,regional_reduction_input_rows_proxy,regional_reduction_input_rows_proxy,kept,,log1p,median,12.432581153135033,1.2670927286912728,0.04,144,22
m0,regional_reduction_input_rows_proxy,regional_reduction_input_rows_proxy__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,regional_reduction_input_bytes_proxy,regional_reduction_input_bytes_proxy,kept,,log1p,median,15.505357037518252,1.8083574464578964,0.04,144,33
m0,regional_reduction_input_bytes_proxy,regional_reduction_input_bytes_proxy__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,drf_rows_proxy,drf_rows_proxy,kept,,log1p,median,0.9371934400928404,1.6113474921291076,0.04,144,4
m0,drf_rows_proxy,drf_rows_proxy__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,wan_output_to_final_rows_ratio,wan_output_to_final_rows_ratio,kept,,log1p,median,9.574222834211033,2.1299811677567186,0.04,144,40
m0,wan_output_to_final_rows_ratio,wan_output_to_final_rows_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,global_group_count_proxy,global_group_count_proxy,kept,,log1p,none,2.8004578552261497,1.4568637102940716,0.0,150,10
m0,global_group_density,global_group_density,kept,,identity,median,0.010281553205882477,0.06996460216066315,0.04,144,40
m0,global_group_density,global_group_density__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,global_group_merge_ratio,global_group_merge_ratio,kept,,log1p,median,9.574222834211033,2.1299811677567186,0.04,144,40
m0,global_group_merge_ratio,global_group_merge_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,task_count_to_shard_count_ratio,task_count_to_shard_count_ratio,kept,,identity,median,2.36875,1.0171382956609194,0.04,144,6
m0,task_count_to_shard_count_ratio,task_count_to_shard_count_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_ratio,kept,,identity,median,1.184375,0.5085691478304597,0.04,144,6
m0,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_ratio,kept,,identity,median,1.204375,0.4907826179939546,0.04,144,5
m0,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,active_task_share,active_task_share,kept,,identity,median,1.204375,0.4907826179939546,0.04,144,5
m0,active_task_share,active_task_share__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,tasks_per_worker_ratio,tasks_per_worker_ratio,kept,,log1p,median,2.871637257054586,0.5980655200541145,0.04,144,6
m0,tasks_per_worker_ratio,tasks_per_worker_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
m0,temp_bytes_to_wan_bytes_ratio,temp_bytes_to_wan_bytes_ratio,kept,,log1p,median,1.6962061331982103,1.1899881713110145,0.04,144,47
m0,temp_bytes_to_wan_bytes_ratio,temp_bytes_to_wan_bytes_ratio__is_missing,kept,missing_indicator,identity,not_applicable,0.04,0.19595917942265423,,,2
