matrix,query_run_id,kept,reason
m0,20260702T013121Z-clean-run-eu-us-gac-region-asymmetry--3bac889b763f--gion_global_user_join__lookback_days-30__limit_k-50,1,
m0,20260702T013142Z-clean-run-eu-us-gac-region-asymmetry--a9bb6af3e084--vent_filter_summary__lookback_days-1__min_value-900,1,
m0,20260702T013156Z-clean-run-eu-us-gac-region-asymmetry--070dfdc21c67--lti_dimension_rollup__lookback_days-30__limit_k-100,1,
m0,20260702T013216Z-clean-run-eu-us-gac-region-asymmetry--14a824853ab9--rollup__lookback_days-30__min_value-500__limit_k-50,1,
m0,20260702T013232Z-clean-run-eu-us-gac-region-asymmetry--8feef1e53d5c--_rollup__lookback_days-1__min_value-500__limit_k-50,1,
m0,20260702T013248Z-clean-run-eu-us-gac-region-asymmetry--8962701ce130--ltiregion_top_tenants__lookback_days-30__limit_k-50,1,
m0,20260702T013304Z-clean-run-eu-us-gac-region-asymmetry--bbc75dad398d--u_tenant_id-1__us_tenant_id-10001__lookback_days-30,1,
m0,20260702T013319Z-clean-run-eu-us-gac-region-asymmetry--825cc13bd8b1--nt_rollup__lookback_days-1__min_value-0__limit_k-50,1,
m0,20260702T013337Z-clean-run-eu-us-gac-region-asymmetry--9a7d87573b27--fdw_multiregion_raw_region_rollup__lookback_days-30,1,
m0,20260702T013353Z-clean-run-eu-us-gac-region-asymmetry--a85d09d19f95--gion_global_user_join__lookback_days-30__limit_k-25,1,
m0,20260702T013413Z-clean-run-eu-us-gac-region-asymmetry--bcb583497976--egion_global_user_join__lookback_days-7__limit_k-25,1,
m0,20260702T013433Z-clean-run-eu-us-gac-region-asymmetry--c23090b2835e--ltiregion_top_tenants__lookback_days-30__limit_k-25,1,
m0,20260702T013451Z-clean-run-eu-us-gac-region-asymmetry--2c50cd617799--c_fdw_multiregion_event_full_scan_summary__case-001,1,
m0,20260702T013507Z-clean-run-eu-us-gac-region-asymmetry--705ca06ba078--gion_user_segment_join__lookback_days-7__limit_k-25,1,
m0,20260702T013527Z-clean-run-eu-us-gac-region-asymmetry--19ac42525edb--ultiregion_top_tenants__lookback_days-1__limit_k-25,1,
m0,20260702T013544Z-clean-run-eu-us-gac-region-asymmetry--0b82b380da68--ent_filter_summary__lookback_days-30__min_value-900,1,
m0,20260702T013600Z-clean-run-eu-us-gac-region-asymmetry--6e937252da52--ion_user_segment_join__lookback_days-30__limit_k-25,1,
m0,20260702T013619Z-clean-run-eu-us-gac-region-asymmetry--17b1fd8e806e--nt_rollup__lookback_days-7__min_value-0__limit_k-50,1,
m0,20260702T013638Z-clean-run-eu-us-gac-region-asymmetry--3a7f7940bd9f--ultiregion_top_tenants__lookback_days-1__limit_k-50,1,
m0,20260702T013656Z-clean-run-eu-us-gac-region-asymmetry--a77f9178750a--vent_filter_summary__lookback_days-7__min_value-500,1,
m0,20260702T013713Z-clean-run-eu-us-gac-region-asymmetry--a3fe379e2a91--_fdw_multiregion_raw_region_rollup__lookback_days-7,1,
m0,20260702T013734Z-clean-run-eu-us-gac-region-asymmetry--e59143778e2b--__limit_k-250__payload_repeat-16__payload_width-512,1,
m0,20260702T013753Z-clean-run-eu-us-gac-region-asymmetry--529744ab08b0--ulti_dimension_rollup__lookback_days-7__limit_k-100,1,
m0,20260702T013815Z-clean-run-eu-us-gac-region-asymmetry--e12307bfd499--multi_dimension_rollup__lookback_days-7__limit_k-50,1,
m0,20260702T013837Z-clean-run-eu-us-gac-region-asymmetry--53fdb70a8bb1--__limit_k-100__payload_repeat-16__payload_width-512,1,
