query_run_id,main_root_actual_total_time_ms,main_root_actual_rows,main_root_plan_rows,main_total_cost,has_foreign_scan,has_custom_scan,has_join,has_sort,has_hash,has_aggregate,has_limit,has_materialize,join_node_count,hash_join_count,merge_join_count,nested_loop_count,remote_path_share,fdw_remote_sql_count,fdw_remote_plan_count,remote_region_actual_rows_sum,remote_region_actual_rows_cv,remote_region_actual_rows_max_share,remote_region_actual_rows_min_max_ratio,remote_region_actual_rows_active_share,remote_region_zero_row_count,remote_region_nonzero_count,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_cv,remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_min_max_ratio,remote_region_tuple_bytes_active_share,remote_region_task_count_sum,remote_region_task_count_cv,remote_region_task_count_max_share,remote_region_task_count_min_max_ratio,remote_region_task_count_active_share,remote_region_plan_fingerprint_count,remote_region_dominant_plan_fingerprint_share,remote_plan_node_count_sum,remote_plan_max_depth,remote_has_custom_scan,remote_has_sort,remote_has_hash_join,remote_actual_rows_sum,global_fanin_ratio,remote_to_final_rows_ratio,finalize_share,drf_bytes_proxy,wan_output_rows,wan_output_bytes_proxy,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,drf_rows_proxy,wan_output_to_final_rows_ratio,global_group_count_proxy,global_group_density,global_group_merge_ratio,task_count_to_shard_count_ratio,task_count_to_configured_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_ratio,active_task_share,tasks_per_worker_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,temp_blocks_per_regional_input_row,spill_per_wan_mb,root_rows_estimate_error_log,rows_estimate_error_max_abs_log,rows_estimate_error_mean_abs_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,join_rows_estimate_error_log,sort_rows_estimate_error_log,remote_root_rows_estimate_error_log,temp_blocks_sum,spill_flag,external_sort_count,sort_space_used_max,hash_batches_max,memory_pressure_score_v1,task_count,citus_map_merge_job_count,citus_repartition_query,worker_task_plan_count,worker_task_actual_rows_sum,worker_task_actual_rows_cv,worker_task_actual_rows_max_share,worker_task_scan_actual_rows_sum,worker_task_scan_actual_rows_cv,worker_task_scan_actual_rows_max_share,remote_region_rows_isf,remote_region_bytes_isf,worker_task_scan_rows_isf,worker_task_root_rows_isf,worker_task_within_region_scan_rows_isf_max,worker_task_index_scan_share,worker_task_seq_scan_share,worker_task_bitmap_scan_share,worker_task_node_count_sum,worker_task_plan_max_depth_max,worker_task_plan_max_depth_mean,worker_task_join_node_count,worker_task_aggregate_node_count,worker_task_sort_node_count,worker_task_blocking_node_count,worker_task_scan_node_count,worker_task_materialization_node_count,worker_task_parallel_node_count,worker_task_bitmap_node_count,worker_task_index_access_node_count,worker_task_sequential_access_node_count,worker_task_spill_capable_node_count,worker_task_plan_fingerprint_count,worker_task_plan_fingerprint_dominant_share,worker_task_region_task_count_cv,worker_task_region_rows_cv,worker_task_region_rows_max_share,worker_task_region_scan_rows_cv,worker_task_region_scan_rows_max_share,worker_task_within_region_rows_cv_max,worker_task_within_region_rows_cv_mean,worker_task_within_region_rows_max_share_max,worker_task_within_region_scan_rows_cv_max,worker_task_within_region_scan_rows_cv_mean,worker_task_within_region_scan_rows_max_share_max,worker_task_within_region_plan_fingerprint_count_max,worker_task_within_region_plan_fingerprint_count_mean,main_node_type_count_Aggregate,main_node_type_count_Append,main_node_type_count_CTEScan,main_node_type_count_ForeignScan,main_node_type_count_Sort,main_node_type_count_Limit,main_node_type_count_SubqueryScan,worker_node_count_seq_scan,worker_node_count_index_scan,worker_node_count_index_only_scan,worker_node_count_bitmap_heap_scan,worker_node_count_bitmap_index_scan,worker_node_count_hash_join,worker_node_count_merge_join,worker_node_count_nested_loop,worker_node_count_sort,worker_node_count_incremental_sort,worker_node_count_hash_aggregate,worker_node_count_group_aggregate,worker_node_count_aggregate,worker_node_count_materialize,worker_node_count_memoize,worker_node_count_other
20260725T113706Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,41.08,2.0,6.0,306.09,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956669912366115,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,39.0,200.0,0.004333008763388444,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,-0.8472978603872037,2.423537703411708,2.119573379453389,2.374905754573672,-0.8472978603872037,,2.423537703411708,5.303304908059076,0.0,0.0,0.0,28.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2737.077,50.0,50.0,1062.82,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9685259128625172,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,1794.06,8000.0,0.03147408713748277,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,5.908703071672355,0.0173125,138.5,0.0173125,756.3139931740615,0.0,4.369914099519795,2.802757524147003,4.369914099519795,2.2980974265246576,,2.2980974265246576,0.693142180597445,6925.0,1.0,0.0,158.0,1.0,8.843037724962368,64.0,,0,64.0,400000.0,0.1650212107578901,0.0235,400000.0,0.1650212107578901,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.1891454466805902,0.1629247533028353,0.047,0.1891454466805902,0.1629247533028353,0.047,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2563.409,50.0,50.0,1062.82,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9704237599228214,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,1793.98,8000.0,0.029576240077178576,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,5.908703071672355,0.0173125,138.5,0.0173125,756.3139931740615,0.0,4.369847506105859,2.802739706920732,4.369847506105859,2.2980974265246576,,2.2980974265246576,0.693142180597445,6925.0,1.0,0.0,158.0,1.0,8.843037724962368,64.0,,0,64.0,400000.0,0.1650212107578901,0.0235,400000.0,0.1650212107578901,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.1891454466805902,0.1629247533028353,0.047,0.1891454466805902,0.1629247533028353,0.047,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,41.682,2.0,2.0,305.8,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981526798138286,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,39.0,200.0,0.0018473201861714452,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3749057545736716,0.766588217683001,2.374905754573672,0.0,,0.0,5.303304908059076,0.0,0.0,0.0,25.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,41.45,2.0,6.0,306.09,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966706875753919,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,39.0,200.0,0.0033293124246080875,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,-0.8472978603872037,2.423537703411708,2.119573379453389,2.374905754573672,-0.8472978603872037,,2.423537703411708,5.303304908059076,0.0,0.0,0.0,28.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,2553.96,50.0,50.0,1049.08,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9867437234725682,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,1793.92,8000.0,0.013256276527431818,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,3.167235494880546,0.00928,74.24,0.00928,405.4061433447099,0.0,4.369803108032728,2.0199149720122396,4.369803108032728,2.2980974265246576,,1.637822990965287,0.693142180597445,3712.0,1.0,0.0,158.0,1.0,8.21959545417708,64.0,,0,64.0,400000.0,0.1650212107578901,0.0235,400000.0,0.1650212107578901,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.1891454466805902,0.1629247533028353,0.047,0.1891454466805902,0.1629247533028353,0.047,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,2271.268,50.0,50.0,1049.08,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9902450965716068,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,1793.9,8000.0,0.00975490342839328,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,3.167235494880546,0.00928,74.24,0.00928,405.4061433447099,0.0,4.369780908256945,2.0199129538508043,4.369780908256945,2.2980974265246576,,1.637822990965287,0.693142180597445,3712.0,1.0,0.0,158.0,1.0,8.21959545417708,64.0,,0,64.0,400000.0,0.1650212107578901,0.0235,400000.0,0.1650212107578901,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.1891454466805902,0.1629247533028353,0.047,0.1891454466805902,0.1629247533028353,0.047,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,2576.457,50.0,50.0,1062.82,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9639438965990894,2.0,2.0,400000.0,0.0,0.5,1.0,1.0,0.0,2.0,9601024.0,0.0,0.5,1.0,1.0,64.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400000.0,1793.86,8000.0,0.03605610340091061,1.0,400000.0,9601024.0,400000.0,9601024.0,1.0,8000.0,50.0,0.000125,8000.0,2.0,1.0,1.0,1.0,16.0,5.908703071672355,0.0173125,138.5,0.0173125,756.3139931740615,0.0,4.3697587079883204,2.80271296965243,4.36975870798832,2.2980974265246576,,2.2980974265246576,0.693142180597445,6925.0,1.0,0.0,158.0,1.0,8.843037724962368,64.0,,0,64.0,400000.0,0.1650212107578901,0.0235,400000.0,0.1650212107578901,0.0235,1.0,1.0,1.504,1.504,1.504,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.1891454466805902,0.1629247533028353,0.047,0.1891454466805902,0.1629247533028353,0.047,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,46.208,2.0,2.0,305.8,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982686980609419,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,39.0,200.0,0.0017313019390581348,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3749057545736716,0.766588217683001,2.374905754573672,0.0,,0.0,5.303304908059076,0.0,0.0,0.0,25.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,44.457,2.0,6.0,306.09,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974132307623096,2.0,2.0,400.0,0.0,0.5,1.0,1.0,0.0,2.0,9600.0,0.0,0.5,1.0,1.0,2.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,400.0,39.0,200.0,0.0025867692376903974,2.0,400.0,9600.0,800.0,19200.0,2.0,200.0,2.0,0.005,200.0,0.0625,0.03125,0.03125,0.03125,0.5,0.0,0.0,0.0,0.0,0.0,-0.8472978603872037,2.423537703411708,2.119573379453389,2.374905754573672,-0.8472978603872037,,2.423537703411708,5.303304908059076,0.0,0.0,0.0,28.0,1.0,0.0,2.0,,0,2.0,400.0,0.0,0.5,800.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
