query_run_id,dataset_id,runtime_config_id,template_id,instance_id,severity_contract,severity_model_role,severity_score,severity_band,deployment_relative_intensity_score,wan_fetch_intensity_score,memory_spill_intensity_score,imbalance_intensity_score,capacity_intensity_score,corpus_relative_severity_score,sum_pressure_score,tail_pressure_score,capacity_relative_severity_score,timeout_relative_severity_score,severity_basis,execution_time_seconds,execution_time_corpus_percentile,hard_timeout_seconds,timeout_utilization_ratio,wan_output_rows,wan_output_bytes,wan_output_mb,wan_output_bytes_corpus_percentile,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_corpus_percentile,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,regional_reduction_input_mb_proxy,drf_rows_proxy,drf_bytes_proxy,temp_blocks_sum,temp_mb,temp_blocks_corpus_percentile,remote_region_rows_isf,remote_region_rows_isf_corpus_percentile,worker_task_scan_rows_isf,worker_task_scan_rows_isf_corpus_percentile,worker_task_within_region_scan_rows_isf_max,worker_task_within_region_scan_rows_isf_corpus_percentile,active_task_share,active_task_share_corpus_percentile,tasks_per_worker_ratio,tasks_per_worker_ratio_corpus_percentile,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_corpus_percentile,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_corpus_percentile
20260725T113706Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,,default,gac_fdw_multiregion_tenant_point_raw_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.4602055994052901,low,0.4602055994052901,0.4602055994052901,0.0,0.0,0.0,,0.4602055994052901,0.0,0.0,0.00038837333333333334,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",0.116512,,300.0,0.00038837333333333334,400.0,9600.0,0.0091552734375,,9600.0,,800.0,19200.0,0.018310546875,2.0,2.0,0.0,0.0,,1.0,,1.0,,1.0,,0.03125,,0.5,,0.03125,,0.03125,
20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,,default,gac_fdw_multiregion_top_tenants_raw_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,0.7806173193661903,1.0,0.168,0.543457015946535,,1.0,0.168,0.543457015946535,0.009397453333333333,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.819236,,300.0,0.009397453333333333,400000.0,9601024.0,9.15625,,9601024.0,,400000.0,9601024.0,9.15625,1.0,1.0,6925.0,54.1015625,,1.0,,1.504,,1.504,,1.0,,16.0,,1.0,,1.0,
20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,,default,gac_fdw_multiregion_top_tenants_raw_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,0.7806173193661903,1.0,0.168,0.543457015946535,,1.0,0.168,0.543457015946535,0.008827733333333334,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.64832,,300.0,0.008827733333333334,400000.0,9601024.0,9.15625,,9601024.0,,400000.0,9601024.0,9.15625,1.0,1.0,6925.0,54.1015625,,1.0,,1.504,,1.504,,1.0,,16.0,,1.0,,1.0,
20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,,default,gac_fdw_multiregion_tenant_point_rollup,A-confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.4602055994052901,low,0.4602055994052901,0.4602055994052901,0.0,0.0,0.0,,0.4602055994052901,0.0,0.0,0.0003710433333333333,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",0.111313,,300.0,0.0003710433333333333,400.0,9600.0,0.0091552734375,,9600.0,,800.0,19200.0,0.018310546875,2.0,2.0,0.0,0.0,,1.0,,1.0,,1.0,,0.03125,,0.5,,0.03125,,0.03125,
20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,,default,gac_fdw_multiregion_tenant_point_raw_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.4602055994052901,low,0.4602055994052901,0.4602055994052901,0.0,0.0,0.0,,0.4602055994052901,0.0,0.0,0.0003625166666666667,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",0.108755,,300.0,0.0003625166666666667,400.0,9600.0,0.0091552734375,,9600.0,,800.0,19200.0,0.018310546875,2.0,2.0,0.0,0.0,,1.0,,1.0,,1.0,,0.03125,,0.5,,0.03125,,0.03125,
20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,,default,gac_fdw_multiregion_top_tenants,A-confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.8868020655329737,high,0.8868020655329737,0.7806173193661903,0.8868020655329737,0.168,0.543457015946535,,0.8868020655329737,0.168,0.543457015946535,0.008790186666666666,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.637056,,300.0,0.008790186666666666,400000.0,9601024.0,9.15625,,9601024.0,,400000.0,9601024.0,9.15625,1.0,1.0,3712.0,29.0,,1.0,,1.504,,1.504,,1.0,,16.0,,1.0,,1.0,
20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,,default,gac_fdw_multiregion_top_tenants,A-confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.8868020655329737,high,0.8868020655329737,0.7806173193661903,0.8868020655329737,0.168,0.543457015946535,,0.8868020655329737,0.168,0.543457015946535,0.007823856666666667,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.347157,,300.0,0.007823856666666667,400000.0,9601024.0,9.15625,,9601024.0,,400000.0,9601024.0,9.15625,1.0,1.0,3712.0,29.0,,1.0,,1.504,,1.504,,1.0,,16.0,,1.0,,1.0,
20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,,default,gac_fdw_multiregion_top_tenants_raw_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,0.7806173193661903,1.0,0.168,0.543457015946535,,1.0,0.168,0.543457015946535,0.008854046666666665,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.656214,,300.0,0.008854046666666665,400000.0,9601024.0,9.15625,,9601024.0,,400000.0,9601024.0,9.15625,1.0,1.0,6925.0,54.1015625,,1.0,,1.504,,1.504,,1.0,,16.0,,1.0,,1.0,
20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,,default,gac_fdw_multiregion_tenant_point_rollup,A-confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.4602055994052901,low,0.4602055994052901,0.4602055994052901,0.0,0.0,0.0,,0.4602055994052901,0.0,0.0,0.00038985333333333333,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",0.116956,,300.0,0.00038985333333333333,400.0,9600.0,0.0091552734375,,9600.0,,800.0,19200.0,0.018310546875,2.0,2.0,0.0,0.0,,1.0,,1.0,,1.0,,0.03125,,0.5,,0.03125,,0.03125,
20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,,default,gac_fdw_multiregion_tenant_point_raw_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.4602055994052901,low,0.4602055994052901,0.4602055994052901,0.0,0.0,0.0,,0.4602055994052901,0.0,0.0,0.00038543,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",0.115629,,300.0,0.00038543,400.0,9600.0,0.0091552734375,,9600.0,,800.0,19200.0,0.018310546875,2.0,2.0,0.0,0.0,,1.0,,1.0,,1.0,,0.03125,,0.5,,0.03125,,0.03125,
