matrix,feature,row_count,non_null_count,null_count,null_fraction,numeric_count,zero_count,distinct_non_null_count
m0,main_root_actual_total_time_ms,48,48,0,0.0,48,0,48
m0,main_root_actual_rows,48,48,0,0.0,48,0,2
m0,main_root_plan_rows,48,48,0,0.0,48,0,3
m0,main_total_cost,48,48,0,0.0,48,0,4
m0,has_foreign_scan,48,48,0,0.0,48,0,1
m0,has_custom_scan,48,48,0,0.0,48,48,1
m0,has_join,48,48,0,0.0,48,48,1
m0,has_sort,48,48,0,0.0,48,0,1
m0,has_hash,48,48,0,0.0,48,48,1
m0,has_aggregate,48,48,0,0.0,48,0,1
m0,has_limit,48,48,0,0.0,48,24,2
m0,has_materialize,48,48,0,0.0,48,48,1
m0,join_node_count,48,48,0,0.0,48,48,1
m0,hash_join_count,48,48,0,0.0,48,48,1
m0,merge_join_count,48,48,0,0.0,48,48,1
m0,nested_loop_count,48,48,0,0.0,48,48,1
m0,remote_path_share,48,48,0,0.0,48,0,48
m0,fdw_remote_sql_count,48,48,0,0.0,48,0,1
m0,fdw_remote_plan_count,48,48,0,0.0,48,0,1
m0,remote_region_actual_rows_sum,48,48,0,0.0,48,0,3
m0,remote_region_actual_rows_cv,48,48,0,0.0,48,42,2
m0,remote_region_actual_rows_max_share,48,48,0,0.0,48,0,2
m0,remote_region_actual_rows_min_max_ratio,48,48,0,0.0,48,0,2
m0,remote_region_actual_rows_active_share,48,48,0,0.0,48,0,1
m0,remote_region_zero_row_count,48,48,0,0.0,48,48,1
m0,remote_region_nonzero_count,48,48,0,0.0,48,0,1
m0,remote_region_tuple_bytes_sum,48,48,0,0.0,48,0,3
m0,remote_region_tuple_bytes_cv,48,48,0,0.0,48,42,2
m0,remote_region_tuple_bytes_max_share,48,48,0,0.0,48,0,2
m0,remote_region_tuple_bytes_min_max_ratio,48,48,0,0.0,48,0,2
m0,remote_region_tuple_bytes_active_share,48,48,0,0.0,48,0,1
m0,remote_region_task_count_sum,48,48,0,0.0,48,0,2
m0,remote_region_task_count_cv,48,48,0,0.0,48,48,1
m0,remote_region_task_count_max_share,48,48,0,0.0,48,0,1
m0,remote_region_task_count_min_max_ratio,48,48,0,0.0,48,0,1
m0,remote_region_task_count_active_share,48,48,0,0.0,48,0,1
m0,remote_region_plan_fingerprint_count,48,48,0,0.0,48,0,1
m0,remote_region_dominant_plan_fingerprint_share,48,48,0,0.0,48,0,1
m0,remote_plan_node_count_sum,48,48,0,0.0,48,0,1
m0,remote_plan_max_depth,48,48,0,0.0,48,48,1
