feature,source_column,source_table,feature_scope,feature_reliability,model_role,included_in_default_model,structural_feature,proxy_of,null_policy
main_plan_node_count,main_plan_node_count,"query_runs, plan_structure_features",execution,A,input,False,True,,missing_means_main_plan_parse_failed
main_plan_max_depth,main_plan_max_depth,"plan_nodes, plan_structure_features",execution,A,input,False,True,,missing_means_main_plan_parse_failed
main_plan_leaf_count,main_plan_leaf_count,plan_structure_features,execution,A,input,False,True,plan_tree_shape_complexity,missing_means_main_plan_parse_failed
main_plan_branch_node_count,main_plan_branch_node_count,plan_structure_features,execution,A,input,False,True,plan_tree_shape_complexity,missing_means_main_plan_parse_failed
main_plan_avg_branching_factor,main_plan_avg_branching_factor,plan_structure_features,execution,A,input,False,True,plan_tree_shape_complexity,missing_means_main_plan_parse_failed
main_plan_max_branching_factor,main_plan_max_branching_factor,plan_structure_features,execution,A,input,False,True,plan_tree_shape_complexity,missing_means_main_plan_parse_failed
remote_plan_leaf_count_sum,remote_plan_leaf_count_sum,plan_structure_features,execution,A,input,False,True,remote_plan_tree_shape_complexity,missing_means_no_remote_plan_nodes
remote_plan_avg_branching_factor,remote_plan_avg_branching_factor,plan_structure_features,execution,A,input,False,True,remote_plan_tree_shape_complexity,missing_means_no_remote_plan_nodes
aggregate_min_depth,aggregate_min_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
aggregate_max_depth,aggregate_max_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
sort_min_depth,sort_min_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
sort_max_depth,sort_max_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
join_min_depth,join_min_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
join_max_depth,join_max_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
foreign_scan_min_depth,foreign_scan_min_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
foreign_scan_max_depth,foreign_scan_max_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
custom_scan_min_depth,custom_scan_min_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
custom_scan_max_depth,custom_scan_max_depth,plan_structure_features,execution,A,input,False,True,operator_depth,missing_operator_means_not_present
aggregate_above_foreign_scan,aggregate_above_foreign_scan,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_main_aggregate_ancestor_of_foreign_scan
sort_above_foreign_scan,sort_above_foreign_scan,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_main_sort_ancestor_of_foreign_scan
limit_above_foreign_scan,limit_above_foreign_scan,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_main_limit_ancestor_of_foreign_scan
join_above_foreign_scan,join_above_foreign_scan,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_main_join_ancestor_of_foreign_scan
foreign_scan_under_aggregate,foreign_scan_under_aggregate,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_foreign_scan_under_main_aggregate
foreign_scan_under_sort,foreign_scan_under_sort,plan_structure_features,execution,A,input,False,True,remote_local_boundary,false_means_no_foreign_scan_under_main_sort
remote_aggregate_present,remote_aggregate_present,plan_structure_features,execution,A,input,False,True,remote_operator_presence,false_means_no_remote_aggregate_node
remote_sort_present,remote_sort_present,plan_structure_features,execution,A,input,False,True,remote_operator_presence,false_means_no_remote_sort_node
remote_join_present,remote_join_present,plan_structure_features,execution,A,input,False,True,remote_operator_presence,false_means_no_remote_join_node
main_finalize_after_remote,main_finalize_after_remote,plan_structure_features,execution,B,input,False,True,main_post_remote_finalization,false_means_no_main_aggregate_ancestor_of_foreign_scan
blocking_operator_count,blocking_operator_count,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,missing_means_plan_structure_not_parsed
blocking_operator_min_depth,blocking_operator_min_depth,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,missing_means_no_blocking_operator_or_plan_missing
blocking_operator_above_remote_count,blocking_operator_above_remote_count,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,zero_means_no_blocking_operator_above_foreign_scan
blocking_operator_below_remote_count,blocking_operator_below_remote_count,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,zero_means_no_blocking_operator_in_remote_scopes
first_blocking_operator_type,first_blocking_operator_type,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,missing_means_no_blocking_operator_or_plan_missing
first_blocking_operator_depth,first_blocking_operator_depth,plan_structure_features,execution,A,input,False,True,blocking_operator_placement,missing_means_no_blocking_operator_or_plan_missing
dominant_time_node_type,dominant_time_node_type,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_time_not_available
dominant_time_node_depth,dominant_time_node_depth,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_time_not_available
dominant_time_node_actual_time_share,dominant_time_node_actual_time_share,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_time_not_available
dominant_rows_node_type,dominant_rows_node_type,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_rows_not_available
dominant_rows_node_depth,dominant_rows_node_depth,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_rows_not_available
dominant_rows_node_row_share,dominant_rows_node_row_share,plan_structure_features,execution,B,input,False,True,simple_plan_critical_path,missing_means_actual_rows_not_available
main_root_actual_total_time_ms,main_root_actual_total_time_ms,plan_nodes,execution,A,input,True,,,missing_means_root_time_not_in_plan
main_root_actual_rows,main_root_actual_rows,plan_nodes,execution,A,input,True,,,missing_means_root_rows_not_in_plan
main_root_plan_rows,main_root_plan_rows,plan_nodes,execution,A,input,True,,,missing_means_root_plan_rows_not_in_plan
