query_run_id,dataset_id,runtime_config_id,template_id,instance_id,severity_contract,severity_model_role,severity_score,severity_band,deployment_relative_intensity_score,wan_fetch_intensity_score,memory_spill_intensity_score,imbalance_intensity_score,capacity_intensity_score,corpus_relative_severity_score,sum_pressure_score,tail_pressure_score,capacity_relative_severity_score,timeout_relative_severity_score,severity_basis,execution_time_seconds,execution_time_corpus_percentile,hard_timeout_seconds,timeout_utilization_ratio,wan_output_rows,wan_output_bytes,wan_output_mb,wan_output_bytes_corpus_percentile,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_corpus_percentile,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,regional_reduction_input_mb_proxy,drf_rows_proxy,drf_bytes_proxy,temp_blocks_sum,temp_mb,temp_blocks_corpus_percentile,remote_region_rows_isf,remote_region_rows_isf_corpus_percentile,worker_task_scan_rows_isf,worker_task_scan_rows_isf_corpus_percentile,worker_task_within_region_scan_rows_isf_max,worker_task_within_region_scan_rows_isf_corpus_percentile,active_task_share,active_task_share_corpus_percentile,tasks_per_worker_ratio,tasks_per_worker_ratio_corpus_percentile,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_corpus_percentile,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_corpus_percentile
20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-1,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.0,0.10963364842675187,0.3333333333333333,,1.0,0.10963364842675187,0.3333333333333333,0.0038675233333333335,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",1.160257,,300.0,0.0038675233333333335,240352.0,962560.0,0.91796875,,962560.0,,240352.0,962560.0,0.91796875,1.0,1.0,0.0,0.0,,1.0,,1.3289009452802556,,1.3289009452802556,,1.0,,1.0,,1.0,,1.0,
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-2,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.543457015946535,medium,0.543457015946535,0.0,0.0,0.017696979297792865,0.543457015946535,,0.0,0.017696979297792865,0.543457015946535,0.009302283333333333,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",2.790685,,300.0,0.009302283333333333,2.0,512.0,0.00048828125,,512.0,,270683.86,69295068.16,66.0849267578125,135341.93,135341.93,0.0,0.0,,1.0,,1.0530909378933786,,1.0530909378933786,,1.0,,16.0,,1.0,,1.0,
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-3,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.05396662000000001,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",16.189986,,300.0,0.05396662000000001,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-4,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.05551460666666666,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",16.654382,,300.0,0.05551460666666666,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-5,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.05573753,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",16.721259,,300.0,0.05573753,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-6,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.543457015946535,medium,0.543457015946535,0.0,0.0,0.014661446292502175,0.543457015946535,,0.0,0.014661446292502175,0.543457015946535,0.004245626666666666,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",1.273688,,300.0,0.004245626666666666,2.0,512.0,0.00048828125,,512.0,,84867.48,21726074.88,20.719599609375,42433.74,42433.74,0.0,0.0,,1.0,,1.0439843388775065,,1.0439843388775065,,1.0,,16.0,,1.0,,1.0,
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-7,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.05680874,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",17.042622,,300.0,0.05680874,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
20260727T115842Z-stats-ceb-full-no-refit-v1__stats-ce--f8f54b110303--l_no_refit__stats_ceb_multiregion_count__query_id-8,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-8,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.055235679999999995,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",16.570704,,300.0,0.055235679999999995,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-9,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.10417112538834594,0.7961501380100539,,1.0,0.10417112538834594,0.7961501380100539,0.01483708,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",4.451124,,300.0,0.01483708,953188.0,5199872.0,4.958984375,,5199872.0,,1138880.0,6212866.9510736605,5.925051642488156,1.194811516720731,1.194811516720731,22866.0,178.640625,,1.0,,1.098510817645406,,1.098510817645406,,1.0,,32.0,,1.0,,1.0,
20260727T115933Z-stats-ceb-full-no-refit-v1__stats-ce--d73e9910fa0f--_no_refit__stats_ceb_multiregion_count__query_id-10,stats-ceb-full-no-refit-v1,default,stats_ceb_multiregion_count,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-10,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,0.3333333333333333,low,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.3333333333333333,0.052670256666666665,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",15.801077,,300.0,0.052670256666666665,2.0,192.0,0.00018310546875,,192.0,,2.0,192.0,0.00018310546875,1.0,1.0,0.0,0.0,,1.0,,,,,,1.0,,6.0,,1.0,,1.0,
