query_condition_id,repetition_index,b_query_run_id,c_query_run_id,b_dominant_hot_worker_hot_event_share,c_dominant_hot_worker_hot_event_share,dominant_hot_worker_share_delta_c_minus_b,b_worker_rows_cv,c_worker_rows_cv,worker_rows_cv_delta_c_minus_b,b_worker_task_count_cv,c_worker_task_count_cv,worker_task_count_cv_delta_c_minus_b,b_worker_time_cv,c_worker_time_cv,worker_time_cv_delta_c_minus_b,b_worker_rows_isf,c_worker_rows_isf,worker_rows_isf_delta_c_minus_b,b_worker_task_scan_rows_isf,c_worker_task_scan_rows_isf,worker_task_scan_rows_isf_delta_c_minus_b,b_worker_task_scan_actual_rows_max_share,c_worker_task_scan_actual_rows_max_share,worker_task_scan_actual_rows_max_share_delta_c_minus_b
top_tenants__regional_reduced,0,20260725T114139Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114716Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,0.5,1.0,0.5,0.0743099458349957,0.6225413186688896,0.5482313728338939,0.1397542485937368,0.2795084971874737,0.13975424859373692,,,,1.1,1.68787,0.5878699999999999,3.66864,3.66864,0.0,0.0573225,0.0573225,0.0
tenant_point__regional_reduced,2,20260725T114155Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114800Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
tenant_point__regional_reduced,1,20260725T114210Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114732Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
top_tenants__raw_gac_finalize,1,20260725T114224Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114541Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.5,1.0,0.5,0.0743099458349957,0.6225413186688896,0.5482313728338939,0.1397542485937368,0.2795084971874737,0.13975424859373692,,,,1.1,1.68787,0.5878699999999999,3.66864,3.66864,0.0,0.0573225,0.0573225,0.0
tenant_point__raw_gac_finalize,1,20260725T114241Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114557Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
top_tenants__regional_reduced,1,20260725T114255Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114509Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,0.5,1.0,0.5,0.0743099458349957,0.6225413186688896,0.5482313728338939,0.1397542485937368,0.2795084971874737,0.13975424859373692,,,,1.1,1.68787,0.5878699999999999,3.66864,3.66864,0.0,0.0573225,0.0573225,0.0
top_tenants__raw_gac_finalize,2,20260725T114312Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114629Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.5,1.0,0.5,0.0743099458349957,0.6225413186688896,0.5482313728338939,0.1397542485937368,0.2795084971874737,0.13975424859373692,,,,1.1,1.68787,0.5878699999999999,3.66864,3.66864,0.0,0.0573225,0.0573225,0.0
tenant_point__regional_reduced,0,20260725T114329Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114527Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
top_tenants__raw_gac_finalize,0,20260725T114343Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114611Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.5,1.0,0.5,0.0743099458349957,0.6225413186688896,0.5482313728338939,0.1397542485937368,0.2795084971874737,0.13975424859373692,,,,1.1,1.68787,0.5878699999999999,3.66864,3.66864,0.0,0.0573225,0.0573225,0.0
tenant_point__raw_gac_finalize,2,20260725T114400Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114645Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
