feature,condition_count,zero_mad_share,mad_median,mad_p90,mad_p95,mad_maximum,range_p95,range_maximum
active_task_share,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
citus_repartition_observed_v2,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hash_batch_excess,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
regional_input_to_wan_rows_ratio,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
remote_region_rows_isf_normalized,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
remote_root_rows_estimate_error_log,96,1.0,0.0,0.0,0.0,0.0,0.0,0.1776216209131485
remote_to_final_rows_ratio,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
root_rows_estimate_error_log,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spill_present,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_count_to_shard_count_ratio,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worker_scan_rows_cv_normalized,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worker_task_scan_rows_isf_normalized,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worker_task_seq_scan_share,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temp_blocks_per_final_row,96,0.9895833333333334,0.0,0.0,0.0,4.14824399164182e-07,9.713828014873416e-07,3.434053018669392e-06
spill_bytes_to_wan_bytes_ratio,96,0.9895833333333334,0.0,0.0,0.0,1.8287324291543785e-06,4.256792248871766e-06,1.904365302429767e-05
aggregate_rows_estimate_error_log,96,0.9583333333333334,0.0,0.0,0.0,1.2104115836075737e-05,1.099110335744946e-06,0.0002738116873143
global_group_merge_ratio,96,0.9479166666666666,0.0,0.0,1.2891412215498834e-08,8.966976628999035e-07,2.463401853058933e-07,0.0041982653827931
foreign_scan_rows_estimate_error_log,96,0.53125,0.0,3.5304754262555083e-06,2.6236723839459523e-05,9.348331263347998e-05,0.00012501337138302502,0.0003834998205692
foreign_scan_time_to_root_ratio,96,0.16666666666666666,1.747140585703355e-05,0.0002639887538436,0.00044115398828347503,0.0007441003679568,0.00145547013042335,0.0034456525574403
