condition_id,execution_strategy,dataset_id,runtime_config_id,display_state,mean_pairwise_membership_l1,max_pairwise_membership_l1,mean_top_membership,mean_top2_margin,dominant_cluster_agreement
cond-0310221dd4f525ebbd94,multiregion_union,pilot-balanced-v1,default,mixed_boundary,1.9259287170614317e-07,2.888893075592147e-07,0.5601327983107138,0.3198951828682271,1.0
cond-035b1b9f0c873b267eb4,etl_materialized,pilot-skew-heavy-v1,default,clear_prototype,0.0,0.0,0.9987722931936394,0.998176006706237,1.0
cond-06d0a73fabed411b37fc,fdw_raw,pilot-balanced-v1,default,mixed_boundary,0.0,0.0,0.4500903118457954,0.2001156529651958,1.0
cond-0754ed1d08faa440d5bb,multiregion_union,pilot-balanced-v1,wan_100ms,clear_prototype,1.0791367740086805e-07,1.6187051610130204e-07,0.9789498543704396,0.96589137049711,1.0
cond-0815667b5c439756a642,multiregion_union,pilot-balanced-v1,default,clear_prototype,6.968799416118693e-05,0.000139781303674,0.8179661294559779,0.6870306284868027,1.0
cond-109494aaf85c5b74f7dc,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,wan_0ms,clear_prototype,3.306331858045006e-05,4.957335215944551e-05,0.9380394025696116,0.8984344746061425,1.0
cond-129d83d07d674987662d,multiregion_union,pilot-region-imbalanced-v1,default,clear_prototype,4.753159020531398e-05,7.129738530797097e-05,0.6738827565683582,0.4890699732486012,1.0
cond-1661f99ef69859e5d461,fdw_raw,pilot-balanced-v1,default,clear_prototype,6.86240332458075e-06,9.239481941387268e-06,0.7889197512943967,0.6549477871597483,1.0
cond-17b0613b129bd2b9c16c,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,3.6531093721116473e-06,5.4796640581674695e-06,0.989011582218426,0.9826582201284664,1.0
cond-1c1b79e78e1cf306ea1b,multiregion_union,pilot-region-imbalanced-v1,work_mem_high,clear_prototype,1.2983049484383002e-05,1.9474574226574504e-05,0.6329485435824512,0.4176845838192021,1.0
cond-1ef8768e78a1de56adf1,fdw_raw,pilot-balanced-v1,default,clear_prototype,0.0001216989357725,0.0002569603231315,0.9120306679674386,0.864193029620053,1.0
cond-213094df63d00ed2a194,fdw_raw,pilot-balanced-v1,default,mixed_boundary,4.575309767163027e-07,6.862964650744541e-07,0.4316119365793581,0.1836726679799481,1.0
cond-21e27f028b9d2c7391c4,fdw_raw,pilot-skew-heavy-v1,fetch_large,clear_prototype,5.805917330005869e-08,8.708875995008802e-08,0.7491591429356692,0.5995517444032554,1.0
cond-225db1900d966640512e,multiregion_union,pilot-balanced-v1,default,clear_prototype,4.026474141695944e-05,6.039711212543915e-05,0.9865887939451388,0.978888215115272,1.0
cond-22930995d28b411a802a,single_region_citus,pilot-balanced-v1,default,clear_prototype,0.0010015734579817,0.0015023601869726,0.9411037318406604,0.896902896919412,1.0
cond-235171408d34ddfd185e,multiregion_union,pilot-region-imbalanced-v1,wan_100ms,clear_prototype,2.1883634163573826e-07,3.2708588233038016e-07,0.6662578556301225,0.4872032544074043,1.0
cond-237ce059e3ec5c42e426,multiregion_union,pilot-skew-heavy-v1,default,mixed_boundary,1.6233411980204338e-06,2.43501179703065e-06,0.5688807904272188,0.3343051223797535,1.0
cond-27f20255d8711f744816,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,2.765143906284951e-07,5.809381279685624e-07,0.9821984266736458,0.9710621809022352,1.0
cond-2934cc7da1de670fd716,multiregion_union,pilot-balanced-v1,default,clear_prototype,8.158422892999418e-05,0.0001437468885754,0.9835524673282152,0.973732087823734,1.0
cond-2b31382cbb0741a77873,fdw_raw,pilot-skew-heavy-v1,default,mixed_boundary,1.4079495813112963e-06,2.1119243719669445e-06,0.4631669628721007,0.2322212569205355,1.0
cond-2f7c5c4be6cf31156182,multiregion_union,pilot-balanced-v1,default,clear_prototype,3.6665360256061055e-05,6.928592787372803e-05,0.8524503322703438,0.7724347232206269,1.0
cond-33bae3c34e8ca2f62e55,multiregion_union,pilot-balanced-v1,work_mem_high,clear_prototype,6.079514906830984e-07,8.795552467132615e-07,0.9811576353714218,0.9699150775944544,1.0
cond-36f3dc2b7cc2196e32e8,multiregion_union,pilot-balanced-v1,default,clear_prototype,7.923538775550152e-05,0.0001566250255775,0.9832002539803858,0.973652485446038,1.0
cond-3a0c2ae45bc4fcdebff0,fdw_raw,pilot-skew-heavy-v1,default,clear_prototype,2.719192794691424e-05,4.078789192037136e-05,0.807840598123242,0.6888593652114124,1.0
cond-3a3f69b12ed3afde9053,multiregion_union,pilot-region-imbalanced-v1,wan_40ms,clear_prototype,2.699165257737575e-07,3.766536550917077e-07,0.6132386535270085,0.3825297573384204,1.0
cond-3da59e1bcfb56a20168b,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,1.9576910726606714e-06,2.751222838316865e-06,0.9824956451362368,0.9720051121615492,1.0
cond-3f66556ae8c298eab74d,fdw_raw,pilot-balanced-v1,default,clear_prototype,3.766540083654258e-06,5.649810125481387e-06,0.992641021840658,0.988292532900614,1.0
cond-40aea493e6e3b117a24a,multiregion_union,pilot-region-imbalanced-v1,fetch_large,clear_prototype,2.1298665766509663e-05,3.19479986497645e-05,0.6269307051117824,0.4060995021570491,1.0
cond-40cccee0a49f23e922e5,multiregion_union,pilot-balanced-v1,wan_40ms,clear_prototype,4.085811711763513e-08,6.12871756764527e-08,0.9789498901056682,0.9658914567776729,1.0
cond-464dce3840415e29aed7,fdw_raw,pilot-skew-heavy-v1,fetch_small,mixed_boundary,2.3095385966639037e-07,3.464307894995855e-07,0.4676002345439194,0.2162751853389596,1.0
cond-474460353c8cb8a30093,multiregion_union,pilot-skew-heavy-v1,fetch_large,clear_prototype,7.52285542619339e-07,1.1284283139290086e-06,0.9577916063053844,0.9315825246693008,1.0
