instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order
mr_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-1__limit_k-50,gac_fdw_multiregion_top_tenants,"{""limit_k"": 50, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-1__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",clean-run-eu-us-gac-v1,mr_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,1
fdw_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_global_user_join__lookback_days-3__limit_k-10,gac_fdw_global_user_join,"{""limit_k"": 10, ""lookback_days"": 3}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_global_user_join__lookback_days-3__limit_k-10.sql,"fdw_remote_join,non_colocated_join,repartition_candidate",clean-run-eu-us-gac-v1,fdw_global_user_default__dataset-pilot-balanced-v1__runtime-default,global_user_topk,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,,"join_movement,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,2
fdw_user_segment_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_user_segment_join__lookback_days-30__limit_k-25,gac_fdw_user_segment_join,"{""limit_k"": 25, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_user_segment_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_user_segment_join__lookback_days-30__limit_k-25.sql,"fdw_remote_join,colocated_join,high_group_cardinality",clean-run-eu-us-gac-v1,fdw_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,3
mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-14__min_value-900__limit_k-25,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"": 25, ""lookback_days"": 14, ""min_value"": 900}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-14__min_value-900__limit_k-25.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",clean-run-eu-us-gac-v1,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,4
fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_top_tenants__lookback_days-14__limit_k-50,gac_fdw_top_tenants,"{""limit_k"": 50, ""lookback_days"": 14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_top_tenants__lookback_days-14__limit_k-50.sql,"fdw_remote_scan,topk,final_ordering",clean-run-eu-us-gac-v1,fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,top_tenants,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,,"remote_fetch_heavy,gac_finalization_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}",,,,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,5
mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-5__us_tenant_id-10010__lookback_days-14,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 5, ""lookback_days"": 14, ""us_tenant_id"": 10010}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-5__us_tenant_id-10010__lookback_days-14.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-v1,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,6
mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1000__us_tenant_id-10100__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 1000, ""lookback_days"": 7, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1000__us_tenant_id-10100__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",clean-run-eu-us-gac-v1,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,7
mr_tenant_tier_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_join__lookback_days-30__limit_k-50,gac_fdw_multiregion_tenant_tier_join,"{""limit_k"": 50, ""lookback_days"": 30}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_tier_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_join__lookback_days-30__limit_k-50.sql,"fdw_remote_join,reference_join,fdw_union_all,daily_group_by",clean-run-eu-us-gac-v1,mr_tenant_tier_default__dataset-pilot-balanced-v1__runtime-default,tenant_tier_daily_join,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_reference_join,supports_tenant_tiers","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,8
mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-900__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"": 50, ""lookback_days"": 30, ""min_value"": 900}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-900__limit_k-50.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",clean-run-eu-us-gac-v1,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,,gac_finalization_heavy,pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,9
etl_user_segment_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_user_segment_topk__lookback_days-1__limit_k-25,gac_etl_user_segment_topk,"{""limit_k"": 25, ""lookback_days"": 1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_user_segment_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_user_segment_topk__lookback_days-1__limit_k-25.sql,"local_etl_read,colocated_join_materialized,topk",clean-run-eu-us-gac-v1,etl_user_segment_default__dataset-pilot-balanced-v1__runtime-default,user_segment_topk,etl_materialized,pilot-balanced-v1,default,eu_us_gac,negative_control,,well_reduced_localized,pilot,"{""fetch_size"":""none"",""wan_latency"":""none"",""work_mem"":""low""}",supports_colocated_user_join,,"baseline,negative_control",mixed_cache_first_observed,deterministic_shuffle,20260626,false,0,10
