corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,template_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q16_event_value_squared__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q16_event_value_squared,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,stressed,stressed,q16_event_value_squared__shared_baseline,gac_raw_topk,confirmatory_holdout,,,,,,,,,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q16_event_value_squared__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q16_event_value_squared,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q16_event_value_squared__increase_gac_work_mem,gac_memory_increase,confirmatory_holdout,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q16_event_value_squared__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q16_event_value_squared,gac_fdw_dba_topk_regional,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q16_event_value_squared__regional_topk_candidates,regional_topk_candidates,confirmatory_holdout,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q16_event_value_squared__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q16_event_value_squared,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q16_event_value_squared__mitigate_remote_path_bundle,remote_transport_bundle,confirmatory_holdout,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q17_event_log_value__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q17_event_log_value,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,stressed,stressed,q17_event_log_value__shared_baseline,gac_raw_topk,confirmatory_holdout,,,,,,,,,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q17_event_log_value__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q17_event_log_value,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q17_event_log_value__increase_gac_work_mem,gac_memory_increase,confirmatory_holdout,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q17_event_log_value__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q17_event_log_value,gac_fdw_dba_topk_regional,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q17_event_log_value__regional_topk_candidates,regional_topk_candidates,confirmatory_holdout,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q17_event_log_value__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q17_event_log_value,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q17_event_log_value__mitigate_remote_path_bundle,remote_transport_bundle,confirmatory_holdout,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q18_event_recent_high_value__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q18_event_recent_high_value,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,stressed,stressed,q18_event_recent_high_value__shared_baseline,gac_raw_topk,confirmatory_holdout,,,,,,,,,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q18_event_recent_high_value__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q18_event_recent_high_value,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q18_event_recent_high_value__increase_gac_work_mem,gac_memory_increase,confirmatory_holdout,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,confirmatory_action_replication,,pilot
