condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-72bd6c176bb9592b27fa,cond-72bd6c176bb9592b27fa::r0,pair-4711c69cab926c15c3fc7e8d,pair-4711c69cab926c15c3fc7e8d::r0,q27_user_sum__baseline__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""user_sum""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q27_user_sum__baseline__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q27_user_sum__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q27_user_sum,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,stressed,stressed,q27_user_sum__shared_baseline,gac_raw_topk,confirmatory_holdout,,,,,,,,,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,1,false
cond-416644b0da6a48c2b9b7,cond-416644b0da6a48c2b9b7::r0,pair-a3d66a34901044d1a6e3590e,pair-a3d66a34901044d1a6e3590e::r0,q27_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""user_sum""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q27_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q27_user_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q27_user_sum,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q27_user_sum__increase_gac_work_mem,gac_memory_increase,confirmatory_holdout,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,2,false
cond-f90916670f1125d505bb,cond-f90916670f1125d505bb::r0,pair-b7ea628951097147fd7cf3b5,pair-b7ea628951097147fd7cf3b5::r0,q27_user_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""user_sum""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q27_user_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q27_user_sum__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q27_user_sum,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q27_user_sum__mitigate_remote_path_bundle,remote_transport_bundle,confirmatory_holdout,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,3,false
cond-ef17f7aa2b5811d0873a,cond-ef17f7aa2b5811d0873a::r0,pair-bc425a611b513e51ff08bb23,pair-bc425a611b513e51ff08bb23::r0,q27_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""user_sum""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q27_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-user_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-50__include_apac-True.sql,"regional_topk,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q27_user_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q27_user_sum,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q27_user_sum__regional_topk_candidates,regional_topk_candidates,confirmatory_holdout,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,4,false
cond-8f34877def719a77b255,cond-8f34877def719a77b255::r0,pair-12fc0f52bd39daa650692d18,pair-12fc0f52bd39daa650692d18::r0,q26_tenant_hour_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""tenant_hour_count""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q26_tenant_hour_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q26_tenant_hour_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q26_tenant_hour_count,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q26_tenant_hour_count__increase_gac_work_mem,gac_memory_increase,confirmatory_holdout,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,5,false
cond-14e51d1d6f691b698a2d,cond-14e51d1d6f691b698a2d::r0,pair-2cbdd3800086c989267e9827,pair-2cbdd3800086c989267e9827::r0,q26_tenant_hour_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""tenant_hour_count""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q26_tenant_hour_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"regional_topk,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q26_tenant_hour_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q26_tenant_hour_count,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q26_tenant_hour_count__regional_topk_candidates,regional_topk_candidates,confirmatory_holdout,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,6,false
cond-e5f2ec8c336eb7496803,cond-e5f2ec8c336eb7496803::r0,pair-53b59ed974f4d7ce62d40a2a,pair-53b59ed974f4d7ce62d40a2a::r0,q26_tenant_hour_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""tenant_hour_count""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q26_tenant_hour_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q26_tenant_hour_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q26_tenant_hour_count,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,stressed,stressed,q26_tenant_hour_count__shared_baseline,gac_raw_topk,confirmatory_holdout,,,,,,,,,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,7,false
cond-5210f09d3fae149ac1a3,cond-5210f09d3fae149ac1a3::r0,pair-df56dd978a574acfeed659d3,pair-df56dd978a574acfeed659d3::r0,q26_tenant_hour_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""tenant_hour_count""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q26_tenant_hour_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_hour_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q26_tenant_hour_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q26_tenant_hour_count,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q26_tenant_hour_count__mitigate_remote_path_bundle,remote_transport_bundle,confirmatory_holdout,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,8,false
cond-4d8790fa36869b64198e,cond-4d8790fa36869b64198e::r0,pair-a58e81873b8264863f339f00,pair-a58e81873b8264863f339f00::r0,q18_event_recent_high_value__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-27 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_recent_high_value""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q18_event_recent_high_value__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q18_event_recent_high_value__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q18_event_recent_high_value,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q18_event_recent_high_value__regional_topk_candidates,regional_topk_candidates,confirmatory_holdout,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,9,false
cond-0c42c10f372ba8c3c4ed,cond-0c42c10f372ba8c3c4ed::r0,pair-7e66c7ea525d8b50297d3362,pair-7e66c7ea525d8b50297d3362::r0,q18_event_recent_high_value__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-27 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_recent_high_value""}",master-regimes/generated/corpus/confirmatory-action-replication-v1/groups/confirmatory-action-replication-v1__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q18_event_recent_high_value__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent_high_value__cutoff_ts-2026-06-27-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",confirmatory-action-replication-v1,confirmatory-action-replication-v1,batch-confirmatory-action-replication-v1,fuzzy-intervention-memory-v1,q18_event_recent_high_value__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,confirmatory_q18_event_recent_high_value,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,final_check,combined_pressure,local_intervention_memory,mitigated,mitigated,q18_event_recent_high_value__mitigate_remote_path_bundle,remote_transport_bundle,confirmatory_holdout,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,confirmatory_action_replication,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,balanced_williams_confirmatory,explicit_schedule,,false,0,10,false
