condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,query_condition_id,pairing_key,physical_strategy_id,rendered_sql_sha256
confirm-skew-v1::A::tenant_point__raw_gac_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_raw_finalize,"{""eu_tenant_id"": 1, ""lookback_days"": 7, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",confirmatory-skew-v1,A-tenant_point__raw_gac_finalize,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,0,1,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,raw_gac_finalize,9214e0597ae63fe7ab9a19d07f25b4f519f08ed25c70a5a2f6cb9f18053db339
confirm-skew-v1::A::top_tenants__raw_gac_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,"fdw_union_all,raw_row_fetch,gac_global_group_by,topk,final_ordering",confirmatory-skew-v1,A-top_tenants__raw_gac_finalize,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,0,2,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,raw_gac_finalize,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40
confirm-skew-v1::A::top_tenants__raw_gac_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,"fdw_union_all,raw_row_fetch,gac_global_group_by,topk,final_ordering",confirmatory-skew-v1,A-top_tenants__raw_gac_finalize,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,2,3,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,raw_gac_finalize,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40
confirm-skew-v1::A::tenant_point__regional_reduced,A-confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 1, ""lookback_days"": 7, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",confirmatory-skew-v1,A-tenant_point__regional_reduced,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,1,4,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,tenant_point__regional_reduced,tenant_point__regional_reduced,regional_reduced,22c3949f74e3867922dd5984a4137f36290f57340a7de57c7f6efeed94f51173
confirm-skew-v1::A::tenant_point__raw_gac_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_raw_finalize,"{""eu_tenant_id"": 1, ""lookback_days"": 7, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",confirmatory-skew-v1,A-tenant_point__raw_gac_finalize,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,1,5,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,raw_gac_finalize,9214e0597ae63fe7ab9a19d07f25b4f519f08ed25c70a5a2f6cb9f18053db339
confirm-skew-v1::A::top_tenants__regional_reduced,A-confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",confirmatory-skew-v1,A-top_tenants__regional_reduced,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,1,6,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,top_tenants__regional_reduced,top_tenants__regional_reduced,regional_reduced,8d6c0320860e6efb9c49d46d5398f3b7e1318b4f4c0dd467225404921caab657
confirm-skew-v1::A::top_tenants__regional_reduced,A-confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",confirmatory-skew-v1,A-top_tenants__regional_reduced,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,0,7,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,top_tenants__regional_reduced,top_tenants__regional_reduced,regional_reduced,8d6c0320860e6efb9c49d46d5398f3b7e1318b4f4c0dd467225404921caab657
confirm-skew-v1::A::top_tenants__raw_gac_finalize,A-confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,"fdw_union_all,raw_row_fetch,gac_global_group_by,topk,final_ordering",confirmatory-skew-v1,A-top_tenants__raw_gac_finalize,top_tenants,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,1,8,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,raw_gac_finalize,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40
confirm-skew-v1::A::tenant_point__regional_reduced,A-confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"": 1, ""lookback_days"": 7, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",confirmatory-skew-v1,A-tenant_point__regional_reduced,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,0,9,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,tenant_point__regional_reduced,tenant_point__regional_reduced,regional_reduced,22c3949f74e3867922dd5984a4137f36290f57340a7de57c7f6efeed94f51173
confirm-skew-v1::A::tenant_point__raw_gac_finalize,A-confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,gac_fdw_multiregion_tenant_point_raw_finalize,"{""eu_tenant_id"": 1, ""lookback_days"": 7, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",confirmatory-skew-v1,A-tenant_point__raw_gac_finalize,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,final_check,dataset_region_balance,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_confirmatory_first_observed,deterministic_shuffle,20260725,false,2,10,false,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,raw_gac_finalize,9214e0597ae63fe7ab9a19d07f25b4f519f08ed25c70a5a2f6cb9f18053db339
