condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-1ec89ef736c8d1e3b3e7,cond-1ec89ef736c8d1e3b3e7::r4,pair-6c26ab77218ba63c0d4baedd,pair-6c26ab77218ba63c0d4baedd::r4,q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q10_tenant_min__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q10_tenant_min,n3-medium-balanced-wide-global-dim-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,4,1,false
cond-039a78d73f18d225d366,cond-039a78d73f18d225d366::r1,pair-4ac1019f0d4117f48b626371,pair-4ac1019f0d4117f48b626371::r1,q09_tenant_max__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q09_tenant_max__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,2,false
cond-55b6c15c6f1686c7c9af,cond-55b6c15c6f1686c7c9af::r3,pair-b5134600d1cd4b665f0c11c8,pair-b5134600d1cd4b665f0c11c8::r3,q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,3,false
cond-62f11d5b6f85715f6d0f,cond-62f11d5b6f85715f6d0f::r2,pair-ee089b938779619ae4dc9568,pair-ee089b938779619ae4dc9568::r2,q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q10_tenant_min__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q10_tenant_min,n3-medium-balanced-wide-global-dim-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,4,false
cond-55b6c15c6f1686c7c9af,cond-55b6c15c6f1686c7c9af::r1,pair-b5134600d1cd4b665f0c11c8,pair-b5134600d1cd4b665f0c11c8::r1,q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,5,false
cond-63a7f482a50ef985f8fa,cond-63a7f482a50ef985f8fa::r0,pair-5275d62875d594e6ebfe96d7,pair-5275d62875d594e6ebfe96d7::r0,q09_tenant_max__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,6,false
cond-3376954713e00dc78945,cond-3376954713e00dc78945::r4,pair-3efe75c6353f522302c41350,pair-3efe75c6353f522302c41350::r4,q10_tenant_min__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q10_tenant_min__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q10_tenant_min,n3-medium-balanced-wide-global-dim-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q10_tenant_min__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,4,7,false
cond-63a7f482a50ef985f8fa,cond-63a7f482a50ef985f8fa::r3,pair-5275d62875d594e6ebfe96d7,pair-5275d62875d594e6ebfe96d7::r3,q09_tenant_max__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,8,false
cond-8fe3bf2544750a6d08aa,cond-8fe3bf2544750a6d08aa::r0,pair-0069bbf423de3db7794feb0c,pair-0069bbf423de3db7794feb0c::r0,q09_tenant_max__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q09_tenant_max__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q09_tenant_max,n3-medium-balanced-wide-global-dim-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,9,false
cond-62f11d5b6f85715f6d0f,cond-62f11d5b6f85715f6d0f::r0,pair-ee089b938779619ae4dc9568,pair-ee089b938779619ae4dc9568::r0,q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__n3-medium-balanced-wide-global-dim-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q10_tenant_min__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q10_tenant_min,n3-medium-balanced-wide-global-dim-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,10,false
