condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-7813b3e63c6a53f897be,cond-7813b3e63c6a53f897be::r1,pair-be22ac4fc15ec41340c66301,pair-be22ac4fc15ec41340c66301::r1,q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q03_event_recent__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q03_event_recent,raw-small-balanced-v1,dba_topk_balanced_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,1,false
cond-db5964e01cb6bc8f2d13,cond-db5964e01cb6bc8f2d13::r2,pair-9610cad43249f7496b28144a,pair-9610cad43249f7496b28144a::r2,q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q04_event_oldest__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q04_event_oldest,raw-small-balanced-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q04_event_oldest__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,2,false
cond-4c6b82284e06c831af5e,cond-4c6b82284e06c831af5e::r1,pair-9748969934bf1450bfb98036,pair-9748969934bf1450bfb98036::r1,q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q04_event_oldest__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q04_event_oldest,raw-small-balanced-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,3,false
cond-7813b3e63c6a53f897be,cond-7813b3e63c6a53f897be::r2,pair-be22ac4fc15ec41340c66301,pair-be22ac4fc15ec41340c66301::r2,q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q03_event_recent__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q03_event_recent,raw-small-balanced-v1,dba_topk_balanced_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,4,false
cond-4c6b82284e06c831af5e,cond-4c6b82284e06c831af5e::r3,pair-9748969934bf1450bfb98036,pair-9748969934bf1450bfb98036::r3,q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"regional_topk,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q04_event_oldest__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q04_event_oldest,raw-small-balanced-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__regional_topk_candidates,regional_topk_candidates,new_query_timeline,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,5,false
cond-a1dd6ce48236aece75c2,cond-a1dd6ce48236aece75c2::r3,pair-440ca062656efab16ab00a59,pair-440ca062656efab16ab00a59::r3,q04_event_oldest__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q04_event_oldest__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q04_event_oldest,raw-small-balanced-v1,dba_topk_transport_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,3,6,false
cond-4d7fc6f8327971faaba6,cond-4d7fc6f8327971faaba6::r2,pair-8b770a8eda475567cf3450dc,pair-8b770a8eda475567cf3450dc::r2,q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q03_event_recent__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q03_event_recent,raw-small-balanced-v1,dba_topk_balanced_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,2,7,false
cond-db5964e01cb6bc8f2d13,cond-db5964e01cb6bc8f2d13::r0,pair-9610cad43249f7496b28144a,pair-9610cad43249f7496b28144a::r0,q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q04_event_oldest__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q04_event_oldest,raw-small-balanced-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q04_event_oldest__shared_baseline,gac_raw_topk,new_query_timeline,,,,,,,,,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,8,false
cond-4d7fc6f8327971faaba6,cond-4d7fc6f8327971faaba6::r1,pair-8b770a8eda475567cf3450dc,pair-8b770a8eda475567cf3450dc::r1,q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q03_event_recent__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q03_event_recent,raw-small-balanced-v1,dba_topk_balanced_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__increase_gac_work_mem,gac_memory_increase,new_query_timeline,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,1,9,false
cond-23c1e6f3cd0fe986e1aa,cond-23c1e6f3cd0fe986e1aa::r0,pair-2cd9aba9e7867207126337bd,pair-2cd9aba9e7867207126337bd::r0,q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/dba-local-memory-v1/groups/dba-local-memory-panel-v1__raw-small-balanced-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",dba-local-memory-panel-v1,dba-local-memory-panel-v1,batch-dba-local-memory-v1,fuzzy-intervention-memory-v1,q02_event_value_asc__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,dba_memory_q02_event_value_asc,raw-small-balanced-v1,dba_topk_memory_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__mitigate_remote_path_bundle,remote_transport_bundle,new_query_timeline,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,dba_local_memory_panel,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_dba_local_memory,deterministic_interleaved_shuffle,20260805,false,0,10,false
