episode_id,episode_order,query_id,query_shape,logical_query_hash,normalized_sql_hash,profile,dataset_pair,dataset_pair_id,dataset_profile_id,topology_id,region_count,baseline_query_run_id,baseline_elapsed_seconds,applicable_actions_json,before__elapsed_seconds,before__result_row_count,before__result_output_byte_count,before__shared_blks_hit_sum,before__shared_blks_read_sum,before__temp_blks_written_sum,before__estimated_result_bytes,before__estimated_remote_output_bytes,before__estimated_fanin_bytes,before__coordinator_main_plan_total_time_ms,before__coordinator_foreign_scan_time_ms_sum,before__coordinator_non_foreign_time_share_proxy,before__coordinator_fanin_rows,before__coordinator_fanin_bytes_estimated,before__coordinator_final_rows,before__coordinator_final_bytes_estimated,before__coordinator_blocking_input_rows_sum,before__coordinator_temp_written_blocks,before__coordinator_hash_batches_max,before__coordinator_sort_input_rows_sum,before__coordinator_sort_time_ms_max,before__coordinator_aggregate_input_rows_sum,before__coordinator_aggregate_time_ms_max,before__coordinator_join_input_rows_sum,before__coordinator_join_time_ms_max,before__task_count,before__task_time_mean_ms,before__task_time_cv,before__task_rows_mean,before__task_rows_cv,before__remote_region_actual_rows_sum,before__remote_region_actual_rows_cv,before__remote_region_actual_rows_max_share,before__remote_region_actual_time_sum,before__remote_region_actual_time_cv,before__remote_region_actual_time_max_share,before__remote_region_tuple_bytes_sum,before__remote_region_tuple_bytes_cv,before__remote_region_tuple_bytes_max_share,before__regional_temp_written_blocks_sum,before__regional_spill_present,before__remote_citus_map_merge_job_count_sum,before__remote_citus_dependent_map_task_count_sum,before__remote_citus_repartition_fanout_ratio_max,before__citus_repartition_observed_v2,before__worker_task_actual_rows_sum,before__worker_task_actual_rows_cv,before__worker_task_actual_rows_max_share,before__worker_task_scan_actual_rows_sum,before__worker_task_scan_actual_rows_cv,before__worker_task_scan_actual_rows_max_share,before__worker_task_actual_time_sum,before__worker_task_actual_time_cv,before__worker_task_actual_time_max_share,before__worker_task_seq_scan_share,before__worker_task_index_scan_share,before__worker_task_join_node_count,before__worker_task_aggregate_node_count,before__worker_task_sort_node_count,before__worker_task_spill_count,before__worker_task_temp_written_sum,before__worker_task_within_region_worker_scan_rows_cv_max,before__worker_task_within_region_worker_scan_rows_max_share_max,before__regional_coordinator_tx_bytes_sum,before__analytics_rx_bytes_sum,before__worker_tx_bytes_sum,before__os_cpu_busy_pct_mean,before__os_cpu_busy_pct_max,before__os_mem_used_peak_bytes_max,before__os_disk_read_bytes_sum,before__os_disk_written_bytes_sum,before__os_net_rx_bytes_sum,before__os_net_tx_bytes_sum,before__os_tcp_retrans_segs_sum,before__os_tcp_timeouts_sum,before__edge_count,before__edge_remote_rows_sum,before__edge_remote_rows_max_share,before__edge_remote_bytes_sum,before__edge_remote_bytes_max_share,before__edge_foreign_scan_time_ms_sum,before__edge_regional_plan_time_ms_sum,before__edge_boundary_wait_ms_sum,before__edge_estimated_fetch_cycles_sum,before__edge_rtt_context_median_ms_mean,before__edge_rtt_context_median_ms_max,before__edge_source_tx_bytes_sum,before__edge_source_tx_bps_mean,before__edge_source_tx_bps_min,before__edge_qdisc_drops_sum,before__edge_qdisc_overlimits_sum,before__edge_tcp_retrans_sum,before__edge_available_share
phase_a::q01_event_value_desc,1,q01_event_value_desc,event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,transport,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,3,20260806T031020Z-n3-topology-memory-v1-phase_a_baseli--3c32ac71df5d--26-06-30-00-00-00-00__limit_k-25__include_apac-True,1.623848,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",1.623848,25,1301,9.0,0.0,9.0,2000.0,55560.0,100008.0,433.486,432.364,0.0025883188845776,1389.0,100008.0,25.0,2000.0,1389.0,9.0,,1389.0,433.479,,,,,48,,,,,1389.0,0.3848615742095247,0.5147588192944564,129.76,0.1609281720364419,0.3905132552404439,55296.0,0.3928371006591931,0.5185185185185185,0.0,False,,,,False,1389.0,0.5089819685597006,0.0518358531317494,1389.0,0.5089819685597006,0.0518358531317494,,,,1.0,0.0,0,0,0,0,,0.1691394658753709,0.5845697329376854,204218,119635,229223,4.4054,6.818,727879680,0,1630208,444863,445027,1,0,3,1389.0,0.5147588192944564,100008.0,0.5147588192944564,432.36400000000003,129.76,302.604,4,30.516666666666666,30.55,204218,335364.7221496922,287499.8152536444,0.0,0.0,0,1.0
phase_a::q02_event_value_asc,2,q02_event_value_asc,event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,memory,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,3,20260806T030612Z-n3-topology-memory-v1-phase_a_baseli--7cf18246a901--6-06-29-00-00-00-00__limit_k-100__include_apac-True,0.518698,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",0.518698,100,5151,9.0,0.0,19.0,8000.0,107400.0,193320.0,242.294,240.575,0.0070946866203868,2685.0,193320.0,100.0,8000.0,2685.0,19.0,,2685.0,242.285,,,,,48,,,,,2685.0,0.3784626553059796,0.511731843575419,166.053,0.3122619822450138,0.4178364738968883,107520.0,0.3840351457839229,0.5142857142857142,10.0,True,,,,False,2685.0,0.4946903452735826,0.0491620111731843,2685.0,0.4946903452735826,0.0491620111731843,,,,1.0,0.0,0,0,0,0,,0.1606060606060606,0.5803030303030303,301937,215547,330796,11.1639,28.0,730849280,16384,925696,644953,644151,2,0,3,2685.0,0.511731843575419,193320.0,0.511731843575419,240.575,166.053,74.522,3,5.473333333333334,5.53,301689,1551006.5587297427,1247184.2960643766,0.0,0.0,2,1.0
phase_a::q03_event_recent,3,q03_event_recent,event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,balanced,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,3,20260806T030318Z-n3-topology-memory-v1-phase_a_baseli--0ea50ac82c54--6-06-24-00-00-00-00__limit_k-250__include_apac-True,1.22947,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",1.22947,250,14099,9.0,0.0,64.0,20000.0,367040.0,660672.0,587.34,578.625,0.0148380835631832,9176.0,660672.0,250.0,20000.0,9176.0,64.0,,9176.0,587.322,,,,,48,,,,,9176.0,0.385273910004042,0.514821272885789,173.615,0.2629180354179587,0.4107882383434611,367616.0,0.3862938345038376,0.5153203342618384,63.0,True,,,,False,9176.0,0.5044260696739351,0.0520924149956408,9176.0,0.5044260696739351,0.0520924149956408,,,,1.0,0.0,0,0,0,0,,0.1442349846558527,0.5721174923279263,790689,694186,806567,6.6206000000000005,15.894,729104384,0,1859584,1618142,1617754,4,0,3,9176.0,0.514821272885789,660672.0,0.514821272885789,578.625,173.615,405.01,11,15.5,15.5,790689,1714969.865063808,1295276.8266000797,0.0,0.0,4,1.0
phase_a::q04_event_oldest,4,q04_event_oldest,event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,transport,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,3,20260806T030922Z-n3-topology-memory-v1-phase_a_baseli--8db8ddc14fdb--6-06-17-00-00-00-00__limit_k-500__include_apac-True,3.238343,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",3.238343,500,28392,9.0,0.0,128.0,40000.0,725560.0,1306008.0,2048.418,2030.153,0.0089166371316793,18139.0,1306008.0,500.0,40000.0,18139.0,128.0,,18139.0,2048.389,,,,,48,,,,,18139.0,0.3702320858761382,0.5078560008820773,173.546,0.2023058226647513,0.4073847855899877,724992.0,0.3715467899749214,0.5084745762711864,121.0,True,,,,False,18139.0,0.4824362791108776,0.0506643144605546,18139.0,0.4824362791108776,0.0506643144605546,,,,1.0,0.0,0,0,0,0,,0.1366168932471584,0.5683084466235793,1469306,1359325,1453079,3.733400000000001,7.692,728080384,8192,1269760,2964860,2967824,14,8,3,18139.0,0.5078560008820773,1306008.0,0.5078560008820773,2030.1529999999998,173.546,1856.607,37,30.5,30.5,1468914,1209601.3300629368,939324.833718973,0.0,0.0,8,1.0
phase_a::q05_event_deviation,5,q05_event_deviation,event_deviation,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,memory,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,3,20260806T024159Z-n3-topology-memory-v1-phase_a_baseli--f55d0216b592--26-06-30-00-00-00-00__limit_k-50__include_apac-True,2.226886,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",2.226886,50,2989,9.0,0.0,910.0,4000.0,5144200.0,9259560.0,1936.876,1859.502,0.039947833521609,128605.0,9259560.0,50.0,4000.0,128605.0,910.0,,128605.0,1936.87,,,,,192,,,,,128605.0,0.351796812809479,0.4991718828972435,552.992,0.3191809573771165,0.4818713471442625,5144576.0,0.3518647790648545,0.4992038216560509,850.0,True,,,,False,128605.0,0.4160183736425696,0.0109171494109871,257210.0,0.4160183736425696,0.0109171494109871,,,,0.0,0.0,0,0,0,0,,0.0494423328556296,0.5247211664278149,10093344,9714596,9548802,10.3613,18.8,741834752,8192,12935168,19715409,19715362,41,0,3,128605.0,0.4991718828972435,9259560.0,0.4991718828972435,1859.502,552.992,1306.51,67,5.533333333333334,5.6,10093344,12086646.554875284,9359300.83533688,0.0,0.0,39,1.0
phase_a::q06_tenant_sum,6,q06_tenant_sum,tenant_sum,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,balanced,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,3,20260806T023709Z-n3-topology-memory-v1-phase_a_baseli--8309a2fc47bf--6-06-29-00-00-00-00__limit_k-100__include_apac-True,9.107748,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",9.107748,100,2871,9.0,0.0,1825.0,8000.0,10310960.0,18559728.0,8445.426,8277.371,0.0198989370104006,257774.0,18559728.0,100.0,8000.0,261774.0,1825.0,1.0,4000.0,8445.417,257774.0,8444.817,,,192,,,,,257774.0,0.3539402644703692,0.5001823302582883,771.634,0.2322434333183554,0.4388362876700611,10309632.0,0.353974872762603,0.5001986491855384,1700.0,True,,,,False,257774.0,0.4146656983934309,0.0105208438399528,515548.0,0.4146656983934309,0.0105208438399528,,,,0.0,0.0,0,0,0,0,,0.0426729954860626,0.5213364977430314,19917495,19472458,18765204,5.1867,9.081,742780928,8192,99475456,38942793,38944609,66,0,3,257774.0,0.5001823302582883,18559728.0,0.5001823302582883,8277.371,771.634,7505.737,259,15.466666666666667,15.5,19917315,5831610.624272872,4485572.50376273,0.0,0.0,49,1.0
phase_a::q07_tenant_count,7,q07_tenant_count,tenant_count,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,transport,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,3,20260806T024448Z-n3-topology-memory-v1-phase_a_baseli--1307fc2b22c1--6-06-24-00-00-00-00__limit_k-250__include_apac-True,87.671284,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",87.671284,250,4141,9.0,0.0,11947.0,20000.0,36057720.0,64903896.0,86443.881,85671.404,0.0089361675003925,901443.0,64903896.0,250.0,20000.0,905443.0,11947.0,5.0,4000.0,86443.863,901443.0,86442.948,,,192,,,,,901443.0,0.3548229699901384,0.500598484873697,1842.985,0.3941176588949102,0.518802920262509,35832832.0,0.3481884093441759,0.4974709227559797,5943.0,True,,,,False,901443.0,0.4159440478551399,0.0103278854015173,1745678.0,0.4742649694225087,0.0106663428192369,,,,0.0696378830083565,0.0,0,0,0,0,,0.0404976277586585,0.5202488138793293,69279866,68259579,64655559,2.7418,5.122,752455680,0,297402368,135676291,135676184,108,18,3,901443.0,0.500598484873697,64903896.0,0.500598484873697,85671.404,1842.9850000000001,83828.419,1805,30.483333333333334,30.5,69278002,2107204.665402946,1614223.7862057546,0.0,0.0,69,1.0
phase_a::q08_tenant_avg,8,q08_tenant_avg,tenant_avg,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,memory,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,3,20260806T024021Z-n3-topology-memory-v1-phase_a_baseli--4abd78647132--6-06-17-00-00-00-00__limit_k-500__include_apac-True,23.579616,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",23.579616,500,15279,9.0,0.0,31910.0,40000.0,72197320.0,129955176.0,23242.677,21593.105,0.0709716871253685,1804933.0,129955176.0,500.0,40000.0,1808933.0,31910.0,21.0,4000.0,23242.647,1804933.0,23241.74,,,192,,,,,1804933.0,0.353541160042064,0.4999941826095483,4030.45,0.4103143591684735,0.5244794005632125,71303168.0,0.3535533905932737,0.5,11899.0,True,,,,False,1804933.0,0.4150128449341343,0.0103189425867885,1804933.0,0.4150128449341343,0.0103189425867885,,,,1.0,0.0,0,0,0,0,,0.0416773781768861,0.5208386890884431,137492560,136080599,128041071,7.2702,18.763,761102336,679936,451313664,266415917,266415725,112,9,3,1804933.0,0.49999418260954837,129955176.0,0.49999418260954837,21593.105,4030.45,17562.655,904,5.478333333333333,5.505,137492192,15549271.257569814,11922038.085777136,0.0,0.0,72,1.0
phase_a::q09_tenant_max,9,q09_tenant_max,tenant_max,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,balanced,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,3,20260806T025315Z-n3-topology-memory-v1-phase_a_baseli--121cbaec9383--26-06-30-00-00-00-00__limit_k-50__include_apac-True,1.611827,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",1.611827,50,996,9.0,0.0,136.0,4000.0,774000.0,1393200.0,965.42,950.437,0.0155196701953553,19350.0,1393200.0,50.0,4000.0,22346.0,136.0,1.0,2996.0,965.411,19350.0,964.611,,,96,,,,,19350.0,0.0151732181453139,0.3402583979328165,248.286,0.0666437081888079,0.360431115729441,774144.0,0.0148478467729124,0.3399470899470899,129.0,True,,,,False,19350.0,0.1943989868486334,0.0165374677002583,38700.0,0.1943989868486334,0.0165374677002583,,,,0.0,0.0,0,0,0,0,,0.0525495088102292,0.5262747544051146,1640718,1471949,1625669,7.4858,13.5,736501760,0,6078464,3299491,3300655,13,0,3,19350.0,0.34025839793281654,1393200.0,0.34025839793281654,950.4370000000001,248.286,702.1510000000001,21,15.533333333333333,15.55,1640718,2714465.013925192,2609019.4543210906,0.0,0.0,13,1.0
phase_a::q10_tenant_min,10,q10_tenant_min,tenant_min,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,transport,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,3,20260806T025859Z-n3-topology-memory-v1-phase_a_baseli--b182b66e9490--6-06-29-00-00-00-00__limit_k-100__include_apac-True,5.283785,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",5.283785,100,1776,9.0,0.0,581.0,8000.0,1543680.0,2778624.0,4096.443,4061.776,0.0084627077686667,38592.0,2778624.0,100.0,8000.0,41592.0,581.0,5.0,3000.0,4096.433,38592.0,4095.969,,,96,,,,,38592.0,0.0115643497262552,0.3363391376451078,308.057,0.1123815306469201,0.3701685077761583,1543168.0,0.0117584904755602,0.3364299933642999,256.0,True,,,,False,38592.0,0.178515448174196,0.0158582089552238,77184.0,0.178515448174196,0.0158582089552238,,,,0.0,0.0,0,0,0,0,,0.0398209600246951,0.5199104800123476,3117812,2923890,3005587,3.982,7.942,738320384,0,6176768,6205723,6205889,16,10,3,38592.0,0.3363391376451078,2778624.0,0.3363391376451078,4061.776,308.057,3753.7189999999996,78,30.516666666666666,30.6,3116922,1573075.3616962086,1526890.287928067,0.0,0.0,9,1.0
