feature,family,transform,reference_state_count,observed_count,missing_share,distinct_count,selected,decision
elapsed_seconds,execution,log1p,26,26,0.0,26,True,selected
result_row_count,execution,log1p,26,26,0.0,5,True,selected
result_output_byte_count,execution,log1p,26,26,0.0,10,True,selected
shared_blks_hit_sum,execution,log1p,26,26,0.0,1,False,constant
shared_blks_read_sum,execution,log1p,26,26,0.0,1,False,constant
temp_blks_written_sum,execution,log1p,26,26,0.0,14,True,selected
estimated_result_bytes,flow,log1p,26,26,0.0,5,True,selected
estimated_remote_output_bytes,flow,log1p,26,26,0.0,6,True,selected
estimated_fanin_bytes,flow,log1p,26,26,0.0,6,True,selected
coordinator_main_plan_total_time_ms,gac,log1p,26,26,0.0,26,True,selected
coordinator_foreign_scan_time_ms_sum,gac,log1p,26,26,0.0,26,True,selected
coordinator_non_foreign_time_share_proxy,gac,identity,26,26,0.0,26,True,selected
coordinator_fanin_rows,gac,log1p,26,26,0.0,6,True,selected
coordinator_fanin_bytes_estimated,gac,log1p,26,26,0.0,6,True,selected
coordinator_final_rows,gac,log1p,26,26,0.0,5,True,selected
coordinator_final_bytes_estimated,gac,log1p,26,26,0.0,5,True,selected
coordinator_blocking_input_rows_sum,gac,log1p,26,26,0.0,6,True,selected
coordinator_temp_written_blocks,gac,log1p,26,26,0.0,14,True,selected
coordinator_hash_batches_max,gac,log1p,26,0,1.0,0,False,all_missing
coordinator_sort_input_rows_sum,gac,log1p,26,26,0.0,6,True,selected
coordinator_sort_time_ms_max,gac,log1p,26,26,0.0,26,True,selected
coordinator_aggregate_input_rows_sum,gac,log1p,26,0,1.0,0,False,all_missing
coordinator_aggregate_time_ms_max,gac,log1p,26,0,1.0,0,False,all_missing
coordinator_join_input_rows_sum,gac,log1p,26,0,1.0,0,False,all_missing
coordinator_join_time_ms_max,gac,log1p,26,0,1.0,0,False,all_missing
task_count,region,log1p,26,26,0.0,2,True,selected
task_time_mean_ms,region,log1p,26,0,1.0,0,False,all_missing
task_time_cv,region,identity,26,0,1.0,0,False,all_missing
task_rows_mean,region,log1p,26,0,1.0,0,False,all_missing
task_rows_cv,region,identity,26,0,1.0,0,False,all_missing
remote_region_actual_rows_sum,region,log1p,26,26,0.0,6,True,selected
remote_region_actual_rows_cv,region,identity,26,26,0.0,6,True,selected
remote_region_actual_rows_max_share,region,identity,26,26,0.0,6,True,selected
remote_region_actual_time_sum,region,log1p,26,26,0.0,26,True,selected
remote_region_actual_time_cv,region,identity,26,26,0.0,26,True,selected
remote_region_actual_time_max_share,region,identity,26,26,0.0,26,True,selected
remote_region_tuple_bytes_sum,region,log1p,26,26,0.0,6,True,selected
remote_region_tuple_bytes_cv,region,identity,26,26,0.0,5,True,selected
remote_region_tuple_bytes_max_share,region,identity,26,26,0.0,5,True,selected
regional_temp_written_blocks_sum,region,log1p,26,26,0.0,6,True,selected
regional_spill_present,region,identity,26,26,0.0,1,False,constant
remote_citus_map_merge_job_count_sum,citus,log1p,26,0,1.0,0,False,all_missing
remote_citus_dependent_map_task_count_sum,citus,log1p,26,0,1.0,0,False,all_missing
remote_citus_repartition_fanout_ratio_max,citus,log1p,26,0,1.0,0,False,all_missing
citus_repartition_observed_v2,citus,identity,26,26,0.0,1,False,constant
worker_task_actual_rows_sum,worker,log1p,26,26,0.0,6,True,selected
worker_task_actual_rows_cv,worker,identity,26,26,0.0,6,True,selected
worker_task_actual_rows_max_share,worker,identity,26,26,0.0,6,True,selected
worker_task_scan_actual_rows_sum,worker,log1p,26,26,0.0,6,True,selected
worker_task_scan_actual_rows_cv,worker,identity,26,26,0.0,6,True,selected
worker_task_scan_actual_rows_max_share,worker,identity,26,26,0.0,6,True,selected
worker_task_actual_time_sum,worker,log1p,26,0,1.0,0,False,all_missing
