condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-41d56240c887076ae879,cond-41d56240c887076ae879::r0,pair-605338f4f4311dc2e5388c09,pair-605338f4f4311dc2e5388c09::r0,q11_tenant_high_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q11_tenant_high_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n2-v1,dba_topk_memory_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q11_tenant_high_count__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,1,false
cond-837ede7706dffda5670c,cond-837ede7706dffda5670c::r0,pair-f7191635ccdc56f7a4819ed3,pair-f7191635ccdc56f7a4819ed3::r0,q12_tenant_user_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q12_tenant_user_sum__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q12_tenant_user_sum__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,2,false
cond-cfa06308b891df9705ae,cond-cfa06308b891df9705ae::r0,pair-8235e820f4014163284c60d8,pair-8235e820f4014163284c60d8::r0,q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q10_tenant_min__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n2-v1,dba_topk_transport_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,3,false
cond-0a615993bcd24ee49690,cond-0a615993bcd24ee49690::r0,pair-1d9ade1c29c1f9a185103e8a,pair-1d9ade1c29c1f9a185103e8a::r0,q11_tenant_high_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q11_tenant_high_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n2-v1,dba_topk_memory_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q11_tenant_high_count__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,4,false
cond-db46d5d37c8152157faf,cond-db46d5d37c8152157faf::r0,pair-cf41cf4102443bdd372c39b7,pair-cf41cf4102443bdd372c39b7::r0,q11_tenant_high_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q11_tenant_high_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n2-v1,dba_topk_memory_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q11_tenant_high_count__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,5,false
cond-83d53c1651b369e49d06,cond-83d53c1651b369e49d06::r0,pair-4b125cbd07106ed9e738473a,pair-4b125cbd07106ed9e738473a::r0,q10_tenant_min__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q10_tenant_min__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q10_tenant_min__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,6,false
cond-ee3e19690c4aa8e2befe,cond-ee3e19690c4aa8e2befe::r0,pair-a6a566309e03c535878fd41f,pair-a6a566309e03c535878fd41f::r0,q12_tenant_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q12_tenant_user_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n2-v1,dba_topk_balanced_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q12_tenant_user_sum__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,7,false
cond-5a02278f8e036e700531,cond-5a02278f8e036e700531::r0,pair-1ebfd25016db26f6c4aee1af,pair-1ebfd25016db26f6c4aee1af::r0,q10_tenant_min__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q10_tenant_min__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n2-v1,dba_topk_transport_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,8,false
cond-bb969010ef2181181c07,cond-bb969010ef2181181c07::r0,pair-b7a8b613d6a4a3cfb1e59447,pair-b7a8b613d6a4a3cfb1e59447::r0,q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q10_tenant_min__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,9,false
cond-956c20ca3af2453276ad,cond-956c20ca3af2453276ad::r0,pair-73c11a678e35805d00cf9de3,pair-73c11a678e35805d00cf9de3::r0,q12_tenant_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-medium-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q12_tenant_user_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q12_tenant_user_sum__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,10,false
