condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-5357c5080a57eb28e8ce,cond-5357c5080a57eb28e8ce::r0,pair-5f137037b96e6110e6c4c67c,pair-5f137037b96e6110e6c4c67c::r0,q03_event_recent__baseline__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__baseline__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q03_event_recent__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q03_event_recent__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,1,false
cond-f054a32769f8fa6cc094,cond-f054a32769f8fa6cc094::r0,pair-9851f3b7c94458902ba11d4f,pair-9851f3b7c94458902ba11d4f::r0,q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q02_event_value_asc__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n2-v1,dba_topk_memory_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,2,false
cond-88603acda09abde15fb5,cond-88603acda09abde15fb5::r0,pair-8f05a3cb6f6d34db5d866bc2,pair-8f05a3cb6f6d34db5d866bc2::r0,q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q02_event_value_asc__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n2-v1,dba_topk_memory_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,3,false
cond-c54a2d39068502eba065,cond-c54a2d39068502eba065::r0,pair-d7343610524fcda752516797,pair-d7343610524fcda752516797::r0,q01_event_value_desc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q01_event_value_desc__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,4,false
cond-ff19e86548408401f97f,cond-ff19e86548408401f97f::r0,pair-c08299069276b81a0b20315a,pair-c08299069276b81a0b20315a::r0,q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__baseline__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q04_event_oldest__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q04_event_oldest__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,5,false
cond-f8b14bf7e2856784d80a,cond-f8b14bf7e2856784d80a::r0,pair-eb2af695ec68ea637fb01fe2,pair-eb2af695ec68ea637fb01fe2::r0,q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q01_event_value_desc__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n2-v1,dba_topk_transport_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,6,false
cond-0ec2d05308e8d009597c,cond-0ec2d05308e8d009597c::r0,pair-94d3bcb85e6d1a17129b769e,pair-94d3bcb85e6d1a17129b769e::r0,q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q04_event_oldest__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n2-v1,dba_topk_transport_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,7,false
cond-239951772d2c7b608758,cond-239951772d2c7b608758::r0,pair-d916da220d6273da9555bfef,pair-d916da220d6273da9555bfef::r0,q01_event_value_desc__baseline__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__baseline__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q01_event_value_desc__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q01_event_value_desc__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,8,false
cond-ad0c4e03752c2e4df864,cond-ad0c4e03752c2e4df864::r0,pair-ae4d8ead6b1cb184f0cb1fbf,pair-ae4d8ead6b1cb184f0cb1fbf::r0,q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q03_event_recent__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,9,false
cond-01ea0d8246839343f77e,cond-01ea0d8246839343f77e::r0,pair-79630911c97bcfbaa4a736db,pair-79630911c97bcfbaa4a736db::r0,q02_event_value_asc__baseline__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-small-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__baseline__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q02_event_value_asc__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n2-v1,dba_topk_memory_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q02_event_value_asc__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,10,false
