condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-622eaf4d8d80824f82d2,cond-622eaf4d8d80824f82d2::r0,pair-b59e6dfc996bcfc602375e51,pair-b59e6dfc996bcfc602375e51::r0,q14_tenant_day_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q14_tenant_day_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q14_tenant_day_sum,topology-isolation-xlarge-n2-v1,dba_topk_memory_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q14_tenant_day_sum__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,1,false
cond-f94f5694ef4731d97a47,cond-f94f5694ef4731d97a47::r0,pair-3fe65f41b6e7dc84628298be,pair-3fe65f41b6e7dc84628298be::r0,q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q15_tenant_day_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q15_tenant_day_count,topology-isolation-xlarge-n2-v1,dba_topk_balanced_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,2,false
cond-6dc65f43eba69bcbcbc0,cond-6dc65f43eba69bcbcbc0::r0,pair-e2ad4b7b20bc1ad410f0065a,pair-e2ad4b7b20bc1ad410f0065a::r0,q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q15_tenant_day_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q15_tenant_day_count,topology-isolation-xlarge-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,3,false
cond-b81fea6e33560a370254,cond-b81fea6e33560a370254::r0,pair-824daac37dc291cf1ab2aa08,pair-824daac37dc291cf1ab2aa08::r0,q15_tenant_day_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q15_tenant_day_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q15_tenant_day_count,topology-isolation-xlarge-n2-v1,dba_topk_balanced_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q15_tenant_day_count__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,4,false
cond-3575e6b81b5fed8c8a48,cond-3575e6b81b5fed8c8a48::r0,pair-a39b444ae68d866bb45b3d1a,pair-a39b444ae68d866bb45b3d1a::r0,q13_tenant_user_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q13_tenant_user_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q13_tenant_user_count,topology-isolation-xlarge-n2-v1,dba_topk_transport_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,5,false
cond-7e92c4ae5934579ab4bf,cond-7e92c4ae5934579ab4bf::r0,pair-fbea10da532646df3faf0be3,pair-fbea10da532646df3faf0be3::r0,q14_tenant_day_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q14_tenant_day_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q14_tenant_day_sum,topology-isolation-xlarge-n2-v1,dba_topk_memory_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q14_tenant_day_sum__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,6,false
cond-604bd99a5fe235f9235b,cond-604bd99a5fe235f9235b::r0,pair-67f0fb657218895c78bb77a1,pair-67f0fb657218895c78bb77a1::r0,q13_tenant_user_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q13_tenant_user_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q13_tenant_user_count,topology-isolation-xlarge-n2-v1,dba_topk_transport_gac_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__increase_gac_work_mem,gac_memory_increase,reference,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,7,false
cond-a88fd503d39d2c31973a,cond-a88fd503d39d2c31973a::r0,pair-e279d5169d41edad2f776de7,pair-e279d5169d41edad2f776de7::r0,q13_tenant_user_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": false, ""limit_k"": 50, ""query_shape"": ""tenant_user_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q13_tenant_user_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_count__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-False.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q13_tenant_user_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q13_tenant_user_count,topology-isolation-xlarge-n2-v1,dba_topk_transport_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q13_tenant_user_count__regional_topk_candidates,regional_topk_candidates,reference,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,8,false
cond-63440f6ea1fefe55769e,cond-63440f6ea1fefe55769e::r0,pair-00b5e93976ed0ee8e270d5e8,pair-00b5e93976ed0ee8e270d5e8::r0,q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": false, ""limit_k"": 250, ""query_shape"": ""tenant_day_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q15_tenant_day_count__baseline__gac_fdw_dba_topk_raw__query_shape-tenant_day_count__cutoff_ts-2026-06-17-00-00-00-00__limit_k-250__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q15_tenant_day_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q15_tenant_day_count,topology-isolation-xlarge-n2-v1,dba_topk_balanced_stressed,eu_us_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q15_tenant_day_count__shared_baseline,gac_raw_topk,reference,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,9,false
cond-e8d8393b3c2264b97620,cond-e8d8393b3c2264b97620::r0,pair-82c2ac5107aa19d7efcce38b,pair-82c2ac5107aa19d7efcce38b::r0,q14_tenant_day_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": false, ""limit_k"": 100, ""query_shape"": ""tenant_day_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/n2_control/groups/n3-topology-memory-v1-n2_control__topology-isolation-xlarge-n2-v1__runtime-bundle-multi-edge__analytics_clients/queries/q14_tenant_day_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_day_sum__cutoff_ts-2026-06-24-00-00-00-00__limit_k-100__include_apac-False.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-n2_control,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-n2_control,n3-topology-memory-v1,q14_tenant_day_sum__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q14_tenant_day_sum,topology-isolation-xlarge-n2-v1,dba_topk_memory_remote_mitigated,eu_us_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q14_tenant_day_sum__mitigate_remote_path_bundle,remote_transport_bundle,reference,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608061,false,0,10,false
