condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-e81edeaa33588ac41ebf,cond-e81edeaa33588ac41ebf::r0,pair-6c9c317adaa9b4e86e3ec067,pair-6c9c317adaa9b4e86e3ec067::r0,q07_tenant_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q07_tenant_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,1,false
cond-c79d92aa7466fadba165,cond-c79d92aa7466fadba165::r0,pair-daf62c364c2925045bcadfae,pair-daf62c364c2925045bcadfae::r0,q05_event_deviation__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""event_deviation""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q05_event_deviation__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q05_event_deviation__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q05_event_deviation,topology-isolation-large-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q05_event_deviation__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,2,false
cond-8a91c4680d433959e050,cond-8a91c4680d433959e050::r0,pair-d06c09a18a895c97ed3c3e95,pair-d06c09a18a895c97ed3c3e95::r0,q08_tenant_avg__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_avg""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q08_tenant_avg__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q08_tenant_avg__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,topology-isolation-large-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q08_tenant_avg__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,3,false
cond-ca12f82cd143701a5c0a,cond-ca12f82cd143701a5c0a::r0,pair-e6d58a020182b96d81353c7d,pair-e6d58a020182b96d81353c7d::r0,q06_tenant_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q06_tenant_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,4,false
cond-9680a8957240b33888c4,cond-9680a8957240b33888c4::r0,pair-5c7efd96d1d91f1f6b9cd4de,pair-5c7efd96d1d91f1f6b9cd4de::r0,q07_tenant_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q07_tenant_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,5,false
cond-23e2cf9bea945e35bf13,cond-23e2cf9bea945e35bf13::r0,pair-b11970db10592a9bb72f9b01,pair-b11970db10592a9bb72f9b01::r0,q06_tenant_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q06_tenant_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,6,false
cond-7a45d3516daad1d9dc08,cond-7a45d3516daad1d9dc08::r0,pair-2ae9742d88fbda2cd1ad993d,pair-2ae9742d88fbda2cd1ad993d::r0,q06_tenant_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q06_tenant_sum__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,7,false
cond-13515f8a7632411d0390,cond-13515f8a7632411d0390::r0,pair-0c1e5eb4b9661edcd42ef8a0,pair-0c1e5eb4b9661edcd42ef8a0::r0,q08_tenant_avg__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_avg""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q08_tenant_avg__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q08_tenant_avg__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,topology-isolation-large-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q08_tenant_avg__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,8,false
cond-73dc7d896e2357b6b78d,cond-73dc7d896e2357b6b78d::r0,pair-721710df64b78c3fb388bd27,pair-721710df64b78c3fb388bd27::r0,q07_tenant_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q07_tenant_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,9,false
cond-2cfa9c135779dbe43de5,cond-2cfa9c135779dbe43de5::r0,pair-0bfbbe2304ffcab327439ae5,pair-0bfbbe2304ffcab327439ae5::r0,q08_tenant_avg__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_avg""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q08_tenant_avg__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q08_tenant_avg__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,topology-isolation-large-n3-v1,dba_topk_memory_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q08_tenant_avg__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,10,false
