condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-f18d9a9b314cbb22be9a,cond-f18d9a9b314cbb22be9a::r0,pair-f08621bf04744aa6728603d2,pair-f08621bf04744aa6728603d2::r0,q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q01_event_value_desc__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,1,false
cond-44a2043531dd7a455018,cond-44a2043531dd7a455018::r0,pair-e46da69ac222945070d5b90f,pair-e46da69ac222945070d5b90f::r0,q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q03_event_recent__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,2,false
cond-495ccbc610652f0c5d37,cond-495ccbc610652f0c5d37::r0,pair-e44ae17c75bf0520d2d812a1,pair-e44ae17c75bf0520d2d812a1::r0,q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q03_event_recent__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,3,false
cond-758350c43c832fbf0cc4,cond-758350c43c832fbf0cc4::r0,pair-d6565b87cdcf72e8a05ca274,pair-d6565b87cdcf72e8a05ca274::r0,q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q02_event_value_asc__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n3-v1,dba_topk_memory_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,4,false
cond-8b1215c17b171bf1cb92,cond-8b1215c17b171bf1cb92::r0,pair-c8fce594d1abd33808ceb0e4,pair-c8fce594d1abd33808ceb0e4::r0,q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q04_event_oldest__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,5,false
cond-ec101e2d8466ab3ebb72,cond-ec101e2d8466ab3ebb72::r0,pair-ddaebe79eae379434d36d2f7,pair-ddaebe79eae379434d36d2f7::r0,q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q04_event_oldest__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,6,false
cond-5e17d35b81e5b4a1e3c1,cond-5e17d35b81e5b4a1e3c1::r0,pair-5f251ff71cbad20cb1575939,pair-5f251ff71cbad20cb1575939::r0,q02_event_value_asc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q02_event_value_asc__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__increase_gac_work_mem,gac_memory_increase,A,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,7,false
cond-9cd6099a49e06ac96462,cond-9cd6099a49e06ac96462::r0,pair-c3869a458c6f6a27b71a4efc,pair-c3869a458c6f6a27b71a4efc::r0,q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q02_event_value_asc__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__regional_topk_candidates,regional_topk_candidates,A,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,8,false
cond-6bc1430a092a9c7041df,cond-6bc1430a092a9c7041df::r0,pair-3447d4dec6ed98763b8874e9,pair-3447d4dec6ed98763b8874e9::r0,q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q03_event_recent__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,9,false
cond-6e0081c5a560a8a9157d,cond-6e0081c5a560a8a9157d::r0,pair-9ac8b5d8251a902f9d33d2b8,pair-9ac8b5d8251a902f9d33d2b8::r0,q01_event_value_desc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_a_actions/groups/n3-topology-memory-v1-phase_a_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_a_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_actions,n3-topology-memory-v1,q01_event_value_desc__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n3-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__mitigate_remote_path_bundle,remote_transport_bundle,A,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608063,false,0,10,false
