corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,template_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q01_event_value_desc__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,gac_fdw_dba_topk_raw,topology-isolation-small-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q01_event_value_desc__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q02_event_value_asc__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,gac_fdw_dba_topk_raw,topology-isolation-small-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q02_event_value_asc__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q03_event_recent__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,gac_fdw_dba_topk_raw,topology-isolation-small-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q03_event_recent__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q04_event_oldest__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,gac_fdw_dba_topk_raw,topology-isolation-small-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q04_event_oldest__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q05_event_deviation__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q05_event_deviation,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q05_event_deviation__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q06_tenant_sum__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q06_tenant_sum__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q07_tenant_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q07_tenant_count__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q08_tenant_avg__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,gac_fdw_dba_topk_raw,topology-isolation-large-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q08_tenant_avg__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q09_tenant_max__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q09_tenant_max,gac_fdw_dba_topk_raw,topology-isolation-medium-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q09_tenant_max__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q10_tenant_min__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,gac_fdw_dba_topk_raw,topology-isolation-medium-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q10_tenant_min__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_a_baseline,n3-topology-memory-v1,q11_tenant_high_count__baseline,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,gac_fdw_dba_topk_raw,topology-isolation-medium-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,stressed,stressed,q11_tenant_high_count__shared_baseline,gac_raw_topk,A,,,,,,,,,global_gac_mitigation_gain_log2,topology_isolation,,pilot
