condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-8585930435eae6eaffb1,cond-8585930435eae6eaffb1::r0,pair-5b42c6049e635cbd432721a0,pair-5b42c6049e635cbd432721a0::r0,q07_tenant_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q07_tenant_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,1,false
cond-48104db0173ef2911bd5,cond-48104db0173ef2911bd5::r0,pair-6c07f0036eb0a2958c1fa870,pair-6c07f0036eb0a2958c1fa870::r0,q07_tenant_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q07_tenant_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,2,false
cond-90d90dd4e034e2618eed,cond-90d90dd4e034e2618eed::r0,pair-3e82deae4127a2e0c4c4dc10,pair-3e82deae4127a2e0c4c4dc10::r0,q05_event_deviation__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""event_deviation""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q05_event_deviation__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q05_event_deviation__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q05_event_deviation,topology-isolation-large-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q05_event_deviation__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,3,false
cond-8924160cd46d621cd806,cond-8924160cd46d621cd806::r0,pair-23c5a33a139e602f5bed0720,pair-23c5a33a139e602f5bed0720::r0,q06_tenant_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q06_tenant_sum__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,4,false
cond-2305fd58136a22fbb9da,cond-2305fd58136a22fbb9da::r0,pair-ab221656f18a26b84fa18dbb,pair-ab221656f18a26b84fa18dbb::r0,q08_tenant_avg__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_avg""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q08_tenant_avg__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q08_tenant_avg__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,topology-isolation-large-n3-v1,dba_topk_memory_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q08_tenant_avg__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,5,false
cond-f80f7f591bcd3fbf1523,cond-f80f7f591bcd3fbf1523::r0,pair-a5346d14369f55b6e063114d,pair-a5346d14369f55b6e063114d::r0,q06_tenant_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q06_tenant_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,6,false
cond-2c0d5257d4e48de3be8b,cond-2c0d5257d4e48de3be8b::r0,pair-50180558a18164018624b950,pair-50180558a18164018624b950::r0,q05_event_deviation__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""event_deviation""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q05_event_deviation__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_deviation__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q05_event_deviation__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q05_event_deviation,topology-isolation-large-n3-v1,dba_topk_memory_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q05_event_deviation__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,7,false
cond-53bc274bfe3d96cf4160,cond-53bc274bfe3d96cf4160::r0,pair-c1ed45a997515fa83468ad52,pair-c1ed45a997515fa83468ad52::r0,q06_tenant_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q06_tenant_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_sum__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q06_tenant_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q06_tenant_sum,topology-isolation-large-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q06_tenant_sum__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,8,false
cond-4eafc31c4680c43fbb15,cond-4eafc31c4680c43fbb15::r0,pair-8b7d88b3c1ad8c4593e1d93e,pair-8b7d88b3c1ad8c4593e1d93e::r0,q07_tenant_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q07_tenant_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q07_tenant_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q07_tenant_count,topology-isolation-large-n3-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q07_tenant_count__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,9,false
cond-7fe9f2e85be59eb4d9a7,cond-7fe9f2e85be59eb4d9a7::r0,pair-cd2134250d8e75ab01e424d5,pair-cd2134250d8e75ab01e424d5::r0,q08_tenant_avg__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_avg""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-large-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q08_tenant_avg__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_avg__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q08_tenant_avg__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q08_tenant_avg,topology-isolation-large-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q08_tenant_avg__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,10,false
