condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-218602fad8eac5f90b0d,cond-218602fad8eac5f90b0d::r0,pair-e724ead2716ebccedd7c81b9,pair-e724ead2716ebccedd7c81b9::r0,q11_tenant_high_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q11_tenant_high_count__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n3-v1,dba_topk_memory_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q11_tenant_high_count__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,1,false
cond-273a43c7f8b5b3cb5025,cond-273a43c7f8b5b3cb5025::r0,pair-4a9fea8bd7be406b042246a5,pair-4a9fea8bd7be406b042246a5::r0,q11_tenant_high_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q11_tenant_high_count__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q11_tenant_high_count__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,2,false
cond-642c01b7031b9a23eb01,cond-642c01b7031b9a23eb01::r0,pair-320abf509c0f44d3384519d2,pair-320abf509c0f44d3384519d2::r0,q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q09_tenant_max__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q09_tenant_max,topology-isolation-medium-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,3,false
cond-3f448e3e6058fce7d88f,cond-3f448e3e6058fce7d88f::r0,pair-ccc82ba7386521cd04c8ba2b,pair-ccc82ba7386521cd04c8ba2b::r0,q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q10_tenant_min__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,4,false
cond-a2fcbf4e5fbfdfd1bc23,cond-a2fcbf4e5fbfdfd1bc23::r0,pair-b04d6732c774899d9575c52c,pair-b04d6732c774899d9575c52c::r0,q12_tenant_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q12_tenant_user_sum__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q12_tenant_user_sum__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,5,false
cond-0e62e8234ce75c0c5bad,cond-0e62e8234ce75c0c5bad::r0,pair-563a0a660f0021be988422e3,pair-563a0a660f0021be988422e3::r0,q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""tenant_min""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q10_tenant_min__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_min__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q10_tenant_min__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q10_tenant_min,topology-isolation-medium-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q10_tenant_min__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,6,false
cond-a9ac603799903718e3b8,cond-a9ac603799903718e3b8::r0,pair-eb808cd80f626de77336be37,pair-eb808cd80f626de77336be37::r0,q12_tenant_user_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q12_tenant_user_sum__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n3-v1,dba_topk_balanced_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q12_tenant_user_sum__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,7,false
cond-a2a5f03f43dc471e5a38,cond-a2a5f03f43dc471e5a38::r0,pair-cc196616a3a0d8d8dcf07003,pair-cc196616a3a0d8d8dcf07003::r0,q12_tenant_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""tenant_user_sum""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q12_tenant_user_sum__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_user_sum__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q12_tenant_user_sum__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q12_tenant_user_sum,topology-isolation-medium-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q12_tenant_user_sum__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,8,false
cond-42e66c4456c6767feec2,cond-42e66c4456c6767feec2::r0,pair-5497b33d19865d31926a0948,pair-5497b33d19865d31926a0948::r0,q11_tenant_high_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""tenant_high_count""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q11_tenant_high_count__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-tenant_high_count__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q11_tenant_high_count__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q11_tenant_high_count,topology-isolation-medium-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q11_tenant_high_count__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,9,false
cond-8657ddc0e4747674e836,cond-8657ddc0e4747674e836::r0,pair-d9bb42753ccc4f066a122ab0,pair-d9bb42753ccc4f066a122ab0::r0,q09_tenant_max__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 50, ""query_shape"": ""tenant_max""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-medium-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q09_tenant_max__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-tenant_max__cutoff_ts-2026-06-30-00-00-00-00__limit_k-50__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q09_tenant_max__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q09_tenant_max,topology-isolation-medium-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q09_tenant_max__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,10,false
