condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-92944685cf5557303467,cond-92944685cf5557303467::r0,pair-c9e357784999640b2d1956fc,pair-c9e357784999640b2d1956fc::r0,q01_event_value_desc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q01_event_value_desc__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,1,false
cond-ad4691baa3b3e3a7a89a,cond-ad4691baa3b3e3a7a89a::r0,pair-2d529523c642fb62e15bd94e,pair-2d529523c642fb62e15bd94e::r0,q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q04_event_oldest__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,2,false
cond-a327df7ea1745ae332eb,cond-a327df7ea1745ae332eb::r0,pair-2003fac1186986cb97f06c5a,pair-2003fac1186986cb97f06c5a::r0,q01_event_value_desc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q01_event_value_desc__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n3-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,3,false
cond-55428b4e4e74d40830aa,cond-55428b4e4e74d40830aa::r0,pair-0eb523963792afdb30d3057d,pair-0eb523963792afdb30d3057d::r0,q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-30 00:00:00+00"", ""include_apac"": true, ""limit_k"": 25, ""query_shape"": ""event_value_desc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q01_event_value_desc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_desc__cutoff_ts-2026-06-30-00-00-00-00__limit_k-25__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q01_event_value_desc__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q01_event_value_desc,topology-isolation-small-n3-v1,dba_topk_transport_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q01_event_value_desc__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,4,false
cond-8da86950a1206584c83e,cond-8da86950a1206584c83e::r0,pair-11eb01b5b5576c2ce9453775,pair-11eb01b5b5576c2ce9453775::r0,q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q03_event_recent__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n3-v1,dba_topk_balanced_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,5,false
cond-97affc7f1238cdf4e633,cond-97affc7f1238cdf4e633::r0,pair-ce8a7d3e96051e34ee18f02d,pair-ce8a7d3e96051e34ee18f02d::r0,q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q02_event_value_asc__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n3-v1,dba_topk_memory_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,6,false
cond-45d48d348d9c3f6011e6,cond-45d48d348d9c3f6011e6::r0,pair-f1956cf8c2a368965e0021aa,pair-f1956cf8c2a368965e0021aa::r0,q02_event_value_asc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-29 00:00:00+00"", ""include_apac"": true, ""limit_k"": 100, ""query_shape"": ""event_value_asc""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q02_event_value_asc__increase_gac_work_mem__gac_fdw_dba_topk_raw__query_shape-event_value_asc__cutoff_ts-2026-06-29-00-00-00-00__limit_k-100__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q02_event_value_asc__increase_gac_work_mem,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q02_event_value_asc,topology-isolation-small-n3-v1,dba_topk_memory_gac_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q02_event_value_asc__increase_gac_work_mem,gac_memory_increase,B,,,,,,,,increase_gac_work_mem,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,7,false
cond-973b66550116d9f8f599,cond-973b66550116d9f8f599::r0,pair-67025caae2773746480e1cce,pair-67025caae2773746480e1cce::r0,q04_event_oldest__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_raw,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__mitigate_remote_path_bundle__gac_fdw_dba_topk_raw__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"coordinator_raw_fanin,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q04_event_oldest__mitigate_remote_path_bundle,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n3-v1,dba_topk_transport_remote_mitigated,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__mitigate_remote_path_bundle,remote_transport_bundle,B,,,,,,,,mitigate_remote_path_bundle,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,8,false
cond-09e861c7047799513362,cond-09e861c7047799513362::r0,pair-c994d733197706acd585cd45,pair-c994d733197706acd585cd45::r0,q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""include_apac"": true, ""limit_k"": 250, ""query_shape"": ""event_recent""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q03_event_recent__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_recent__cutoff_ts-2026-06-24-00-00-00-00__limit_k-250__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q03_event_recent__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q03_event_recent,topology-isolation-small-n3-v1,dba_topk_balanced_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q03_event_recent__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,9,false
cond-ba84c288e4dc42a38fd5,cond-ba84c288e4dc42a38fd5::r0,pair-ddb70e5e82e9d08a1fdea159,pair-ddb70e5e82e9d08a1fdea159::r0,q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True,gac_fdw_dba_topk_regional,"{""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""include_apac"": true, ""limit_k"": 500, ""query_shape"": ""event_oldest""}",master-regimes/generated/corpus/n3-topology-memory-v1/rendered/phase_b_actions/groups/n3-topology-memory-v1-phase_b_actions__topology-isolation-small-n3-v1__runtime-bundle-multi-edge__analytics_clients/queries/q04_event_oldest__regional_topk_candidates__gac_fdw_dba_topk_regional__query_shape-event_oldest__cutoff_ts-2026-06-17-00-00-00-00__limit_k-500__include_apac-True.sql,"regional_topk,coordinator_sort_topk",n3-topology-memory-v1-phase_b_actions,n3-topology-memory-experiment-v1,batch-n3-topology-memory-v1-phase_b_actions,n3-topology-memory-v1,q04_event_oldest__regional_topk_candidates,dba_local_memory_topk,multiregion_union,gac_multi_edge,global_query,n3_topology_q04_event_oldest,topology-isolation-small-n3-v1,dba_topk_transport_stressed,eu_us_apac_gac,calibration,combined_pressure,local_intervention_memory,mitigated,mitigated,q04_event_oldest__regional_topk_candidates,regional_topk_candidates,B,,,,,,,,regional_topk_candidates,global_gac_mitigation_gain_log2,topology_isolation,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_n3_topology_memory,deterministic_interleaved_shuffle,202608065,false,0,10,false
