block_id,phase,query_order,query_id,query_shape,cutoff_ts,limit_k,profile,dataset_pair,dataset_pair_id,dataset_profile_id,topology_id,logical_query_hash,cell_count
phase_b_baseline,B,1,q01_event_value_desc,event_value_desc,2026-06-30 00:00:00+00,25,transport,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,1
phase_b_baseline,B,2,q02_event_value_asc,event_value_asc,2026-06-29 00:00:00+00,100,memory,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,1
phase_b_baseline,B,3,q03_event_recent,event_recent,2026-06-24 00:00:00+00,250,balanced,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,1
phase_b_baseline,B,4,q04_event_oldest,event_oldest,2026-06-17 00:00:00+00,500,transport,small,topology-isolation-small-v1,topology-isolation-small-n3-v1,eu_us_apac_gac,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,1
phase_b_baseline,B,5,q05_event_deviation,event_deviation,2026-06-30 00:00:00+00,50,memory,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,1
phase_b_baseline,B,6,q06_tenant_sum,tenant_sum,2026-06-29 00:00:00+00,100,balanced,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,1
phase_b_baseline,B,7,q07_tenant_count,tenant_count,2026-06-24 00:00:00+00,250,transport,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,1
phase_b_baseline,B,8,q08_tenant_avg,tenant_avg,2026-06-17 00:00:00+00,500,memory,large,topology-isolation-large-v1,topology-isolation-large-n3-v1,eu_us_apac_gac,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,1
phase_b_baseline,B,9,q09_tenant_max,tenant_max,2026-06-30 00:00:00+00,50,balanced,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,1
phase_b_baseline,B,10,q10_tenant_min,tenant_min,2026-06-29 00:00:00+00,100,transport,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,1
phase_b_baseline,B,11,q11_tenant_high_count,tenant_high_count,2026-06-24 00:00:00+00,250,memory,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,f6a2bcb3cdb7e94d9201d86ef4756f171051d24059c1f12d1a53f37f851a6900,1
phase_b_baseline,B,12,q12_tenant_user_sum,tenant_user_sum,2026-06-17 00:00:00+00,500,balanced,medium,topology-isolation-medium-v1,topology-isolation-medium-n3-v1,eu_us_apac_gac,7b773b722ee1cc712e6813a559a2b3b21afe2180ce60cb0023852f688a716727,1
phase_b_baseline,B,13,q13_tenant_user_count,tenant_user_count,2026-06-30 00:00:00+00,50,transport,xlarge,topology-isolation-xlarge-v1,topology-isolation-xlarge-n3-v1,eu_us_apac_gac,fe8af0f5c504108ac6421d36a6e983a58ef6d510abc211519170e7a01fca00e8,1
phase_b_baseline,B,14,q14_tenant_day_sum,tenant_day_sum,2026-06-24 00:00:00+00,100,memory,xlarge,topology-isolation-xlarge-v1,topology-isolation-xlarge-n3-v1,eu_us_apac_gac,95e6d3a4098bc315c3f18c7a855c5f3722c8169985d79b396bc7785f95e58bca,1
phase_b_baseline,B,15,q15_tenant_day_count,tenant_day_count,2026-06-17 00:00:00+00,250,balanced,xlarge,topology-isolation-xlarge-v1,topology-isolation-xlarge-n3-v1,eu_us_apac_gac,a850557ed7afa89727e6c64f749a90fe373c4732fda20b63fef079e80ce4f337,1
