condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-0a5b0f2081f49267d525,cond-0a5b0f2081f49267d525::r1,pair-4a877d333e0b6c5c65ae7397,pair-4a877d333e0b6c5c65ae7397::r1,gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10,gac_fdw_coordinator_regional_distinct_users,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""user_id_max"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-10.sql,"regional_distinct,coordinator_unique,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default,distinct_active_users,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_distinct,regional_distinct,parameterized,,,,,,"fanin,distinct_dedup",active_user_distinct,regional_prededuplication,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,1,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-060088bb9affde80af01,cond-060088bb9affde80af01::r0,pair-a0e50eea8357c6a023ff5fd3,pair-a0e50eea8357c6a023ff5fd3::r0,gac_topk_raw_stressed__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_raw_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10,gac_fdw_coordinator_raw_event_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_topk_raw_stressed__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_raw_event_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-10.sql,"coordinator_raw_fanin,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_topk_raw_stressed__dataset-raw-small-balanced-v1__runtime-default,event_raw_wide_sample,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__global_topk,gac_raw_topk,parameterized,,,,,,"fanin,sort_topk",event_topk,regional_topk_candidates,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,2,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=default:1;passes=2
cond-4dfd79b14c665b33f389,cond-4dfd79b14c665b33f389::r1,pair-b4277ea23cb238dc55126cdc,pair-b4277ea23cb238dc55126cdc::r1,gac_local_join_stressed__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_local_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8,gac_fdw_coordinator_local_user_join,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""tenant_modulus"": 8}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_local_join_stressed__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_local_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8.sql,"coordinator_raw_fanin,coordinator_local_join,coordinator_group_merge",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_local_join_stressed__dataset-raw-small-balanced-v1__runtime-default,user_segment_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__local_join,gac_local_hash_join,parameterized,,,,,,"fanin,local_join,group_merge",user_segment_join,regional_join_pushdown,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,3,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-9075cf892cbb973c0690,cond-9075cf892cbb973c0690::r1,pair-e28e1200a5afd73ef9b321a9,pair-e28e1200a5afd73ef9b321a9::r1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-100,gac_fdw_coordinator_partial_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-100.sql,"regional_partial_aggregate,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__group_merge_fanin,regional_partial_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-69d1b7074021e9ae6521,cond-69d1b7074021e9ae6521::r1,pair-eedb63974432e76f986dc939,pair-eedb63974432e76f986dc939::r1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-100,gac_fdw_coordinator_partial_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-100.sql,"regional_partial_aggregate,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__group_merge_fanin,regional_partial_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,5,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-7b55d9dad7638cef276e,cond-7b55d9dad7638cef276e::r2,pair-c7aaf5c2989ca2887d5477dd,pair-c7aaf5c2989ca2887d5477dd::r2,gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25,gac_fdw_coordinator_regional_distinct_users,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""user_id_max"": 25}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_distinct_users__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__user_id_max-25.sql,"regional_distinct,coordinator_unique,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_distinct_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default,distinct_active_users,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__global_distinct,regional_distinct,parameterized,,,,,,"fanin,distinct_dedup",active_user_distinct,regional_prededuplication,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,6,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-0b9be4b6b8c1f7b00841,cond-0b9be4b6b8c1f7b00841::r0,pair-ffefcee9b82c49cd8198e03a,pair-ffefcee9b82c49cd8198e03a::r0,gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16,gac_fdw_coordinator_regional_user_join,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16.sql,"regional_join,regional_partial_aggregate,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_segment_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__local_join,regional_colocated_join,parameterized,,,,,,"fanin,local_join,group_merge",user_segment_join,regional_join_pushdown,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,7,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=default:1;passes=2
cond-2295b1fe2aa6a27c03a0,cond-2295b1fe2aa6a27c03a0::r1,pair-5220ae74d060ef47b73d888e,pair-5220ae74d060ef47b73d888e::r1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,gac_fdw_coordinator_partial_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-100.sql,"regional_partial_aggregate,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__group_merge_fanin,regional_partial_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
cond-2295b1fe2aa6a27c03a0,cond-2295b1fe2aa6a27c03a0::r0,pair-5220ae74d060ef47b73d888e,pair-5220ae74d060ef47b73d888e::r0,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-100,gac_fdw_coordinator_partial_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 100, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_partial_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-100.sql,"regional_partial_aggregate,coordinator_sort_topk,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_group_merge_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__group_merge_fanin,regional_partial_aggregate,parameterized,,,,,,"fanin,group_merge,sort_topk",user_group_topk,regional_partial_aggregation,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,9,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=default:1;passes=2
cond-b10f9fc7039ad1b76187,cond-b10f9fc7039ad1b76187::r2,pair-7a5da452b17f8b6889031031,pair-7a5da452b17f8b6889031031::r2,gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4,gac_fdw_coordinator_regional_user_join,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__default__analytics_clients/queries/gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default__gac_fdw_coordinator_regional_user_join__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-4.sql,"regional_join,regional_partial_aggregate,coordinator_fanin_mitigation",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_local_join_regional_mitigated__dataset-raw-small-balanced-v1__runtime-default,user_segment_topk,multiregion_union,,,,raw-small-balanced-v1,default,eu_us_gac,positive_case,gac_finalization,gac_finalization,mitigated,mitigated,gac__local_join,regional_colocated_join,parameterized,,,,,,"fanin,local_join,group_merge",user_segment_join,regional_join_pushdown,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,well_reduced_localized",pilot,"{""fetch_size"":""medium"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_region_partitioning,supports_colocated_user_join","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,10,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=default:1;passes=1
