condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-881a60a5dc41d156ec6f,cond-881a60a5dc41d156ec6f::r2,pair-4d68d2a6d4b3bb44566e7e9a,pair-4d68d2a6d4b3bb44566e7e9a::r2,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,1,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-7089b5a714463d223bc1,cond-7089b5a714463d223bc1::r0,pair-da205a0b77b3e6630493de34,pair-da205a0b77b3e6630493de34::r0,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-2__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,2,false,small,2,1.0,1.5,3.0,medium,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-28e77eafeabff4287b4c,cond-28e77eafeabff4287b4c::r0,pair-5d0984c7acd57827de926246,pair-5d0984c7acd57827de926246::r0,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 8}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,3,false,small,2,1.0,1.5,3.0,medium,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-73c7b5e02db7179aa0dc,cond-73c7b5e02db7179aa0dc::r0,pair-c67e9c9151cd3f79b39d7e2c,pair-c67e9c9151cd3f79b39d7e2c::r0,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-1__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,4,false,small,2,1.0,1.5,3.0,medium,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=2
cond-28e77eafeabff4287b4c,cond-28e77eafeabff4287b4c::r2,pair-5d0984c7acd57827de926246,pair-5d0984c7acd57827de926246::r2,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 8}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-8__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,5,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-109eaf6418bdd7537278,cond-109eaf6418bdd7537278::r2,pair-2034afdb01f7315139905266,pair-2034afdb01f7315139905266::r2,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-500,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 500}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-500.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,6,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-57b4f1ef6208b17a4f2c,cond-57b4f1ef6208b17a4f2c::r1,pair-aaad0443ee33e689eb8e576d,pair-aaad0443ee33e689eb8e576d::r1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-5000,gac_fdw_coordinator_raw_user_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 5000, ""tenant_modulus"": 16}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_coordinator_raw_user_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__tenant_modulus-16__limit_k-5000.sql,"coordinator_raw_fanin,coordinator_group_merge,coordinator_sort_topk",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_memory_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,user_value_topk,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,positive_case,gac_finalization,gac_finalization,stressed,stressed,gac__memory_response,gac_raw_aggregate,parameterized,,,,,,"group_merge,sort_topk,memory_spill",user_group_topk_memory,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_isolated,"gac_finalization_heavy,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""wan_latency"":""medium"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,7,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-428e3a1550a02ead4f12,cond-428e3a1550a02ead4f12::r2,pair-0f3140749ce196dd71356d43,pair-0f3140749ce196dd71356d43::r2,gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_tenant_point_raw_finalize__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-1,gac_fdw_multiregion_tenant_point_raw_finalize,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 1, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_--72f43e4b6450b0d2eca7.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,tenant_point_rollup,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__tenant_point_control,,,,,,,,negative_control,tenant_point,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,8,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-8e114bf26d499aa39cc8,cond-8e114bf26d499aa39cc8::r1,pair-98d1870d0e1cc9dadb37d70c,pair-98d1870d0e1cc9dadb37d70c::r1,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 990}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-990.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_filter_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,event_filter_summary,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__selective_filter_control,,,,,,,,negative_control,selective_summary,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,9,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
cond-6745c48f8516e1ab57f5,cond-6745c48f8516e1ab57f5::r1,pair-4c0c8a84eafa891bb4864e1c,pair-4c0c8a84eafa891bb4864e1c::r1,gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed__gac_fdw_multiregion_tenant_point_raw_finalize__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-14,gac_fdw_multiregion_tenant_point_raw_finalize,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 14, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-100-gac/rendered/groups/pressure-raw-v1-gac__raw-small-balanced-v1__pressure_gac_memory_stressed__analytics_clients/queries/gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_--4130f0583dcc65e6e627.sql,"fdw_union_all,tenant_filter,raw_row_fetch,gac_global_group_by",pressure-raw-v1-gac,pressure-raw-corpus-v1,batch-100-gac,pressure-raw-v1,gac_point_control_stressed__dataset-raw-small-balanced-v1__runtime-pressure_gac_memory_stressed,tenant_point_rollup,multiregion_union,,,,raw-small-balanced-v1,pressure_gac_memory_stressed,eu_us_gac,negative_control,gac_finalization,gac_finalization,stressed,stressed,gac__tenant_point_control,,,,,,,,negative_control,tenant_point,increase_gac_work_mem,paired_coordinator_severity_vector,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,10,false,small,1,1.0,1.5,1.5,light,dataset=small:1;runtime=pressure_gac_memory_stressed:1.5;passes=1
