slot_id,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,execution_condition_id,query_condition_id,pairing_key,repetition_index,run_order,dataset_id,template_id,physical_strategy_id,param_json,rendered_sql_path,rendered_sql_sha256
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::selective_filter_control::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::selective_filter_control,selective_filter_control,selective_filter_control,2,1,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_event_filter_summary,cold_or_selective_control,"{""as_of_unix"":1782864000,""lookback_days"":1,""min_value"":950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,6ff006f35e7d76b927ed53022aa3aaedd7ab3a085f6db45993763f16c15bdaef
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_high_cpu::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,2,2,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-128.sql,3e94c3db586fc1205756044a563dd1f2d1ccc832664fc01873e3cc0893cf8a3a
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::selective_filter_control::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::selective_filter_control,selective_filter_control,selective_filter_control,1,3,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_event_filter_summary,cold_or_selective_control,"{""as_of_unix"":1782864000,""lookback_days"":1,""min_value"":950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,6ff006f35e7d76b927ed53022aa3aaedd7ab3a085f6db45993763f16c15bdaef
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_low_cpu::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,2,4,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":32,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32.sql,e9a8ae9595385f06729bc9da7b7ec0f7ae02169997dd62433a49440c7c663e1a
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_medium::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_medium,top_tenants_medium,top_tenants_medium,1,5,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::global_rollup::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::global_rollup,global_rollup,global_rollup,2,6,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_event_count_rollup,hot_data_activation,"{""as_of_unix"":1782864000,""lookback_days"":30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30.sql,9abb6c897cea5686126a50f863b712e2a94cc6d1d21fab695b47435b829695f2
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_medium::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_medium,top_tenants_medium,top_tenants_medium,2,7,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_low_cpu::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,1,8,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":32,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32.sql,e9a8ae9595385f06729bc9da7b7ec0f7ae02169997dd62433a49440c7c663e1a
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_high_cpu::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,1,9,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-128.sql,3e94c3db586fc1205756044a563dd1f2d1ccc832664fc01873e3cc0893cf8a3a
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_short::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_short,top_tenants_short,top_tenants_short,2,10,pilot-region-local-skew-asymmetric-medium-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,0a5f7da88c155b0b3dcb692003a1d0648d6ab6953178ee43bd8e476ad4896c61
