condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,query_condition_id,pairing_key,rendered_sql_sha256,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_short,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_short::r2,pair-6f493d77535a80d5666a2870,pair-6f493d77535a80d5666a2870::r2,C-top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-top_tenants_short,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__top_tenants_short,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,1,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,top_tenants_short,top_tenants_short,0a5f7da88c155b0b3dcb692003a1d0648d6ab6953178ee43bd8e476ad4896c61,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::broad_filter_hot,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::broad_filter_hot::r1,pair-6c4092359c485643af040d5b,pair-6c4092359c485643af040d5b::r1,C-broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-broad_filter_hot,event_filter_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__broad_filter_hot,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,2,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,broad_filter_hot,broad_filter_hot,c7272b3a77a9005c6b05e1cfecc9d4d27109b261eb54fc7510d538bf3426c317,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium::r2,pair-ae6cf004821e51d8f48bd31e,pair-ae6cf004821e51d8f48bd31e::r2,C-top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-top_tenants_medium,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__top_tenants_medium,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,3,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,top_tenants_medium,top_tenants_medium,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium::r0,pair-ae6cf004821e51d8f48bd31e,pair-ae6cf004821e51d8f48bd31e::r0,C-top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-top_tenants_medium,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__top_tenants_medium,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,4,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,top_tenants_medium,top_tenants_medium,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=default:1;passes=2
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_medium::r1,pair-ae6cf004821e51d8f48bd31e,pair-ae6cf004821e51d8f48bd31e::r1,C-top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-top_tenants_medium,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__top_tenants_medium,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,1,5,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,top_tenants_medium,top_tenants_medium,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::hot_worker_probe_low_cpu,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::hot_worker_probe_low_cpu::r2,pair-f390c3889914112b30e53eca,pair-f390c3889914112b30e53eca::r2,C-hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 40, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10010, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,6,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,e9a8ae9595385f06729bc9da7b7ec0f7ae02169997dd62433a49440c7c663e1a,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::selective_filter_control,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::selective_filter_control::r2,pair-f47241bcf1a8670dd748b40a,pair-f47241bcf1a8670dd748b40a::r2,C-selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 1, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-selective_filter_control,event_filter_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__selective_filter_control,cold_or_selective_control,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,2,7,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,selective_filter_control,selective_filter_control,6ff006f35e7d76b927ed53022aa3aaedd7ab3a085f6db45993763f16c15bdaef,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=default:1;passes=1
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::hot_worker_probe_low_cpu,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::hot_worker_probe_low_cpu::r0,pair-f390c3889914112b30e53eca,pair-f390c3889914112b30e53eca::r0,C-hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 40, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10010, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,8,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,hot_worker_probe_low_cpu,hot_worker_probe_low_cpu,e9a8ae9595385f06729bc9da7b7ec0f7ae02169997dd62433a49440c7c663e1a,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=default:1;passes=2
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::broad_filter_hot,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::broad_filter_hot::r0,pair-6c4092359c485643af040d5b,pair-6c4092359c485643af040d5b::r0,C-broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-broad_filter_hot,event_filter_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__broad_filter_hot,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,9,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,broad_filter_hot,broad_filter_hot,c7272b3a77a9005c6b05e1cfecc9d4d27109b261eb54fc7510d538bf3426c317,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=default:1;passes=2
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_short,batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::C::top_tenants_short::r0,pair-6f493d77535a80d5666a2870,pair-6f493d77535a80d5666a2870::r0,C-top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,C-top_tenants_short,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,final_check,shard_placement,worker_data_skew,stressed,stressed,skew__top_tenants_short,hot_data_activation,,,,,,,,,disperse_hot_shards,execution_time_seconds,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,10,false,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-region-local-skew-asymmetric-medium-v1-seed-42,top_tenants_short,top_tenants_short,0a5f7da88c155b0b3dcb692003a1d0648d6ab6953178ee43bd8e476ad4896c61,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=default:1;passes=2
