condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-698ae7b380c0b058c242,cond-698ae7b380c0b058c242::r0,pair-054f1aee2b82aace9891f6b3,pair-054f1aee2b82aace9891f6b3::r0,tenant_point_hot__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 30, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/tenant_point_hot__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,tenant_point_hot,tenant_point_rollup,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__tenant_point_hot,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,1,false
cond-a177bc6c94b2c44a5247,cond-a177bc6c94b2c44a5247::r0,pair-ae6cf004821e51d8f48bd31e,pair-ae6cf004821e51d8f48bd31e::r0,top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_medium,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_medium,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,2,false
cond-09bdd25158537e127dd0,cond-09bdd25158537e127dd0::r0,pair-f47241bcf1a8670dd748b40a,pair-f47241bcf1a8670dd748b40a::r0,selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 1, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,selective_filter_control,event_filter_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__selective_filter_control,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,3,false
cond-733bf9acff9451a3cf11,cond-733bf9acff9451a3cf11::r0,pair-f390c3889914112b30e53eca,pair-f390c3889914112b30e53eca::r0,hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 40, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10010, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__hot_worker_probe_low_cpu,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,4,false
cond-2eee427b2a5dad2a8ea9,cond-2eee427b2a5dad2a8ea9::r0,pair-ca3e3d6391b499f31c3f95da,pair-ca3e3d6391b499f31c3f95da::r0,top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_full,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_full,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,5,false
cond-0196b2f8cf6cabf9a9d5,cond-0196b2f8cf6cabf9a9d5::r0,pair-0bb522a404ca4db3c9c1cef4,pair-0bb522a404ca4db3c9c1cef4::r0,hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-128,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 128, ""eu_hot_tenant_max"": 40, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10010, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-40__us_hot_tenant_min-10001__us_hot_tenant_max-10010__cpu_terms-128.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,hot_worker_probe_high_cpu,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__hot_worker_probe_high_cpu,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,6,false
cond-251d10a3ebeb1638faa5,cond-251d10a3ebeb1638faa5::r0,pair-5ba2281f7506e45d65d287e2,pair-5ba2281f7506e45d65d287e2::r0,tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 100, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,tenant_point_cold_control,tenant_point_rollup,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__tenant_point_cold_control,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,7,false
cond-70138513bc1ab7c8f923,cond-70138513bc1ab7c8f923::r0,pair-92377c8d80c8c49d570fa2ab,pair-92377c8d80c8c49d570fa2ab::r0,global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_event_count_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,exact_count_signature",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,global_rollup,event_full_scan_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__global_rollup,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,8,false
cond-74bc76ef9ba48d8b2c85,cond-74bc76ef9ba48d8b2c85::r0,pair-6c4092359c485643af040d5b,pair-6c4092359c485643af040d5b::r0,broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,broad_filter_hot,event_filter_summary,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__broad_filter_hot,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,9,false
cond-3321a0993bfff9fc2538,cond-3321a0993bfff9fc2538::r0,pair-6f493d77535a80d5666a2870,pair-6f493d77535a80d5666a2870::r0,top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/pilot-region-local-skew-asymmetric-medium-v1/source-render/groups/batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_short,top_tenants,multiregion_union,,,,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_short,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,10,false
