condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-f63643a5b5a2333f2d29,cond-f63643a5b5a2333f2d29::r0,pair-edbfe14de1fec0ba9a6bfcf1,pair-edbfe14de1fec0ba9a6bfcf1::r0,top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_full,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_full,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,1,false
cond-9233a1873a834141abcb,cond-9233a1873a834141abcb::r0,pair-1bc085155f3afae2f4c76328,pair-1bc085155f3afae2f4c76328::r0,hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-128,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 128, ""eu_hot_tenant_max"": 20, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10020, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-128.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,hot_worker_probe_high_cpu,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__hot_worker_probe_high_cpu,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,2,false
cond-d8c1cb0c6757d6db39b9,cond-d8c1cb0c6757d6db39b9::r0,pair-44ae5fb8f54cf33a62d80584,pair-44ae5fb8f54cf33a62d80584::r0,hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32,gac_fdw_multiregion_hot_worker_probe,"{""as_of_unix"": 1782864000, ""cpu_terms"": 32, ""eu_hot_tenant_max"": 20, ""eu_hot_tenant_min"": 1, ""us_hot_tenant_max"": 10020, ""us_hot_tenant_min"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_low_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-20__us_hot_tenant_min-10001__us_hot_tenant_max-10020__cpu_terms-32.sql,"fdw_union_all,hot_tenant_filter,worker_cpu_amplification,worker_skew_probe",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,hot_worker_probe_low_cpu,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__hot_worker_probe_low_cpu,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"skew_imbalance,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""low""}","supports_region_partitioning,supports_hot_tenants,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,3,false
cond-4daa2a8df5251472c91e,cond-4daa2a8df5251472c91e::r0,pair-44844a0b83765c16248c2801,pair-44844a0b83765c16248c2801::r0,broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 30, ""min_value"": 0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,broad_filter_hot,event_filter_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__broad_filter_hot,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,4,false
cond-33cb01efad35a4ac5453,cond-33cb01efad35a4ac5453::r0,pair-0c403116ce3a2916227524fe,pair-0c403116ce3a2916227524fe::r0,selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950,gac_fdw_multiregion_event_filter_summary,"{""as_of_unix"": 1782864000, ""lookback_days"": 1, ""min_value"": 950}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/selective_filter_control__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-1__min_value-950.sql,"fdw_union_all,selective_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,selective_filter_control,event_filter_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__selective_filter_control,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,5,false
cond-b31d1c671e29ed05712d,cond-b31d1c671e29ed05712d::r0,pair-94f55df176916e917d4b9582,pair-94f55df176916e917d4b9582::r0,tenant_point_hot__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 1, ""lookback_days"": 30, ""us_tenant_id"": 10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/tenant_point_hot__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-1__us_tenant_id-10001__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,tenant_point_hot,tenant_point_rollup,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__tenant_point_hot,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,6,false
cond-ee0ca7bf424c653606d6,cond-ee0ca7bf424c653606d6::r0,pair-e59228b82b6b63427e4183d0,pair-e59228b82b6b63427e4183d0::r0,top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 7}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_short__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-7__limit_k-50.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_short,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_short,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,7,false
cond-c4ac23a7629b54b2437f,cond-c4ac23a7629b54b2437f::r0,pair-998afe7317a6b05c3be9b907,pair-998afe7317a6b05c3be9b907::r0,tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""eu_tenant_id"": 100, ""lookback_days"": 30, ""us_tenant_id"": 10100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/tenant_point_cold_control__gac_fdw_multiregion_tenant_point_rollup__as_of_unix-1782864000__eu_tenant_id-100__us_tenant_id-10100__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,tenant_point_cold_control,tenant_point_rollup,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,negative_control,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__tenant_point_cold_control,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_negative_control,well_reduced_localized,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}","supports_region_partitioning,supports_distribution_key_filter","{""filter_uses_distribution_key"":true,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":true,""single_tenant_scope"":true,""tenant_filter_present"":true}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,8,false
cond-e46ec0bc008d6fad9271,cond-e46ec0bc008d6fad9271::r0,pair-a6f64a5ff79a4c459d09dd1d,pair-a6f64a5ff79a4c459d09dd1d::r0,global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30,gac_fdw_multiregion_event_count_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,gac_global_group_by,exact_count_signature",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,global_rollup,event_full_scan_summary,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__global_rollup,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""low""}","supports_region_partitioning,supports_large_scan","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,9,false
cond-8c9625f2ef740c343b18,cond-8c9625f2ef740c343b18::r0,pair-a99e78fc743b1e61d7790651,pair-a99e78fc743b1e61d7790651::r0,top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75,gac_fdw_multiregion_top_tenants,"{""as_of_unix"": 1782864000, ""limit_k"": 75, ""lookback_days"": 14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-large-skew-heavy-v1/source-render/groups/batch-120-skew-raw-large-skew-heavy-v1-source__raw-large-skew-heavy-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,"fdw_union_all,topk,final_ordering,coordinator_fanin",batch-120-skew-raw-large-skew-heavy-v1-source,pressure-raw-corpus-v1,batch-120-skew,pressure-raw-v1,top_tenants_medium,top_tenants,multiregion_union,,,,raw-large-skew-heavy-v1,default,eu_us_gac,positive_case,dataset_and_shard_placement,worker_data_skew,combined,combined,skew__top_tenants_medium,,,,,,,,,,disperse_hot_shards,skew_multidimensional_reserved_for_phase_2,pressure_isolated,"remote_fetch_heavy,gac_finalization_heavy,skew_imbalance",pilot,"{""fetch_size"":""high"",""wan_latency"":""high"",""work_mem"":""high""}","supports_region_partitioning,supports_high_group_cardinality","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_worker_skew_raw,deterministic_shuffle,20260730,false,0,10,false
