slot_id,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,execution_condition_id,query_condition_id,pairing_key,repetition_index,run_order,dataset_id,template_id,physical_strategy_id,param_json,rendered_sql_path,rendered_sql_sha256
batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu::r0,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,0,1,raw-small-skew-heavy-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":4,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10004,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-4__us_hot_tenant_min-10001__us_hot_tenant_max-10004__cpu_terms-128.sql,ea19727d6301a29661793e00fd16e3899b72600361c653ec3579c390c1e2eb80
batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_full::r0,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_full,top_tenants_full,top_tenants_full,0,2,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":100,""lookback_days"":30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,39f0c73932aca08c60df15385a496689d787409796026ac9a0960cf5b7fc520b
batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,1,3,raw-small-skew-heavy-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":4,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10004,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-4__us_hot_tenant_min-10001__us_hot_tenant_max-10004__cpu_terms-128.sql,ea19727d6301a29661793e00fd16e3899b72600361c653ec3579c390c1e2eb80
batch-120-skew-raw-small-skew-heavy-v1::B::global_rollup::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::global_rollup,global_rollup,global_rollup,1,4,raw-small-skew-heavy-v1,gac_fdw_multiregion_event_count_rollup,hot_data_activation,"{""as_of_unix"":1782864000,""lookback_days"":30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30.sql,9abb6c897cea5686126a50f863b712e2a94cc6d1d21fab695b47435b829695f2
batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_full::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_full,top_tenants_full,top_tenants_full,1,5,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":100,""lookback_days"":30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/top_tenants_full__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-30__limit_k-100.sql,39f0c73932aca08c60df15385a496689d787409796026ac9a0960cf5b7fc520b
batch-120-skew-raw-small-skew-heavy-v1::B::global_rollup::r0,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::global_rollup,global_rollup,global_rollup,0,6,raw-small-skew-heavy-v1,gac_fdw_multiregion_event_count_rollup,hot_data_activation,"{""as_of_unix"":1782864000,""lookback_days"":30}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/global_rollup__gac_fdw_multiregion_event_count_rollup__as_of_unix-1782864000__lookback_days-30.sql,9abb6c897cea5686126a50f863b712e2a94cc6d1d21fab695b47435b829695f2
batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_medium::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_medium,top_tenants_medium,top_tenants_medium,2,7,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647
batch-120-skew-raw-small-skew-heavy-v1::B::broad_filter_hot::r1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::broad_filter_hot,broad_filter_hot,broad_filter_hot,1,8,raw-small-skew-heavy-v1,gac_fdw_multiregion_event_filter_summary,hot_data_activation,"{""as_of_unix"":1782864000,""lookback_days"":30,""min_value"":0}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/broad_filter_hot__gac_fdw_multiregion_event_filter_summary__as_of_unix-1782864000__lookback_days-30__min_value-0.sql,c7272b3a77a9005c6b05e1cfecc9d4d27109b261eb54fc7510d538bf3426c317
batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_medium::r0,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::top_tenants_medium,top_tenants_medium,top_tenants_medium,0,9,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants,hot_data_activation,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/top_tenants_medium__gac_fdw_multiregion_top_tenants__as_of_unix-1782864000__lookback_days-14__limit_k-75.sql,e853b5d079e589e8bdfaeffb616870f7f72f26a268dc84f39432c1b3d504f647
batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu::r2,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,raw-small-skew-heavy-v1-seed-73,batch-120-skew-raw-small-skew-heavy-v1::B::hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,hot_worker_probe_high_cpu,2,10,raw-small-skew-heavy-v1,gac_fdw_multiregion_hot_worker_probe,hot_data_activation,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":4,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10004,""us_hot_tenant_min"":10001}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-120-skew/segments/raw-small-skew-heavy-v1/source-render/groups/batch-120-skew-raw-small-skew-heavy-v1-source__raw-small-skew-heavy-v1__default__analytics_clients/queries/hot_worker_probe_high_cpu__gac_fdw_multiregion_hot_worker_probe__as_of_unix-1782864000__eu_hot_tenant_min-1__eu_hot_tenant_max-4__us_hot_tenant_min-10001__us_hot_tenant_max-10004__cpu_terms-128.sql,ea19727d6301a29661793e00fd16e3899b72600361c653ec3579c390c1e2eb80
