condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-35babe24abf0d9bbd153,cond-35babe24abf0d9bbd153::r0,pair-8bd8e7aa9459d8bf2f450dfb,pair-8bd8e7aa9459d8bf2f450dfb::r0,tenant_point_control_mitigated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-100__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 100}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/tenant_point_control_mitigated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-100__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,tenant_point_control_mitigated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,negative_control,join_strategy,repartition_join,mitigated,mitigated,repartition__tenant_point_control,tenant_point_no_join_control,control,no_join_tenant_point,,,,,,,null_join_strategy_intervention,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,1,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=2
cond-e1d3c3b2e11f40041db5,cond-e1d3c3b2e11f40041db5::r2,pair-d10d6c790a522be30dac5720,pair-d10d6c790a522be30dac5720::r2,join_user_topk_moderate_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_user_value_topk_pair__as_of_unix-1782864000__lookback_days-7__limit_k-100__tenant_id_filter-0__tenant_modulus-4__user_id_max-25,gac_fdw_single_edge_colocated_user_value_topk_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 7, ""tenant_id_filter"": 0, ""tenant_modulus"": 4, ""user_id_max"": 25}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_user_topk_moderate_colocated__dataset-raw-small-balanced-v1__runtime-gac_fo--7456cadf4dd2711d3002.sql,"fdw_remote_join,colocated_join,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_user_topk_moderate_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,joined_user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__user_topk__moderate,colocated_distributed_join,moderate,user_value_topk,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""join_strategy"":""high"",""wan_latency"":""low"",""work_mem"":""high""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,2,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
cond-d58e11f13ca5b5f66b3b,cond-d58e11f13ca5b5f66b3b::r2,pair-38844d353db639cb3e78623d,pair-38844d353db639cb3e78623d::r2,join_segment_sparse_repartition__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_repartition_user_join_pair__as_of_unix-1782864000__lookback_days-1__limit_k-50__tenant_id_filter-0__tenant_modulus-16__user_id_max-5,gac_fdw_single_edge_repartition_user_join_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 1, ""tenant_id_filter"": 0, ""tenant_modulus"": 16, ""user_id_max"": 5}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_segment_sparse_repartition__dataset-raw-small-balanced-v1__runtime-gac_forc--829f4aafbd30ae8139db.sql,"fdw_remote_join,non_colocated_join,repartition_candidate,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_segment_sparse_repartition__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,user_segment_topk,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,stressed,stressed,repartition__segment_aggregate__sparse,repartition_mapmerge_join,sparse,segment_aggregate,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,"join_movement,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""join_strategy"":""high"",""wan_latency"":""low"",""work_mem"":""high""}",supports_global_users,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,3,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
cond-a9a484feb678582635f6,cond-a9a484feb678582635f6::r2,pair-1290c10363897c026e01d849,pair-1290c10363897c026e01d849::r2,join_user_topk_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_user_value_topk_pair__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_id_filter-0__tenant_modulus-1__user_id_max-2147483647,gac_fdw_single_edge_colocated_user_value_topk_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30, ""tenant_id_filter"": 0, ""tenant_modulus"": 1, ""user_id_max"": 2147483647}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_user_topk_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_force--1fc53ad1753052e37c46.sql,"fdw_remote_join,colocated_join,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_user_topk_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,joined_user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__user_topk__broad,colocated_distributed_join,broad,user_value_topk,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""join_strategy"":""high"",""wan_latency"":""low"",""work_mem"":""high""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,4,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
cond-74b9d1f738c83435b1dd,cond-74b9d1f738c83435b1dd::r0,pair-4a9934a0127135da813596f1,pair-4a9934a0127135da813596f1::r0,join_row_sample_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_joined_event_sample_pair__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_id_filter-0__tenant_modulus-1__user_id_max-2147483647,gac_fdw_single_edge_colocated_joined_event_sample_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30, ""tenant_id_filter"": 0, ""tenant_modulus"": 1, ""user_id_max"": 2147483647}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_row_sample_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_forc--d369dfe87f33f0975b84.sql,"fdw_remote_join,colocated_join,remote_row_sample,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_row_sample_broad_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,joined_event_sample,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__row_sample__broad,colocated_distributed_join,broad,joined_row_sample,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""high"",""join_strategy"":""high"",""wan_latency"":""high"",""work_mem"":""low""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,5,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=2
cond-f976fa43e71a92b87750,cond-f976fa43e71a92b87750::r0,pair-38844d353db639cb3e78623d,pair-38844d353db639cb3e78623d::r0,join_segment_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_user_join_pair__as_of_unix-1782864000__lookback_days-1__limit_k-50__tenant_id_filter-0__tenant_modulus-16__user_id_max-5,gac_fdw_single_edge_colocated_user_join_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 1, ""tenant_id_filter"": 0, ""tenant_modulus"": 16, ""user_id_max"": 5}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_segment_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_--4fed86b48da6dfb0eb10.sql,"fdw_remote_join,colocated_join,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_segment_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,user_segment_topk,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__segment_aggregate__sparse,colocated_distributed_join,sparse,segment_aggregate,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""join_strategy"":""high"",""wan_latency"":""low"",""work_mem"":""high""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,6,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=2
cond-74823fa648b7b5bcdbbd,cond-74823fa648b7b5bcdbbd::r0,pair-5e27f6c9d09abc32fd9f7099,pair-5e27f6c9d09abc32fd9f7099::r0,tenant_point_control_stressed__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-1__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/tenant_point_control_stressed__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-1__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,tenant_point_control_stressed__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,negative_control,join_strategy,repartition_join,stressed,stressed,repartition__tenant_point_control,tenant_point_no_join_control,control,no_join_tenant_point,,,,,,,null_join_strategy_intervention,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,7,false,small,2,1.0,1.0,2.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=2
cond-519a3820cf460fd7e05c,cond-519a3820cf460fd7e05c::r1,pair-1bd8bbc9e8a9a7986385d8b6,pair-1bd8bbc9e8a9a7986385d8b6::r1,join_row_sample_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_joined_event_sample_pair__as_of_unix-1782864000__lookback_days-1__limit_k-100__tenant_id_filter-0__tenant_modulus-16__user_id_max-5,gac_fdw_single_edge_colocated_joined_event_sample_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 1, ""tenant_id_filter"": 0, ""tenant_modulus"": 16, ""user_id_max"": 5}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_row_sample_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_for--9029d5e7070b057b9ffd.sql,"fdw_remote_join,colocated_join,remote_row_sample,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_row_sample_sparse_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,joined_event_sample,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__row_sample__sparse,colocated_distributed_join,sparse,joined_row_sample,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""high"",""join_strategy"":""high"",""wan_latency"":""high"",""work_mem"":""low""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
cond-afbf65a94df0746e3a15,cond-afbf65a94df0746e3a15::r2,pair-4a9934a0127135da813596f1,pair-4a9934a0127135da813596f1::r2,join_row_sample_broad_repartition__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_repartition_joined_event_sample_pair__as_of_unix-1782864000__lookback_days-30__limit_k-100__tenant_id_filter-0__tenant_modulus-1__user_id_max-2147483647,gac_fdw_single_edge_repartition_joined_event_sample_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 100, ""lookback_days"": 30, ""tenant_id_filter"": 0, ""tenant_modulus"": 1, ""user_id_max"": 2147483647}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_row_sample_broad_repartition__dataset-raw-small-balanced-v1__runtime-gac_fo--db2ce8f6b5969d47c2fd.sql,"fdw_remote_join,non_colocated_join,repartition_candidate,remote_row_sample,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_row_sample_broad_repartition__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,joined_event_sample,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,stressed,stressed,repartition__row_sample__broad,repartition_mapmerge_join,broad,joined_row_sample,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,"join_movement,remote_fetch_heavy",pilot,"{""fetch_size"":""high"",""join_strategy"":""high"",""wan_latency"":""high"",""work_mem"":""low""}",supports_global_users,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,9,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
cond-4965f7a0a780e5f0bacc,cond-4965f7a0a780e5f0bacc::r1,pair-dfae178e594f57ba4e37d7bf,pair-dfae178e594f57ba4e37d7bf::r1,join_router_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join__gac_fdw_single_edge_colocated_user_join_pair__as_of_unix-1782864000__lookback_days-30__limit_k-50__tenant_id_filter-1__tenant_modulus-1__user_id_max-2147483647,gac_fdw_single_edge_colocated_user_join_pair,"{""as_of_unix"": 1782864000, ""limit_k"": 50, ""lookback_days"": 30, ""tenant_id_filter"": 1, ""tenant_modulus"": 1, ""user_id_max"": 2147483647}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-130-repartition/rendered/groups/pressure-raw-v1-repartition__raw-small-balanced-v1__gac_force_remote_join__analytics_clients/queries/join_router_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_j--27cc58a303fd510758c6.sql,"fdw_remote_join,colocated_join,single_edge_equivalence",pressure-raw-v1-repartition,pressure-raw-corpus-v1,batch-130-repartition,pressure-raw-v1,join_router_colocated__dataset-raw-small-balanced-v1__runtime-gac_force_remote_join,user_segment_topk,fdw_raw,gac_single_edge,global_query,,raw-small-balanced-v1,gac_force_remote_join,eu_us_gac,positive_case,join_strategy,repartition_join,mitigated,mitigated,repartition__router_calibration,router_colocated_join,router,segment_aggregate,,,,,,,use_colocated_distribution,global_gac_mitigation_gain_log2,pressure_isolated,well_reduced_localized,pilot,"{""fetch_size"":""low"",""join_strategy"":""high"",""wan_latency"":""low"",""work_mem"":""high""}",supports_colocated_user_join,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,10,false,small,1,1.0,1.0,1.0,light,dataset=small:1;runtime=gac_force_remote_join:1;passes=1
