condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-614fb6b48cb49efc1c51,cond-614fb6b48cb49efc1c51::r2,pair-243993d8f0473ecc3f261985,pair-243993d8f0473ecc3f261985::r2,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-17-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--2dcf720bf8d7b1a6599f.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,1,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-018a3f8927bda01deb65,cond-018a3f8927bda01deb65::r2,pair-b5b69c43d81484e2773a4662,pair-b5b69c43d81484e2773a4662::r2,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,2,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-b81aab2c9f7da7c00c12,cond-b81aab2c9f7da7c00c12::r2,pair-010ea85671a498e59cd868f8,pair-010ea85671a498e59cd868f8::r2,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-50000__tenant_modulus-4,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--49304191b8b27abfaf7a.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,3,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-2f9fe17d77fc6aabfd92,cond-2f9fe17d77fc6aabfd92::r1,pair-eab3de9829df6c2287a60f57,pair-eab3de9829df6c2287a60f57::r1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-10__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-10__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,4,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-614fb6b48cb49efc1c51,cond-614fb6b48cb49efc1c51::r0,pair-243993d8f0473ecc3f261985,pair-243993d8f0473ecc3f261985::r0,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-17-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--2dcf720bf8d7b1a6599f.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,5,false,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=2
cond-5b7145cf40e7ba86ffc2,cond-5b7145cf40e7ba86ffc2::r0,pair-76e247bbe22a5528911b3e4e,pair-76e247bbe22a5528911b3e4e::r0,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--e5476fccf1908e44fda2.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,6,false,medium,2,3.0,1.0,6.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=2
cond-018a3f8927bda01deb65,cond-018a3f8927bda01deb65::r1,pair-b5b69c43d81484e2773a4662,pair-b5b69c43d81484e2773a4662::r1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,7,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-2220059852fdc2655b84,cond-2220059852fdc2655b84::r1,pair-27a648a6b9e6e7db0ec4e5e7,pair-27a648a6b9e6e7db0ec4e5e7::r1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-17-00-00-00-00__limit_k-25000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--6fae51bfc945d0e28231.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-2f9fe17d77fc6aabfd92,cond-2f9fe17d77fc6aabfd92::r2,pair-eab3de9829df6c2287a60f57,pair-eab3de9829df6c2287a60f57::r2,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-10__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 10}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-10__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,9,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-b7c9a72d59d073a9364c,cond-b7c9a72d59d073a9364c::r2,pair-30469fe7900b22fcab0a28ec,pair-30469fe7900b22fcab0a28ec::r2,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-25000__tenant_modulus-4,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__pilot-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regiona--62ba652f9b0e6edab419.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-pilot-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,pilot-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,10,false,medium,1,3.0,1.0,3.0,medium,dataset=medium:3;runtime=pressure_regional_memory_mitigated:1;passes=1
