condition_id,execution_slot_id,pair_id,repeat_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_version,batch_id,collection_contract_version,corpus_cell_id,logical_question_id,execution_strategy,execution_scope,target_scope,component_match_id,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,pressure_axis,pressure_level,variant,pressure_pair_key,physical_strategy_id,scenario_level,join_shape_id,remote_shape_id,edge_stress_scope,transfer_volume_level,network_subblock,coordinator_pressure_kind,coordinator_shape_id,mitigation_action,target_metric,dataset_role,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag,dataset_size_class,planned_query_passes,progress_dataset_weight,progress_runtime_multiplier,planned_work_units,progress_cost_class,progress_weight_basis
cond-e82cc20dc320ac0499ea,cond-e82cc20dc320ac0499ea::r2,pair-144a34913b0fbc1a6730bc06,pair-144a34913b0fbc1a6730bc06::r2,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-24-00-00-00-00__limit_k-25000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--7aa8dba92dc2f29beff9.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,1,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-66102c86ddbc57abac90,cond-66102c86ddbc57abac90::r1,pair-6bc57226eaa74ccbc4bdcb16,pair-6bc57226eaa74ccbc4bdcb16::r1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-24-00-00-00-00__limit_k-50000__tenant_modulus-4,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 4}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--34f53f808c80d4c910bb.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,2,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-ef71035df4ccec80ea93,cond-ef71035df4ccec80ea93::r0,pair-57541adb13357f12a7a628f6,pair-57541adb13357f12a7a628f6::r0,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--0494f843fe91c114a42c.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,3,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=2
cond-100fc855203859baa385,cond-100fc855203859baa385::r2,pair-abbe88459990ef0f50b2b1cf,pair-abbe88459990ef0f50b2b1cf::r2,regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-2__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,2,4,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-1b1a479efae652c1532b,cond-1b1a479efae652c1532b::r1,pair-d12f1ad5c74fceb11ae051ac,pair-d12f1ad5c74fceb11ae051ac::r1,regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-1000__lookback_days-7,gac_fdw_tenant_point_rollup,"{""as_of_unix"": 1782864000, ""lookback_days"": 7, ""tenant_id"": 1000}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_tenant_point_rollup__as_of_unix-1782864000__tenant_id-1000__lookback_days-7.sql,"fdw_remote_scan,tenant_filter,remote_pushdown_candidate",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_control_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,tenant_point_rollup,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,negative_control,regional_finalization,regional_finalization,mitigated,mitigated,regional__tenant_point_control,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_negative_control,"well_reduced_localized,remote_fetch_heavy",pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""none""}",,,,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,5,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-7084e38de42a8b17e3c3,cond-7084e38de42a8b17e3c3::r1,pair-a63b89388a8b7bccb0cccb5a,pair-a63b89388a8b7bccb0cccb5a::r1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-17-00-00-00-00__limit_k-25000__tenant_modulus-2,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--f94d282c4b2fde4079de.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,6,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-ca2c9b565705c6fdc167,cond-ca2c9b565705c6fdc167::r0,pair-5aeb76f66ae2a3daa120a7a3,pair-5aeb76f66ae2a3daa120a7a3::r0,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-24-00-00-00-00__limit_k-25000__tenant_modulus-2,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 2}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--d9de4b69ce56c807e7eb.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,7,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=2
cond-9553b9ff671309a18c70,cond-9553b9ff671309a18c70::r1,pair-ea7c4c83dc24df6ad24579dd,pair-ea7c4c83dc24df6ad24579dd::r1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-01-00-00-00-00__limit_k-25000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-01 00:00:00+00"", ""limit_k"": 25000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--08356b62e918c2329c5e.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,1,8,false,large,1,8.0,1.0,8.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=1
cond-0c7af2b49dccfbd25828,cond-0c7af2b49dccfbd25828::r0,pair-e3e88d6498599b1470a0cf8d,pair-e3e88d6498599b1470a0cf8d::r0,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-24-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-24 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--b3af2ed19e9bf4b27d66.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,9,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=2
cond-209ef3ea22c525c76b76,cond-209ef3ea22c525c76b76::r0,pair-e5e64cfabee46242387829a8,pair-e5e64cfabee46242387829a8::r0,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated__gac_fdw_single_edge_regional_user_value_topk__as_of_unix-1782864000__cutoff_ts-2026-06-17-00-00-00-00__limit_k-50000__tenant_modulus-1,gac_fdw_single_edge_regional_user_value_topk,"{""as_of_unix"": 1782864000, ""cutoff_ts"": ""2026-06-17 00:00:00+00"", ""limit_k"": 50000, ""tenant_modulus"": 1}",master-regimes/generated/corpus/pressure-raw-v1/batches/batch-140-regional/rendered/groups/pressure-raw-v1-regional__raw-large-balanced-v1__pressure_regional_memory_mitigated__analytics_clients/queries/regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_reg--12c51dc3ecf7ae42cc61.sql,"fdw_remote_scan,remote_aggregate,regional_sort,regional_spill_candidate,single_edge_equivalence",pressure-raw-v1-regional,pressure-raw-corpus-v1,batch-140-regional,pressure-raw-v1,regional_positive_mitigated__dataset-raw-large-balanced-v1__runtime-pressure_regional_memory_mitigated,user_value_topk,fdw_raw,gac_single_edge,global_query,,raw-large-balanced-v1,pressure_regional_memory_mitigated,eu_us_gac,positive_case,regional_finalization,regional_finalization,mitigated,mitigated,regional__single_edge_user_topk,,,,,,,,,,increase_regional_work_mem,global_gac_mitigation_gain_log2,pressure_isolated,remote_fetch_heavy,pilot,"{""fetch_size"":""low"",""wan_latency"":""low"",""work_mem"":""high""}",supports_high_group_cardinality,"{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":true,""join_uses_distribution_key"":false,""multi_tenant_scope"":true,""order_by_uses_distribution_key"":true,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,deterministic_interleaved_shuffle,20260730,false,0,10,false,large,2,8.0,1.0,16.0,heavy,dataset=large:8;runtime=pressure_regional_memory_mitigated:1;passes=2
