condition_id,batch_id,pressure_axis,expected_pressure_axes,expected_pressure_count,intervention_role,variant,pressure_level,pair_id,pressure_pair_key,physical_strategy_id,coordinator_pressure_kind,coordinator_shape_id,scenario_level,join_shape_id,planned_counterfactual_pair,result_equivalence_status,is_negative_control,is_calibration,network_subblock,template_id,logical_question_id,sql_shape_id,param_json,dataset_profile_id,dataset_size_class,dataset_skew_level,regional_distribution,runtime_config_id,topology_id,execution_strategy,physical_execution_count,repetition_count,stable_identity_valid,sentinel_flag
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::broad_filter_hot,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-c7c2e208f89e623a3a17dc10,skew__broad_filter_hot,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_event_filter_summary,event_filter_summary,sql-72cd73805665fa1e,"{""as_of_unix"":1782864000,""lookback_days"":30,""min_value"":0}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::global_rollup,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-0d7d6a436d9feabb17eab628,skew__global_rollup,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_event_count_rollup,event_full_scan_summary,sql-db276908c61bec68,"{""as_of_unix"":1782864000,""lookback_days"":30}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_high_cpu,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-2ddcacd56864f73a8a5abcd1,skew__hot_worker_probe_high_cpu,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_hot_worker_probe,top_tenants,sql-1e572c0db1a1cded,"{""as_of_unix"":1782864000,""cpu_terms"":128,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::hot_worker_probe_low_cpu,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-ebbf62a05fd81ebec8d56d2b,skew__hot_worker_probe_low_cpu,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_hot_worker_probe,top_tenants,sql-4c797908fe5b0fb6,"{""as_of_unix"":1782864000,""cpu_terms"":32,""eu_hot_tenant_max"":40,""eu_hot_tenant_min"":1,""us_hot_tenant_max"":10010,""us_hot_tenant_min"":10001}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::selective_filter_control,batch-120-skew,worker_data_skew,,0,negative_control,mitigated,mitigated,pair-5e39070dd99c8f5950b6aba5,skew__selective_filter_control,cold_or_selective_control,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_event_filter_summary,event_filter_summary,sql-761cdd1358640ec9,"{""as_of_unix"":1782864000,""lookback_days"":1,""min_value"":950}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::tenant_point_cold_control,batch-120-skew,worker_data_skew,,0,negative_control,mitigated,mitigated,pair-ba5ddaf94180fe7fb8a03597,skew__tenant_point_cold_control,cold_or_selective_control,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,sql-8069030cefe0f921,"{""as_of_unix"":1782864000,""eu_tenant_id"":100,""lookback_days"":30,""us_tenant_id"":10100}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::tenant_point_hot,batch-120-skew,worker_data_skew,,0,negative_control,mitigated,mitigated,pair-d9bc1da1319f15870bef1721,skew__tenant_point_hot,hot_data_activation,,,,,True,pending_execution,True,False,not_applicable,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,sql-b936a94f75e5f3b1,"{""as_of_unix"":1782864000,""eu_tenant_id"":1,""lookback_days"":30,""us_tenant_id"":10001}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_full,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-ada39379a574cda9f65b3e3a,skew__top_tenants_full,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-9838b088a2faee02,"{""as_of_unix"":1782864000,""limit_k"":100,""lookback_days"":30}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_medium,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-82bbff233ef9a5b685a604fc,skew__top_tenants_medium,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-e1035e607263209c,"{""as_of_unix"":1782864000,""limit_k"":75,""lookback_days"":14}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
batch-120-skew-pilot-region-local-skew-asymmetric-medium-v1::B::top_tenants_short,batch-120-skew,worker_data_skew,worker_data_skew,1,positive_case,mitigated,mitigated,pair-50b616a0a8ac9d69af4ee6d6,skew__top_tenants_short,hot_data_activation,,,,,True,pending_execution,False,False,not_applicable,gac_fdw_multiregion_top_tenants,top_tenants,sql-dd792b80bcb5b60d,"{""as_of_unix"":1782864000,""limit_k"":50,""lookback_days"":7}",pilot-region-local-skew-asymmetric-medium-v1,medium,region_local_heavy,asymmetric_skew,default,eu_us_gac,,3,3,True,
