condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-4ce68d2509565ea28322,etl_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_local_rollup__lookback_days-7,gac_etl_local_rollup,"{""lookback_days"":7}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/etl_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_local_rollup__lookback_days-7.sql,"local_etl_read,low_remote_pressure,aggregate",repeatability-v1,etl_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,etl_materialized,pilot-balanced-v1,default,eu_us_gac,negative_control,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,1,false
cond-1ef8768e78a1de56adf1,fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_tenant_tier_left_join__lookback_days-14__limit_k-50,gac_fdw_tenant_tier_left_join,"{""limit_k"":50,""lookback_days"":14}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_tenant_tier_left_join__lookback_days-14__limit_k-50.sql,"fdw_remote_join,reference_join,outer_join,group_by",repeatability-v1,fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,3,2,true
cond-c5b1cb80a15ad5f221e3,mr_raw_wide_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-100__payload_repeat-16__payload_width-512,gac_fdw_multiregion_event_raw_wide_sample,"{""limit_k"":100,""lookback_days"":7,""min_value"":900,""payload_repeat"":16,""payload_width"":512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_raw_wide_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-7__min_value-900__limit_k-100__payload_repeat-16__payload_width-512.sql,"fdw_union_all,fdw_remote_scan,raw_row_fetch,wide_payload_expression",repeatability-v1,mr_raw_wide_default__dataset-pilot-balanced-v1__runtime-default,event_raw_wide_sample,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,nan,remote_fetch_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,3,false
cond-2f7c5c4be6cf31156182,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-1__limit_k-100,gac_fdw_multiregion_tenant_tier_left_join,"{""limit_k"":100,""lookback_days"":1}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-1__limit_k-100.sql,"fdw_remote_join,reference_join,outer_join,fdw_union_all,daily_group_by",repeatability-v1,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default,tenant_tier_daily_join,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,4,true
cond-0310221dd4f525ebbd94,mr_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_full_scan_summary__case-001,gac_fdw_multiregion_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_event_full_scan_summary__case-001.sql,"fdw_union_all,full_scan,aggregate",repeatability-v1,mr_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default,event_full_scan_summary,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,nan,remote_fetch_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,5,false
cond-0815667b5c439756a642,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":1,""lookback_days"":30,""us_tenant_id"":10005}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,negative_control,nan,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,4,6,true
cond-06d0a73fabed411b37fc,fdw_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_full_scan_summary__case-001,gac_fdw_event_full_scan_summary,{},master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_full_scan_summary__case-001.sql,"fdw_remote_scan,full_scan,aggregate",repeatability-v1,fdw_event_full_scan_default__dataset-pilot-balanced-v1__runtime-default,event_full_scan_summary,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,nan,remote_fetch_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,7,false
cond-213094df63d00ed2a194,fdw_raw_wide_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,gac_fdw_event_raw_wide_sample,"{""limit_k"":100,""lookback_days"":7,""min_value"":500,""payload_repeat"":64,""payload_width"":512}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_raw_wide_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_raw_wide_sample__lookback_days-7__min_value-500__limit_k-100__payload_repeat-64__payload_width-512.sql,"fdw_remote_scan,raw_row_fetch,wide_payload_expression",repeatability-v1,fdw_raw_wide_default__dataset-pilot-balanced-v1__runtime-default,event_raw_wide_sample,fdw_raw,pilot-balanced-v1,default,eu_us_gac,baseline,nan,remote_fetch_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,8,false
cond-4f778474755e588e8aa1,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-900__limit_k-10,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"":10,""lookback_days"":7,""min_value"":900}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-900__limit_k-10.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",repeatability-v1,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,3,9,true
cond-2934cc7da1de670fd716,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-3__min_value-0__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"":50,""lookback_days"":3,""min_value"":0}",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-3__min_value-0__limit_k-50.sql,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",repeatability-v1,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,eu_us_gac,baseline,nan,gac_finalization_heavy,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,4,10,true
