condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-d80fba772498162ebbf6,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",repeatability-v1,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,1,false
cond-bd140430ae62137804c5,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":20,""lookback_days"":7,""us_tenant_id"":10005}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,4,2,true
cond-d80fba772498162ebbf6,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",repeatability-v1,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,3,false
cond-bd140430ae62137804c5,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":20,""lookback_days"":7,""us_tenant_id"":10005}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,4,true
cond-93b3ada989afb7c59810,holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-25,gac_fdw_multiregion_global_user_join,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-25.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",repeatability-v1,holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,global_user_topk,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,5,false
cond-d80fba772498162ebbf6,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50,gac_fdw_multiregion_multi_dimension_rollup,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-7__limit_k-50.sql,"fdw_remote_join,multi_join,fdw_union_all,daily_group_by",repeatability-v1,holdout_mr_multi_dimension_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,multi_dimension_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,6,false
cond-93b3ada989afb7c59810,holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-25,gac_fdw_multiregion_global_user_join,"{""limit_k"":25,""lookback_days"":30}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-25.sql,"fdw_remote_join,non_colocated_join,fdw_union_all,topk",repeatability-v1,holdout_mr_global_user_join_worker_skew__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,global_user_topk,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,positive_case,dataset_region_asymmetry,"join_movement,gac_finalization_heavy,skew_imbalance",repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,1,7,false
cond-bd140430ae62137804c5,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":20,""lookback_days"":7,""us_tenant_id"":10005}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,3,8,true
cond-bd140430ae62137804c5,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":20,""lookback_days"":7,""us_tenant_id"":10005}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,0,9,true
cond-bd140430ae62137804c5,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":20,""lookback_days"":7,""us_tenant_id"":10005}",master-regimes/generated/corpus/validation-holdout-v1/groups/clean-run-eu-us-gac-validation-holdout-v1__pilot-region-local-skew-asymmetric-medium-v1__default__analytics_clients/queries/holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-20__us_tenant_id-10005__lookback_days-7.sql,"fdw_union_all,tenant_filter,remote_pushdown_candidate",repeatability-v1,holdout_mr_tenant_point_controls__dataset-pilot-region-local-skew-asymmetric-medium-v1__runtime-default,tenant_point_rollup,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,default,eu_us_gac,negative_control,dataset_region_asymmetry,well_reduced_localized,repeatability,,,,,mixed_cache_repeatability_audit,deterministic_interleaved_shuffle,20260724,false,2,10,true
