condition_id,instance_id,template_id,param_json,rendered_sql_path,expected_shape_tags,corpus_id,corpus_cell_id,logical_question_id,execution_strategy,dataset_profile_id,runtime_config_id,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,runtime_sensitivity,required_dataset_capabilities,distribution_key_usage,intervention_roles,cache_policy,order_policy,shuffle_seed,warmup_run_flag,repetition_index,run_order,sentinel_flag
cond-245ee50864135328be0d,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-1,stats_ceb_multiregion_count,"{""query_id"": 1}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-1.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,1,false
cond-d3e81f9f8169ff89cf23,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-2,stats_ceb_multiregion_count,"{""query_id"": 2}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-2.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,2,false
cond-0ab844cd43088d96d1a7,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-3,stats_ceb_multiregion_count,"{""query_id"": 3}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-3.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,3,false
cond-ffdb37dbc0c25c53e555,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-4,stats_ceb_multiregion_count,"{""query_id"": 4}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-4.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,4,false
cond-0cbd7f833c8816a84ae7,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-5,stats_ceb_multiregion_count,"{""query_id"": 5}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-5.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,5,false
cond-bce63a577f3954f99376,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-6,stats_ceb_multiregion_count,"{""query_id"": 6}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-6.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,6,false
cond-8d430e04ba35f569734a,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-7,stats_ceb_multiregion_count,"{""query_id"": 7}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-7.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,7,false
cond-8e833866369ebed5b330,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-8,stats_ceb_multiregion_count,"{""query_id"": 8}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-8.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,8,false
cond-af806344ba08c1bcd622,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-9,stats_ceb_multiregion_count,"{""query_id"": 9}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-9.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,9,false
cond-a4a9a9b9f8747d16e0c1,stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-10,stats_ceb_multiregion_count,"{""query_id"": 10}",master-regimes/generated/corpus/stats-ceb-full-no-refit-v1/groups/stats-ceb-full-no-refit-v1__stats-ceb-full-no-refit-v1__default__analytics_clients/queries/stats_ceb_full_no_refit__stats_ceb_multiregion_count__query_id-10.sql,"external_schema,fdw_union_all,scalar_aggregate,citus_join_strategy_probe",stats-ceb-full-no-refit-v1,stats_ceb_full_no_refit,stats_ceb_count,multiregion_union,stats-ceb-full-no-refit-v1,default,eu_us_gac,final_check,external_schema_portability,"remote_fetch_heavy,join_movement,well_reduced_localized",pilot,"{""fetch_size"":""low"",""wan_latency"":""medium"",""work_mem"":""medium""}","supports_reference_join,supports_non_colocated_join,supports_selective_filters","{""filter_uses_distribution_key"":false,""group_by_uses_distribution_key"":false,""join_uses_distribution_key"":true,""multi_tenant_scope"":false,""order_by_uses_distribution_key"":false,""single_tenant_scope"":false,""tenant_filter_present"":false}",,mixed_cache_first_observed,manifest_order,,false,0,10,false
