contrast,query_condition_id,metric,pair_count,state_x_median,state_y_median,paired_delta_median,positive_delta_count,zero_delta_count,negative_delta_count
B--C,tenant_point__raw_gac_finalize,worker_rows_cv,3,0.0,0.0,0.0,0,3,0
B--C,tenant_point__raw_gac_finalize,worker_rows_isf,3,1.0,1.0,0.0,0,3,0
B--C,tenant_point__raw_gac_finalize,task_rows_isf_control,3,1.0,1.0,0.0,0,3,0
B--C,tenant_point__regional_reduced,worker_rows_cv,3,0.0,0.0,0.0,0,3,0
B--C,tenant_point__regional_reduced,worker_rows_isf,3,1.0,1.0,0.0,0,3,0
B--C,tenant_point__regional_reduced,task_rows_isf_control,3,1.0,1.0,0.0,0,3,0
B--C,top_tenants__raw_gac_finalize,worker_rows_cv,3,0.0743099458349957,0.6225413186688896,0.5482313728338939,3,0,0
B--C,top_tenants__raw_gac_finalize,worker_rows_isf,3,1.1,1.68787,0.5878699999999999,3,0,0
B--C,top_tenants__raw_gac_finalize,task_rows_isf_control,3,3.66864,3.66864,0.0,0,3,0
B--C,top_tenants__regional_reduced,worker_rows_cv,3,0.0743099458349957,0.6225413186688896,0.5482313728338939,3,0,0
B--C,top_tenants__regional_reduced,worker_rows_isf,3,1.1,1.68787,0.5878699999999999,3,0,0
B--C,top_tenants__regional_reduced,task_rows_isf_control,3,3.66864,3.66864,0.0,0,3,0
A--D,tenant_point__raw_gac_finalize,remote_region_rows_isf,3,1.0,1.0,0.0,0,3,0
A--D,tenant_point__raw_gac_finalize,remote_region_bytes_isf,3,,,,0,0,0
A--D,tenant_point__raw_gac_finalize,worker_rows_cv_control,3,0.0,0.0,0.0,0,3,0
A--D,tenant_point__regional_reduced,remote_region_rows_isf,3,1.0,1.0,0.0,0,3,0
A--D,tenant_point__regional_reduced,remote_region_bytes_isf,3,,,,0,0,0
A--D,tenant_point__regional_reduced,worker_rows_cv_control,3,0.0,0.0,0.0,0,3,0
A--D,top_tenants__raw_gac_finalize,remote_region_rows_isf,3,1.0,1.8,0.8,3,0,0
A--D,top_tenants__raw_gac_finalize,remote_region_bytes_isf,3,,,,0,0,0
A--D,top_tenants__raw_gac_finalize,worker_rows_cv_control,3,0.0212132034355964,0.8010118600869777,0.7797986566513813,3,0,0
A--D,top_tenants__regional_reduced,remote_region_rows_isf,3,1.0,1.8,0.8,3,0,0
A--D,top_tenants__regional_reduced,remote_region_bytes_isf,3,,,,0,0,0
A--D,top_tenants__regional_reduced,worker_rows_cv_control,3,0.0212132034355964,0.8010118600869777,0.7797986566513813,3,0,0
