contrast,state_x,state_y,query_condition_id,repetition_index,x_query_run_id,y_query_run_id,membership_l1,x_dominant_cluster,y_dominant_cluster,x_dominant_regime,y_dominant_regime,dominant_regime_changed,x_max_membership,y_max_membership,x_membership_c0,y_membership_c0,x_membership_c1,y_membership_c1,x_membership_c2,y_membership_c2,x_membership_c3,y_membership_c3
B--C,B,C,top_tenants__regional_reduced,0,20260725T114139Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114716Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,7.150733583964446e-05,1,1,R2,R2,False,0.8850740021465181,0.8851026135204203,0.07195950501613556,0.07192676644283115,0.8850740021465181,0.8851026135204203,0.006404087905320785,0.006401072810705337,0.036562404932025595,0.036569547226043185
B--C,B,C,tenant_point__regional_reduced,2,20260725T114155Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114800Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,8.814342512111772e-05,3,3,R3,R3,False,0.30516619932967165,0.30521027104223225,0.14452160166277395,0.14450674687452045,0.26479784980243026,0.2647784139629428,0.2855143492051241,0.2855045681203045,0.30516619932967165,0.30521027104223225
B--C,B,C,tenant_point__regional_reduced,1,20260725T114210Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114732Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0001406665357975012,3,3,R3,R3,False,0.3053149711029871,0.3052446378350884,0.14448927065067307,0.1444992776828071,0.26474248122022875,0.2647656240216886,0.2854532770261111,0.28549046046041604,0.3053149711029871,0.3052446378350884
B--C,B,C,top_tenants__raw_gac_finalize,1,20260725T114224Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114541Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.00014680706079833739,1,1,R2,R2,False,0.8071092471872263,0.8071323753481451,0.14215572176560765,0.14208775375260016,0.8071092471872263,0.8071323753481451,0.008097201225200181,0.008091765707808415,0.04263782982196589,0.04268810519144622
B--C,B,C,tenant_point__raw_gac_finalize,1,20260725T114241Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114557Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0019176773777389022,3,3,R3,R3,False,0.30787077269094126,0.3088296113798107,0.14853155188701214,0.1483178088382847,0.2557846576192658,0.2554326818604573,0.28781301780278085,0.2874198979214473,0.30787077269094126,0.3088296113798107
B--C,B,C,top_tenants__regional_reduced,1,20260725T114255Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114509Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,2.3476665284806117e-06,1,1,R2,R2,False,0.8850928239767473,0.8850936716037776,0.07193657501343578,0.07193667142535769,0.8850928239767473,0.8850936716037776,0.006401681171180115,0.006401910965492169,0.036568919838636985,0.036567746005372805
B--C,B,C,top_tenants__raw_gac_finalize,2,20260725T114312Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114629Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.0005440286618097426,1,1,R2,R2,False,0.8071456713970504,0.8070881583818101,0.14198755110067363,0.14223675675450834,0.8071456713970504,0.8070881583818101,0.008082328820567832,0.008105137497637969,0.04278444868170827,0.04256994736604364
B--C,B,C,tenant_point__regional_reduced,0,20260725T114329Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114527Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0001559008458868194,3,3,R3,R3,False,0.30529330380637476,0.30521535338343136,0.14449397637737948,0.14450564212914038,0.26475054614074234,0.2647765225721846,0.2854621736755034,0.2855024819152437,0.30529330380637476,0.30521535338343136
B--C,B,C,top_tenants__raw_gac_finalize,0,20260725T114343Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114611Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,0.0003163095551944571,1,1,R2,R2,False,0.807074738163967,0.8071264899442787,0.14226119521794883,0.14211539545964805,0.807074738163967,0.8071264899442787,0.008106702972309499,0.008094347953012981,0.042557363645774726,0.04266376664306019
B--C,B,C,tenant_point__raw_gac_finalize,2,20260725T114400Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114645Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,0.0008969335923780242,3,3,R3,R3,False,0.30812387583521555,0.30767540903902646,0.14847630156393712,0.14856913455410578,0.25569260688954487,0.2558525773522285,0.28770721571130253,0.2879028790546392,0.30812387583521555,0.30767540903902646
