contrast,state_x,state_y,query_condition_id,repetition_index,x_query_run_id,y_query_run_id,gac_visible_feature_count,topology_only_feature_count,gac_visible_rms_delta,topology_only_rms_delta,topology_minus_gac_delta,topology_delta_greater
B--C,B,C,top_tenants__regional_reduced,0,20260725T114139Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114716Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,12,9,0.0004251603028395442,0.0,-0.0004251603028395442,False
B--C,B,C,tenant_point__regional_reduced,2,20260725T114155Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114800Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,12,9,0.00028134514470955755,0.0,-0.00028134514470955755,False
B--C,B,C,tenant_point__regional_reduced,1,20260725T114210Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114732Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,12,9,0.0004088116902775088,0.0,-0.0004088116902775088,False
B--C,B,C,top_tenants__raw_gac_finalize,1,20260725T114224Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114541Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,12,9,0.0012731637639117378,0.0,-0.0012731637639117378,False
B--C,B,C,tenant_point__raw_gac_finalize,1,20260725T114241Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114557Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,12,9,0.005738983508301821,0.0,-0.005738983508301821,False
B--C,B,C,top_tenants__regional_reduced,1,20260725T114255Z-confirmatory-skew-v1-state-b__B-conf--6b6a1bdab472--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114509Z-confirmatory-skew-v1-state-c__C-conf--8dcf7977c538--ultiregion_top_tenants__lookback_days-7__limit_k-50,12,9,5.1238451301160355e-05,0.0,-5.1238451301160355e-05,False
B--C,B,C,top_tenants__raw_gac_finalize,2,20260725T114312Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114629Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,12,9,0.005332202469028125,0.0,-0.005332202469028125,False
B--C,B,C,tenant_point__regional_reduced,0,20260725T114329Z-confirmatory-skew-v1-state-b__B-conf--1526324c3195--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114527Z-confirmatory-skew-v1-state-c__C-conf--e08b476aca95--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,12,9,0.00045241635895466945,0.0,-0.00045241635895466945,False
B--C,B,C,top_tenants__raw_gac_finalize,0,20260725T114343Z-confirmatory-skew-v1-state-b__B-conf--06f02b2e6acb--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114611Z-confirmatory-skew-v1-state-c__C-conf--ffe4b17dee3b--p_tenants_raw_finalize__lookback_days-7__limit_k-50,12,9,0.0027505064218431552,0.0,-0.0027505064218431552,False
B--C,B,C,tenant_point__raw_gac_finalize,2,20260725T114400Z-confirmatory-skew-v1-state-b__B-conf--21b957a24269--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T114645Z-confirmatory-skew-v1-state-c__C-conf--dfea1533ac18--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,12,9,0.0026747483986098502,0.0,-0.0026747483986098502,False
