query_condition_id,repetition_index,a_query_run_id,d_query_run_id,a_remote_region_rows_isf,d_remote_region_rows_isf,remote_region_rows_isf_delta_d_minus_a,a_remote_region_bytes_isf,d_remote_region_bytes_isf,remote_region_bytes_isf_delta_d_minus_a,a_remote_region_actual_rows_max_share,d_remote_region_actual_rows_max_share,remote_region_actual_rows_max_share_delta_d_minus_a,a_remote_region_tuple_bytes_max_share,d_remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_max_share_delta_d_minus_a,a_worker_rows_cv,d_worker_rows_cv,worker_rows_cv_delta_d_minus_a,a_worker_task_scan_rows_isf,d_worker_task_scan_rows_isf,worker_task_scan_rows_isf_delta_d_minus_a
tenant_point__raw_gac_finalize,0,20260725T113706Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115013Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1.0,1.0,0.0,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.33333333333333326
top_tenants__raw_gac_finalize,0,20260725T113720Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T114938Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,1.0,1.8,0.8,,,,0.5,0.9,0.4,0.5,0.899957337883959,0.39995733788395904,0.0212132034355964,0.8010118600869777,0.7797986566513813,1.504,2.144,0.6400000000000001
top_tenants__raw_gac_finalize,2,20260725T113737Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115041Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,1.0,1.8,0.8,,,,0.5,0.9,0.4,0.5,0.899957337883959,0.39995733788395904,0.0212132034355964,0.8010118600869777,0.7797986566513813,1.504,2.144,0.6400000000000001
tenant_point__regional_reduced,1,20260725T113754Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115231Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1.0,1.0,0.0,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.33333333333333326
tenant_point__raw_gac_finalize,1,20260725T113809Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115203Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1.0,1.0,0.0,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.33333333333333326
top_tenants__regional_reduced,1,20260725T113823Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T114955Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,1.0,1.8,0.8,,,,0.5,0.9,0.4,0.5,0.899957337883959,0.39995733788395904,0.0212132034355964,0.8010118600869777,0.7797986566513813,1.504,2.144,0.6400000000000001
top_tenants__regional_reduced,0,20260725T113840Z-confirmatory-skew-v1-state-a__A-conf--84566377899f--ultiregion_top_tenants__lookback_days-7__limit_k-50,20260725T115058Z-confirmatory-skew-v1-state-d__D-conf--2f228c08ecc5--ultiregion_top_tenants__lookback_days-7__limit_k-50,1.0,1.8,0.8,,,,0.5,0.9,0.4,0.5,0.899957337883959,0.39995733788395904,0.0212132034355964,0.8010118600869777,0.7797986566513813,1.504,2.144,0.6400000000000001
top_tenants__raw_gac_finalize,1,20260725T113856Z-confirmatory-skew-v1-state-a__A-conf--233df2af3061--p_tenants_raw_finalize__lookback_days-7__limit_k-50,20260725T115115Z-confirmatory-skew-v1-state-d__D-conf--64364e429dca--p_tenants_raw_finalize__lookback_days-7__limit_k-50,1.0,1.8,0.8,,,,0.5,0.9,0.4,0.5,0.899957337883959,0.39995733788395904,0.0212132034355964,0.8010118600869777,0.7797986566513813,1.504,2.144,0.6400000000000001
tenant_point__regional_reduced,0,20260725T113913Z-confirmatory-skew-v1-state-a__A-conf--82bc259aae2e--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115132Z-confirmatory-skew-v1-state-d__D-conf--061a7a7e4919--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1.0,1.0,0.0,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.33333333333333326
tenant_point__raw_gac_finalize,2,20260725T113927Z-confirmatory-skew-v1-state-a__A-conf--436ed4b3ed2f--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,20260725T115217Z-confirmatory-skew-v1-state-d__D-conf--650f99449b22--eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,1.0,1.0,0.0,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.33333333333333326
