logical_run_id,setting,value,provenance,source
clean-run-v1,auto_explain,log_min_duration=0; analyze=true; buffers=true; timing=false,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1,cache_policy,mixed_cache_first_observed,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.clean-run-v1.yml
clean-run-v1,citus_explain_all_tasks,True,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1,database_result_rows_stored,False,reconstructed_from_versioned_config,collector contract
clean-run-v1,explicit_cache_reset,False,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.clean-run-v1.yml
clean-run-v1,fcm_fuzzifier,1.7,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1,fcm_k,4,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1,fcm_seeds,0..9,reconstructed_from_versioned_config,configs/features/phase1_flow_ratio_candidate.yml
clean-run-v1,hard_timeout_seconds,900,recorded_at_run_time,_index/query_runs.csv
clean-run-v1,main_explain_options,ANALYZE=true; BUFFERS=true; VERBOSE=true; FORMAT=JSON,reconstructed_from_versioned_config,master-regimes-infra/common-scripts/run_query_collection.py
clean-run-v1,model_feature_count,21,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1,model_input_id,m0_flow_ratio_v3_reduced,reconstructed_from_versioned_config,master-regimes/analysis/reports/clean-run-v1-final-model/final_model_manifest.yml
clean-run-v1,observation_unit,query_run_id,reconstructed_from_versioned_config,collector contract
clean-run-v1,order_policy,deterministic_shuffle,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.clean-run-v1.yml
clean-run-v1,repetitions,1,reconstructed_from_versioned_config,master-regimes/workloads/corpus/corpus_manifest.clean-run-v1.yml
