logical_run_id,node_name,node_role,logical_region,physical_provider_region,physical_location_provenance,postgresql_version,citus_version,software_version_provenance,logical_cpus,physical_cores,threads_per_core,cpu_model,ram_total_bytes,disk_total_bytes,storage_classes,postgres_storage_class,kernel,hardware_snapshot_count,hardware_signature_count,hardware_provenance,environment_source_repository,environment_source_commit,environment_source_path,shard_replication_factor,shard_replication_provenance
clean-run-v1,eu-analytics-1,global_analytics,gac,cdg,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758403072,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,eu-coord-1,regional_coordinator,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758415360,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,eu-worker-1,regional_worker,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758411264,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,eu-worker-2,regional_worker,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758415360,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,us-coord-1,regional_coordinator,us,ewr,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758411264,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,us-worker-1,regional_worker,us,ewr,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758407168,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1,us-worker-2,regional_worker,us,ewr,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,8,4,2,AMD EPYC-Rome Processor,16758415360,375809638400,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,8,1,recorded_at_run_time,master-regimes-infra,eb15b8e97112c0eadc31b80005e96c784f914d66,configs/systems/eu-us-gac.example.yml,not_recorded,not_recorded
clean-run-v1-region-asymmetry,eu-analytics-1,global_analytics,gac,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,1,1,1,"Intel Core Processor (Skylake, IBRS)",2052894720,68719476736,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,6,1,recorded_at_run_time,master-regimes-infra,36276016a062e98c70750072942074592242d1a3,configs/systems/eu-us-gac-vps.yml,not_recorded,not_recorded
clean-run-v1-region-asymmetry,eu-coord-1,regional_coordinator,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,1,1,1,"Intel Core Processor (Skylake, IBRS)",2052898816,68719476736,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,6,1,recorded_at_run_time,master-regimes-infra,36276016a062e98c70750072942074592242d1a3,configs/systems/eu-us-gac-vps.yml,not_recorded,not_recorded
clean-run-v1-region-asymmetry,eu-worker-1,regional_worker,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,1,1,1,"Intel Core Processor (Skylake, IBRS)",2052898816,68719476736,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,6,1,recorded_at_run_time,master-regimes-infra,36276016a062e98c70750072942074592242d1a3,configs/systems/eu-us-gac-vps.yml,not_recorded,not_recorded
clean-run-v1-region-asymmetry,eu-worker-2,regional_worker,eu,ams,reconstructed_from_versioned_config,18,14.0,reconstructed_from_versioned_config,1,1,1,"Intel Core Processor (Skylake, IBRS)",2052894720,68719476736,virtual_disk_rotational_reported,virtual_disk_rotational_reported,5.15.0-181-generic,6,1,recorded_at_run_time,master-regimes-infra,36276016a062e98c70750072942074592242d1a3,configs/systems/eu-us-gac-vps.yml,not_recorded,not_recorded
