feature,family,transform,neutral,missing_count,missing_share,semantic_min,semantic_median,semantic_p99,semantic_max,dropped_as_redundant,redundant_with,family_feature_count,family_energy_weight
foreign_scan_time_to_root_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,0,0.0,0.0,0.3797821152518135,0.38584748211755143,0.38586284191890446,False,,3,0.5773502691896258
remote_to_final_rows_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,280,0.1425661914460285,0.0,0.9209312417410503,0.9488432538949747,0.9507451706424898,False,,3,0.5773502691896258
regional_input_to_wan_rows_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,280,0.1425661914460285,0.0,0.38586284191890446,0.8915772025020829,0.9479602553283177,False,,3,0.5773502691896258
global_group_merge_ratio,regional_reduction,nonnegative_log_atan,0.0,280,0.1425661914460285,0.0,0.9256839876560576,0.9488432538949747,0.9507451706424898,False,,1,1.0
spill_present,normalized_spill_pressure,binary,0.0,0,0.0,0.0,1.0,1.0,1.0,False,,4,0.5
spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,nonnegative_log_atan,0.0,280,0.1425661914460285,0.0,0.0,0.8456936172123826,0.8511333727916992,False,,4,0.5
temp_blocks_per_final_row,normalized_spill_pressure,nonnegative_log_atan,0.0,0,0.0,0.0,0.7530087723615937,0.931140161217999,0.934566184632679,False,,4,0.5
hash_batch_excess,normalized_spill_pressure,nonnegative_log_atan,0.0,0,0.0,0.0,0.0,0.46589648001348555,0.6021699719043225,False,,4,0.5
remote_region_rows_isf_normalized,skew_imbalance,bounded_share,0.0,592,0.3014256619144603,0.0,0.0,0.98000198000198,0.98000198000198,False,,3,0.5773502691896258
worker_task_scan_rows_isf_normalized,skew_imbalance,bounded_share,0.0,592,0.3014256619144603,0.0,0.008,0.9603999215840032,0.9603999215840032,False,,3,0.5773502691896258
worker_scan_rows_cv_normalized,skew_imbalance,bounded_share,0.0,592,0.3014256619144603,0.0,0.0122474487139158,0.9603999215840032,0.9603999215840032,False,,3,0.5773502691896258
task_count_to_shard_count_ratio,citus_topology_normalized,nonnegative_log_atan,0.0,240,0.12219959266802444,0.0,0.38586284191890446,0.6482557582036192,0.6482557582036192,False,,4,0.5
active_task_share,citus_topology_normalized,nonnegative_log_atan,0.0,240,0.12219959266802444,0.0,0.38586284191890446,0.5328662216172926,0.5328662216172926,False,,4,0.5
citus_repartition_observed_v2,citus_topology_normalized,binary,0.0,0,0.0,0.0,0.0,1.0,1.0,False,,4,0.5
worker_task_seq_scan_share,citus_topology_normalized,bounded_share,0.0,592,0.3014256619144603,0.0,1.0,1.0,1.0,False,,4,0.5
root_rows_estimate_error_log,estimate_error,signed_atan,0.5,0,0.0,0.05318251501255433,0.5,0.8808491745630005,0.9043984443288973,False,,4,0.5
foreign_scan_rows_estimate_error_log,estimate_error,signed_atan,0.5,592,0.3014256619144603,0.30706857904054774,0.9088975778135804,0.959344576282659,0.9593687656212921,False,,4,0.5
aggregate_rows_estimate_error_log,estimate_error,signed_atan,0.5,310,0.15784114052953158,0.07113909215436925,0.5,0.9465030030672061,0.9531707543829477,False,,4,0.5
remote_root_rows_estimate_error_log,estimate_error,signed_atan,0.5,280,0.1425661914460285,0.045827206094604445,0.6929303459228214,0.9655751622100568,0.9655751622100568,False,,4,0.5
