query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,0.9967978196510668,8000.0,1.0,8000.0,1,3.167235494880546,74.24,0.0,0.0,0.008,0.0122474487139158,2.0,1.0,0,1.0,0.0,2.426199048961222,2.2955955488123334,0.693142180597445
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,0.952140328614476,33333.333333333336,1.0,33333.333333333336,1,15.743869793339758,2042.111111111111,0.0,0.0,0.0105396825396825,0.0066666666666666,2.0,2.0,0,1.0,0.0,5.111018268193043,0.0,0.693142180597445
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,0.8626597131397917,33333.333333333336,1.0,33333.333333333336,1,37.32108486439195,4739.777777777777,0.0,0.0,0.0105396825396825,0.03,2.0,2.0,0,1.0,-0.1823215567939546,5.8267088557966815,-0.1823215567939546,0.693142180597445
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,0.9679977557551712,1597.4,1.0,1597.4,0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,2.0,1.0,0,1.0,0.0,3.860784821122999,3.962002937733167,-1.6242062833596462
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,0.9855604721407952,4000.0,1.0,4000.0,1,3.167235494880546,37.12,0.0,0.0,0.008,0.03,1.0,1.0,0,1.0,0.0,5.0599377191290245,1.6357552207514738,0.693142180597445
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0.9963509779073852,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,2.970414465569701,0.0,5.303304908059076
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0.9965100957943092,200.0,2.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0,0.0,0.0,2.4423470353692043,0.0,5.303304908059076
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,0.8869796560671731,8040.0,1.0,8040.0,1,34.67403784818201,815.36,0.0,0.0,0.0083582089552238,0.0103565472610255,2.0625,1.03125,0,1.0,0.0,5.827727125291873,-1.802341578558592,6.90875477931522
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,0.935179286250184,798.7,1.0,798.7,0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,2.0,1.0,0,1.0,0.0,4.627279974193868,4.7255886347794895,-1.6242062833596462
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,0.0,,,,0,,0.0,0.0,,,,,,0,,0.6931471805599453,,0.6931471805599453,
