query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,0.3851732773086095,0.9294548588097926,0.38586284191890446,0.9294548588097926,1.0,0.6109235524297302,0.8552070403845748,0.0,0.0,0.008,0.0122474487139158,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.8755563501862281,0.8692291630384593,0.6929303459228214
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,0.37532898176068846,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.7829154045767645,0.9169528364817203,0.0,0.0,0.0105396825396825,0.0066666666666666,0.5298923194957792,0.5298923194957792,0.0,1.0,0.5,0.9384977849811166,0.5,0.6929303459228214
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,0.35424262264023487,0.9390577066593679,0.38586284191890446,0.9390577066593679,1.0,0.8295830337649782,0.9251316858829639,0.0,0.0,0.0105396825396825,0.03,0.5298923194957792,0.5298923194957792,0.0,1.0,0.4425957648076051,0.9458976314666484,0.4425957648076051,0.6929303459228214
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,0.37887394157981175,0.9142221406918393,0.38586284191890446,0.9142221406918393,0.0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9193259761348676,0.9213029914398335,0.17566665612997812
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,0.38273637844162206,0.9236147927652361,0.38586284191890446,0.9236147927652361,1.0,0.6109235524297302,0.8293483874047196,0.0,0.0,0.008,0.03,0.38586284191890446,0.38586284191890446,0.0,1.0,0.5,0.937892477606685,0.8253386284894471,0.6929303459228214
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0.3850768831798556,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.8966334502749365,0.5,0.9406755169048453
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0.38511121338626597,0.8813510338096907,0.5298923194957792,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038547653830923,0.019583666670619046,0.0,0.0,0.5,0.876298529855426,0.5,0.9406755169048453
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,0.3601625334298536,0.9294936622431859,0.38586284191890446,0.9294936622431859,1.0,0.8263357523189632,0.9057457117584393,0.0,0.0,0.0083582089552238,0.0103565472610255,0.5357795918870424,0.39248161744989635,0.0,1.0,0.5,0.9459069037202249,0.161238852278478,0.954244363816976
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,0.37147546279178156,0.9054592162258968,0.38586284191890446,0.9054592162258968,0.0,0.0,0.0,0.0,0.0130962814573682,0.0066651960229022,0.0140812350992967,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9322520155215137,0.933620491645264,0.17566665612997812
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929314209594523,0.5,0.6929314209594523,0.5
