mitigation_action,intervention_role,pair_count,strict_pair_count,review_pair_count,invalid_pair_count,action_count,stressed_template_count,mitigated_template_count,logical_question_count,dataset_count,dataset_size_class_count,configuration_transition_count,target_scope_all_global,median_log2_gain,median_speedup,q10_log2_gain,q90_log2_gain,positive_gain_pair_share,median_within_pair_log2_std,global_gain_signal,action_template_confounded,model_readiness,model_readiness_reasons
disperse_hot_shards,negative_control,21,21,0,0,1,2,2,2,7,3,1,True,0.0309452077722296,1.0216812794642465,-0.1330901871886914,0.1316776210582426,0.6190476190476191,0.0687457751329967,negative_control,False,limited_gain_model,fewer_than_minimum_pairs|insufficient_stressed_template_diversity
disperse_hot_shards,positive_case,49,49,0,0,1,4,4,3,7,3,1,True,-0.0067098982455954,0.9953598518552559,-0.07298957870056387,0.2329856220827816,0.46938775510204084,0.0741955838153605,weak_or_inconsistent_global_gain,False,candidate_null_result_test,weak_or_inconsistent_global_gain
increase_fetch_size,calibration,8,8,0,0,1,4,4,4,2,2,1,True,0.5361322890497842,1.4500797929832197,-0.03244498023350525,0.9153434707080105,0.75,0.1402698453974986,strong_positive_global_gain,False,calibration_only,contract_marks_policy_as_calibration_only
increase_gac_work_mem,negative_control,24,24,0,0,1,2,2,2,3,3,1,True,-0.012858859778425852,0.9911265213670833,-0.08831583595481184,0.10933620993703118,0.4583333333333333,0.10215940160612086,negative_control,False,limited_gain_model,fewer_than_minimum_pairs|insufficient_stressed_template_diversity
increase_gac_work_mem,positive_case,15,15,0,0,1,1,1,1,3,3,1,True,0.1020557333854388,1.0733017487835876,0.025865554685141727,0.2143556265538052,0.9333333333333333,0.0944874455579532,moderate_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
increase_regional_work_mem,negative_control,21,21,0,0,1,1,1,1,3,3,1,True,-0.0357822336134662,0.9755026968472839,-0.100594189066108,0.120318664941055,0.42857142857142855,0.1549814435452725,negative_control,False,limited_gain_model,fewer_than_minimum_pairs|insufficient_stressed_template_diversity
increase_regional_work_mem,positive_case,54,54,0,0,1,1,1,1,3,3,1,True,0.05925118768358925,1.0419248227835445,-0.08679982395029948,0.2123797822355197,0.7037037037037037,0.12802017116911174,weak_or_inconsistent_global_gain,False,limited_gain_model,insufficient_stressed_template_diversity|weak_or_inconsistent_global_gain
mitigate_remote_path_bundle,calibration,6,6,0,0,1,1,1,1,3,3,1,True,4.240995853315155,18.90893040163444,2.992271403047889,5.48505882448026,1.0,0.06689126565295794,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
mitigate_remote_path_bundle,negative_control,21,21,0,0,1,1,1,1,3,3,1,True,-0.0798238829642176,0.9461731437876855,-0.1491437383054703,0.0445631950905324,0.19047619047619047,0.1058702218871732,negative_control,False,limited_gain_model,fewer_than_minimum_pairs|insufficient_stressed_template_diversity
mitigate_remote_path_bundle,positive_case,24,24,0,0,1,4,4,4,3,3,1,True,4.477353071589394,22.274992974170438,1.6098896902781903,5.384662752242393,1.0,0.08564368769486955,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs
null_join_strategy_intervention,negative_control,24,24,0,0,1,2,2,2,6,3,1,True,-0.00724265061984755,0.9949923574011347,-0.09754749207615726,0.11335254890227464,0.4583333333333333,0.16779402758135095,negative_control,False,limited_gain_model,fewer_than_minimum_pairs|insufficient_stressed_template_diversity
regional_join_pushdown,positive_case,15,15,0,0,1,1,1,1,3,3,1,True,2.11606340190755,4.335094376950263,0.7469022900557888,3.0605363220124304,1.0,0.1074411362107118,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
regional_partial_aggregation,positive_case,15,15,0,0,1,1,1,1,3,3,1,True,0.6645480056060031,1.5850715946456384,0.011600025936343406,1.938828448263985,0.8666666666666667,0.056025248915398,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
regional_prededuplication,positive_case,15,15,0,0,1,1,1,1,3,3,1,True,0.9360041155030956,1.913221773926847,0.19837408963502218,2.7946357483329267,0.9333333333333333,0.1584209170784359,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
regional_topk_candidates,positive_case,15,15,0,0,1,1,1,1,3,3,1,True,1.562594596553008,2.9538459672421817,0.6937567575855131,3.9097000040961545,1.0,0.1473315977715849,strong_positive_global_gain,False,limited_gain_model,fewer_than_minimum_pairs|fewer_than_minimum_strict_pairs|insufficient_stressed_template_diversity
remove_added_delay,calibration,8,8,0,0,1,4,4,4,2,2,1,True,3.8760539500013804,14.682787173819873,2.632838669862896,4.275368334971317,1.0,0.0824116642572691,strong_positive_global_gain,False,calibration_only,contract_marks_policy_as_calibration_only
remove_bandwidth_limit,calibration,8,8,0,0,1,4,4,4,2,2,1,True,2.692843683994222,6.465866335880461,0.3281674745758219,3.524350263232909,1.0,0.08970030372259336,strong_positive_global_gain,False,calibration_only,contract_marks_policy_as_calibration_only
use_colocated_distribution,positive_case,75,75,0,0,1,4,4,4,6,3,1,True,5.020591619781458,32.46001181245457,1.8944148796066906,6.249721106835285,1.0,0.1059765330159177,strong_positive_global_gain,False,candidate_grouped_gain_model,meets_configured_readiness_thresholds
