pair_id,correctness_recovery_status,stressed_row_count,mitigated_row_count,schema_equal,matched_row_count,exact_multiset_hash,max_floating_absolute_difference,max_floating_relative_difference,error,mitigation_action,intervention_role,pressure_axis,dataset_profile_id,template_id
pair-000d8e2b25401f9bb157953d,tolerance_equivalent,2,2,True,2,False,8.754432201385498e-08,9.026977439410264e-15,,increase_fetch_size,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-0084d0e4ed7184a8eefc7ee3,tolerance_equivalent,75,75,True,75,False,1.9744038581848145e-07,1.2497007942347591e-14,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-012337b2ca9c0564ea74a5ca,tolerance_equivalent,12,12,True,12,False,2.3283064365386963e-10,2.1640179384059523e-16,,remove_bandwidth_limit,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_global_user_join
pair-01dfaddf04d9ed608a513ddd,tolerance_equivalent,1,1,True,1,False,8.940696716308594e-08,4.74517257453072e-16,,increase_fetch_size,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-029769d7a614ec361d9ca8fc,tolerance_equivalent,1,1,True,1,False,7.450580596923828e-09,4.663927313015689e-16,,increase_gac_work_mem,negative_control,gac_finalization,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-0805d6762414f90dcf7c0dcf,tolerance_equivalent,100,100,True,100,False,3.259629011154175e-08,7.437794272040236e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-09dea66f82d5ff9211fbea2b,tolerance_equivalent,12,12,True,12,False,2.3283064365386963e-10,2.1522071446171824e-16,,increase_fetch_size,calibration,remote_path,raw-small-balanced-v1,gac_fdw_multiregion_global_user_join
pair-0a4c8a22dbd86e99537cc16e,tolerance_equivalent,1,1,True,1,False,8.940696716308594e-07,4.7451725745307186e-15,,mitigate_remote_path_bundle,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-0d2ba08b5d61e86c106e7dac,tolerance_equivalent,1,1,True,1,False,4.470348358154297e-08,1.2187241694139245e-15,,increase_gac_work_mem,negative_control,gac_finalization,pilot-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-11d6c95fcf75ff2ace043c27,tolerance_equivalent,1,1,True,1,False,5.587935447692871e-09,8.765870874825346e-16,,disperse_hot_shards,negative_control,worker_data_skew,raw-large-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
pair-122d782337ae4873e933f430,tolerance_equivalent,2,2,True,2,False,6.556510925292969e-07,2.900198723772708e-15,,mitigate_remote_path_bundle,positive_case,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-174c56f135fa1cdc836cc8f3,tolerance_equivalent,100,100,True,100,False,5.587935447692871e-07,1.648004470972415e-14,,disperse_hot_shards,positive_case,worker_data_skew,raw-large-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-1797c8a5e684d1ee3b808bbd,tolerance_equivalent,50,50,True,50,False,5.820766091346741e-10,1.3899375014827005e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-small-skew-heavy-v1,gac_fdw_multiregion_top_tenants
pair-19702371edb21c3a2e1a0424,tolerance_equivalent,22,22,True,22,False,2.9802322387695312e-08,2.8630448234106846e-16,,remove_bandwidth_limit,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_global_user_join
pair-1b5765fae749dccb75ecc13d,exact_snapshot,1,1,True,1,True,0.0,0.0,,disperse_hot_shards,negative_control,worker_data_skew,raw-medium-skew-moderate-v1,gac_fdw_multiregion_event_filter_summary
pair-2034afdb01f7315139905266,tolerance_equivalent,1,1,True,1,False,7.450580596923828e-09,5.129539581579369e-16,,increase_gac_work_mem,negative_control,gac_finalization,raw-small-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-293bae51ea5ca75f1f158b7e,tolerance_equivalent,2,2,True,2,False,4.291534423828125e-06,4.4322329651288944e-15,,mitigate_remote_path_bundle,positive_case,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_raw_region_rollup
pair-2b82d581e7ef25cbd5d09f19,tolerance_equivalent,22,22,True,22,False,1.4901161193847656e-08,2.1016390912082907e-16,,remove_added_delay,calibration,remote_path,raw-large-balanced-v1,gac_fdw_multiregion_global_user_join
pair-2bec898c9a7861a4f0ca2a28,tolerance_equivalent,50,50,True,50,False,4.0745362639427185e-10,1.995459269359732e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-medium-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-2ececece6ebe8e2fcecf1f1e,tolerance_equivalent,1,1,True,1,False,2.384185791015625e-06,6.481544475141671e-15,,increase_gac_work_mem,negative_control,gac_finalization,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
pair-308e5e2de9a612da419bd962,tolerance_equivalent,75,75,True,75,False,1.0477378964424133e-09,2.580264061628603e-15,,disperse_hot_shards,positive_case,worker_data_skew,raw-medium-skew-moderate-v1,gac_fdw_multiregion_top_tenants
pair-31f74cb13359b1cd443477b5,tolerance_equivalent,1,1,True,1,False,1.4901161193847656e-08,3.877216945945096e-16,,increase_gac_work_mem,negative_control,gac_finalization,raw-large-balanced-v1,gac_fdw_multiregion_event_filter_summary
