pair_id,coordinator_fanin_rows,coordinator_fanin_bytes_estimated,coordinator_final_rows,coordinator_non_foreign_time_share_proxy,coordinator_join_operator_count,remote_region_actual_rows_sum,remote_region_tuple_bytes_sum,remote_region_task_count_sum,remote_citus_dependent_map_task_count_sum,remote_citus_repartition_fanout_ratio_max,worker_task_actual_rows_sum,worker_task_scan_actual_rows_sum,regional_coordinator_tx_bytes_sum,analytics_rx_bytes_sum,worker_tx_bytes_sum,os_cpu_busy_pct_mean,os_mem_used_peak_bytes_max,os_disk_read_bytes_sum,os_disk_written_bytes_sum,scenario_level,dataset_size_class,stressed_template_id,dataset_profile_id,logical_question_id,target_log2_gain,correctness_recovery_applied
pair-0a75650ec98b46a1ca6525a6,193371.0,17016648.0,100.0,0.0309345226518548,0.0,400000.0,20971520.0,24.0,128.0,5.333333333333333,200000.0,200000.0,17619150.0,16679104.0,37464143.0,35.8675,771063808.0,0.0,43778048.0,broad,medium,gac_fdw_single_edge_repartition_user_value_topk_pair,pilot-balanced-wide-global-dim-v1,joined_user_value_topk,2.4640153438776093,False
pair-0c59cefa7b5da007523b9951,578.0,50864.0,100.0,0.0003640081742514,0.0,22465.0,2146304.0,24.0,64.0,2.6666666666666665,2465.0,2465.0,641544.0,209808.0,5418395.0,38.5255,779399168.0,0.0,3768320.0,moderate,small,gac_fdw_single_edge_repartition_user_value_topk_pair,raw-small-balanced-wide-global-dim-v1,joined_user_value_topk,4.793092952932397,False
pair-0e68ead3b44906b478490fb7,1935744.0,139373568.0,11.0,0.0620934215055183,0.0,4000000.0,213909504.0,24.0,256.0,10.666666666666666,2000000.0,2000000.0,141585791.0,138747730.0,277403318.0,31.19425,902463488.0,253952.0,2444574720.0,broad,large,gac_fdw_single_edge_repartition_user_join_pair,raw-large-balanced-wide-global-dim-v1,user_segment_topk,1.5401010657873144,False
pair-0f9edb4fd9e8c424064233f6,1935744.0,46457856.0,1.0,0.0537991217731677,0.0,4000000.0,213909504.0,24.0,256.0,10.666666666666666,2000000.0,2000000.0,125965090.0,123102342.0,271077882.0,31.7805,899842048.0,303104.0,2306269184.0,broad,large,gac_fdw_single_edge_repartition_join_summary_pair,raw-large-balanced-wide-global-dim-v1,joined_event_summary,1.4872506878681435,False
pair-1157b0b8fdac4714f5f9489a,102.0,7344.0,4.0,6.788230629148672e-06,0.0,2003216.0,213909504.0,24.0,256.0,10.666666666666666,3216.0,3216.0,3000956.0,229704.0,236784488.0,36.2945,863776768.0,98304.0,1447870464.0,sparse,large,gac_fdw_single_edge_repartition_user_join_pair,raw-large-balanced-v1,user_segment_topk,6.26818710194479,False
pair-1290c10363897c026e01d849,19384.0,1705792.0,100.0,0.0075352547035663,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,2095181.0,1662649.0,4405030.0,38.298,785850368.0,0.0,3104768.0,broad,small,gac_fdw_single_edge_repartition_user_value_topk_pair,raw-small-balanced-v1,joined_user_value_topk,3.915106258391764,False
pair-1452c60f68236ff230225ed0,25.0,600.0,1.0,1.5410372840503408e-05,0.0,200590.0,20971520.0,24.0,128.0,5.333333333333333,590.0,590.0,973144.0,41612.0,37366744.0,38.87425,769814528.0,0.0,9486336.0,sparse,medium,gac_fdw_single_edge_repartition_join_summary_pair,pilot-balanced-wide-global-dim-v1,joined_event_summary,5.5252087041888815,False
pair-14b8cc3f6675dd80ee0fc13f,193371.0,17016648.0,100.0,0.0301729541945169,0.0,400000.0,20971520.0,24.0,128.0,5.333333333333333,200000.0,200000.0,17583194.0,16678962.0,27271970.0,35.0475,776269824.0,0.0,41500672.0,broad,medium,gac_fdw_single_edge_repartition_user_value_topk_pair,pilot-balanced-v1,joined_user_value_topk,2.425885600335754,False
pair-19bd915042ea1ae863055aa8,193371.0,4640904.0,1.0,0.0226308567440675,0.0,400000.0,20971520.0,24.0,128.0,5.333333333333333,200000.0,200000.0,13005518.0,12096290.0,27675441.0,35.73325,770256896.0,0.0,8396800.0,broad,medium,gac_fdw_single_edge_repartition_join_summary_pair,pilot-balanced-v1,joined_event_summary,2.57666393483991,False
pair-1bd8bbc9e8a9a7986385d8b6,2.0,192.0,2.0,2.001984239373117e-05,0.0,20110.0,2146304.0,24.0,64.0,2.6666666666666665,110.0,110.0,447329.0,17347.0,4063785.0,39.089,779550720.0,0.0,4366336.0,sparse,small,gac_fdw_single_edge_repartition_joined_event_sample_pair,raw-small-balanced-v1,joined_event_sample,4.963454589088137,False
