feature,all_execution_missing_share,stressed_model_input_missing_share
coordinator_fanin_rows,0.0,0.0
coordinator_fanin_bytes_estimated,0.0,0.0
coordinator_final_rows,0.0,0.0
coordinator_non_foreign_time_share_proxy,0.0,0.0
coordinator_join_operator_count,0.0,0.0
remote_region_actual_rows_sum,0.0,0.0
remote_region_tuple_bytes_sum,0.0,0.0
remote_region_task_count_sum,0.0,0.0
remote_citus_dependent_map_task_count_sum,0.5,0.0
remote_citus_repartition_fanout_ratio_max,0.5,0.0
worker_task_actual_rows_sum,0.0,0.0
worker_task_scan_actual_rows_sum,0.0,0.0
regional_coordinator_tx_bytes_sum,0.0,0.0
analytics_rx_bytes_sum,0.0,0.0
worker_tx_bytes_sum,0.0,0.0
os_cpu_busy_pct_mean,0.0,0.0
os_mem_used_peak_bytes_max,0.0,0.0
os_disk_read_bytes_sum,0.0,0.0
os_disk_written_bytes_sum,0.0,0.0
