actual_rank,predicted_rank,rank_error,absolute_rank_error,pair_id,placement_profile,size_class,logical_question_id,dataset_profile_id,target_log2_gain,predicted_log2_gain,actual_speedup,predicted_speedup,distance_to_p99_ratio,outside_training_p99
1,3,2,2,pair-aac7edccf0212215e5c71947,apac_dominant,medium,joined_event_summary,n3-medium-apac-dominant-wide-global-dim-v1,2.692255502158867,0.06004502202515827,6.463230761577024,1.0424982934628602,4.033568268761312,True
2,5,3,3,pair-d9201ffdbbb851d2b807ca42,balanced,medium,user_segment_topk,n3-medium-balanced-wide-global-dim-v1,2.672253851692606,-0.056350777588447976,6.374242261515249,0.9616935995768849,4.052474179937876,True
3,1,-2,2,pair-97183a8a00343f3df6277541,apac_dominant,medium,user_segment_topk,n3-medium-apac-dominant-wide-global-dim-v1,2.6566124682859704,0.14746695804674115,6.305507401520209,1.1076230315422524,4.002954078005628,True
4,2,-2,2,pair-ef0a8990ddb0baf8212b5a35,apac_dominant,medium,joined_event_sample,n3-medium-apac-dominant-wide-global-dim-v1,2.6060058994009077,0.14401222729730012,6.08815841871844,1.1049738497634922,3.9377519269939216,True
5,4,-1,1,pair-428ff0727b8de49745aecf50,balanced,medium,joined_event_sample,n3-medium-balanced-wide-global-dim-v1,2.603739394281965,-0.04103221816972269,6.078601299324316,0.9719592820089288,3.9733939662056335,True
6,6,0,0,pair-4750f662635be33cc871d760,balanced,medium,joined_event_summary,n3-medium-balanced-wide-global-dim-v1,2.5960147600758323,-0.06388331731757368,6.046141570448188,0.9566855300358234,3.8842920573197732,True
7,7,0,0,pair-e7ec45860f90ffdfb199c796,apac_dominant,medium,joined_user_value_topk,n3-medium-apac-dominant-wide-global-dim-v1,2.4744632903234476,-0.11843959602089438,5.557604961217542,0.921183454463472,3.969811740299789,True
8,10,2,2,pair-58f8d2747f014a50c624006e,balanced,medium,joined_user_value_topk,n3-medium-balanced-wide-global-dim-v1,2.4707287439752275,-0.29442367942221725,5.543237203221897,0.8153979984526247,4.026131807262742,True
9,12,3,3,pair-426de92e787fdefda642d5e7,apac_dominant,large,user_segment_topk,n3-large-apac-dominant-wide-global-dim-v1,1.905851702164993,-0.3564645606083916,3.7473005743232384,0.7810763261633946,4.057279273989436,True
10,13,3,3,pair-db762bdd900631dcf42a8683,balanced,large,joined_event_summary,n3-large-balanced-wide-global-dim-v1,1.8910057011638395,-0.44481042388981695,3.7089368424878915,0.7346808504064791,4.037777562851166,True
11,14,3,3,pair-01ddf50d4ea21aba67afdb87,balanced,large,user_segment_topk,n3-large-balanced-wide-global-dim-v1,1.8871192026001324,-0.4522513032312441,3.698958726094698,0.7309013973041566,3.9574156069267588,True
12,11,-1,1,pair-124d9899b3c80a5afbf700a2,apac_dominant,large,joined_event_summary,n3-large-apac-dominant-wide-global-dim-v1,1.8644896231378003,-0.33322701131594723,3.641390905154271,0.7937590213336815,4.085969105297731,True
13,8,-5,5,pair-18c9b6e6dcac6376f948a876,apac_dominant,large,joined_event_sample,n3-large-apac-dominant-wide-global-dim-v1,1.827817100779036,-0.1555805204741203,3.5499952660672145,0.8977710495748964,4.083144712654566,True
14,9,-5,5,pair-491c423a5609af8df41a8112,balanced,large,joined_event_sample,n3-large-balanced-wide-global-dim-v1,1.8074772919411122,-0.28896565045421596,3.5002968837798,0.8184886689935602,4.074828144834738,True
15,16,1,1,pair-8d9b2b4923472f3bd072c857,balanced,large,joined_user_value_topk,n3-large-balanced-wide-global-dim-v1,1.7653255744523066,-0.7076670652160795,3.3995070802058707,0.6123094842750595,3.997718171738158,True
16,15,-1,1,pair-e69d43c6319472b6a59787b7,apac_dominant,large,joined_user_value_topk,n3-large-apac-dominant-wide-global-dim-v1,1.64107866931472,-0.614559322375027,3.1189894424739055,0.6531293643511977,4.08703169318439,True
