query_run_id,region_ids,worker_task_region_ids,region_count,worker_task_region_count,regions_complete,worker_regions_complete,edge_ids,edge_source_region_ids,edge_destination_gac_ids,edge_count,edges_complete
20260801T232755Z-pressure-raw-v1-n3-colocation-holdou--9cdfe548ba4b--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T232915Z-pressure-raw-v1-n3-colocation-holdou--e2c894c9e7a3--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T233025Z-pressure-raw-v1-n3-colocation-holdou--283f4deb7403--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T233208Z-pressure-raw-v1-n3-colocation-holdou--ff54e308ba53--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T233422Z-pressure-raw-v1-n3-colocation-holdou--ef4b5fd257fb--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T233802Z-pressure-raw-v1-n3-colocation-holdou--33a6072dfabe--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T234147Z-pressure-raw-v1-n3-colocation-holdou--33a6072dfabe--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T234404Z-pressure-raw-v1-n3-colocation-holdou--1f8530565929--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T234744Z-pressure-raw-v1-n3-colocation-holdou--33a6072dfabe--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
20260801T235004Z-pressure-raw-v1-n3-colocation-holdou--ff54e308ba53--mit_k-100__tenant_modulus-1__user_id_max-2147483647,apac|eu|us,apac|eu|us,3,3,True,True,apac->eu-analytics-1|eu->eu-analytics-1|us->eu-analytics-1,apac|eu|us,eu-analytics-1,3,True
