logical_run_id,query_run_id,instance_id,template_id,logical_question_id,execution_strategy,expected_shape_tags,intervention_axis,dataset_id,runtime_config_id,attempt_number,remote_evidence_applicable,expected_regions,observed_regions,missing_region_count,unexpected_region_count,expected_remote_fragment_count,observed_remote_fragment_count,remote_fragment_count_matches,observed_worker_fragment_count,worker_expected_plan_count,worker_unavailable_plan_count,worker_count_mismatch_count,main_plan_count,main_plan_exists,applicable_slot_count,found_slot_count,evidence_completeness,region_identity_duplicate_rows,remote_sql_slot_duplicate_rows,worker_identity_duplicate_rows,plan_identity_duplicate_rows,region_context_mismatch_count,region_context_mismatch_fields,worker_context_mismatch_count,worker_context_mismatch_fields,orphan_worker_plan_count,worker_region_mismatch_count,remote_path_missing_count,worker_path_missing_count,applicability_ok,uniqueness_ok,consistency_ok,artifact_paths_ok,resolution_status,issue_count,issue_codes
repeatability-v1,20260724T223007Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,etl_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_etl_global_user_topk__lookback_days-14__limit_k-50,gac_etl_global_user_topk,global_user_topk,etl_materialized,"local_etl_read,non_colocated_join_materialized,topk",,pilot-balanced-v1,default,1,False,,,0,0,,0,True,0,0,0,0,1,True,1,1,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223022Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-1__limit_k-100,gac_fdw_multiregion_tenant_tier_left_join,tenant_tier_daily_join,multiregion_union,"fdw_remote_join,reference_join,outer_join,fdw_union_all,daily_group_by",,pilot-balanced-v1,default,1,True,"eu,us","eu,us",0,0,4.0,4,True,66,4,0,0,1,True,3,3,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223038Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-900__limit_k-10,gac_fdw_multiregion_daily_tenant_rollup,daily_tenant_rollup,multiregion_union,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",,pilot-balanced-v1,default,1,True,"eu,us","eu,us",0,0,2.0,2,True,64,2,0,0,1,True,3,3,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223052Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-3__min_value-0__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,daily_tenant_rollup,multiregion_union,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",,pilot-balanced-v1,default,1,True,"eu,us","eu,us",0,0,2.0,2,True,64,2,0,0,1,True,3,3,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223108Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,fdw_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_daily_rollup__lookback_days-14__min_value-900,gac_fdw_daily_rollup,daily_tenant_rollup,fdw_raw,"fdw_remote_scan,remote_aggregate_candidate,coordinator_fanin",,pilot-balanced-v1,default,1,True,eu,eu,0,0,1.0,1,True,32,1,0,0,1,True,2,2,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223122Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,fdw_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_daily_rollup__lookback_days-14__min_value-900,gac_fdw_daily_rollup,daily_tenant_rollup,fdw_raw,"fdw_remote_scan,remote_aggregate_candidate,coordinator_fanin",,pilot-balanced-v1,default,1,True,eu,eu,0,0,1.0,1,True,32,1,0,0,1,True,2,2,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223137Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,fdw_event_filter_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_filter_summary__lookback_days-3__min_value-0,gac_fdw_event_filter_summary,event_filter_summary,fdw_raw,"fdw_remote_scan,selective_filter,remote_aggregate_candidate",,pilot-balanced-v1,default,1,True,eu,eu,0,0,1.0,1,True,32,1,0,0,1,True,2,2,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223152Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_tenant_tier_left_join__lookback_days-14__limit_k-50,gac_fdw_tenant_tier_left_join,tenant_tier_daily_join,fdw_raw,"fdw_remote_join,reference_join,outer_join,group_by",,pilot-balanced-v1,default,1,True,eu,eu,0,0,2.0,2,True,33,2,0,0,1,True,2,2,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223207Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-500__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,daily_tenant_rollup,multiregion_union,"fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",,pilot-balanced-v1,default,1,True,"eu,us","eu,us",0,0,2.0,2,True,64,2,0,0,1,True,3,3,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
repeatability-v1,20260724T223223Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,multiregion_union,"fdw_union_all,tenant_filter,remote_pushdown_candidate",,pilot-balanced-v1,default,1,True,"eu,us","eu,us",0,0,2.0,2,True,2,2,0,0,1,True,3,3,1.0,0,0,0,0,0,,0,,0,0,0,0,True,True,True,True,resolved,0,
