condition_id,execution_strategy,dataset_profile_id,dataset_id,runtime_config_id,template_id,logical_question_id,repetition_count,display_state,display_state_count,fingerprint_count,dominant_fingerprint,dominant_fingerprint_share,mean_l1_to_condition_mean,max_l1_to_condition_mean,dominant_cluster,dominant_cluster_agreement,mean_membership_c0,mean_membership_c1,mean_membership_c2,mean_membership_c3,mean_top_membership,mean_top2_margin,elapsed_seconds_coefficient_of_variation,main_root_actual_total_time_ms_coefficient_of_variation,elapsed_seconds_robust_relative_dispersion,main_root_actual_total_time_ms_robust_relative_dispersion
cond-0310221dd4f525ebbd94,multiregion_union,pilot-balanced-v1,pilot-balanced-v1,default,gac_fdw_multiregion_event_full_scan_summary,event_full_scan_summary,3,weak_prototype_coverage,1,1,094f9b206593fc8f449ca13ae58a5a45b1938ea59ca04b5be8843c2d6e90c5ef,1.0,7.07366362151518e-08,1.0610495429497213e-07,2,1.0,0.21400981090319604,0.2470871893107042,0.2846519564704185,0.2542510433156812,0.2846519564704185,0.030400913154737308,0.02590364646225047,0.025187057828739156,0.035606248082037606,0.024363245630817564
cond-035b1b9f0c873b267eb4,etl_materialized,pilot-skew-heavy-v1,pilot-skew-heavy-v1,default,gac_etl_local_rollup,daily_tenant_rollup,3,clear_prototype,1,1,f1ba53ed73322ef2733f474b5b2fa23e41b4b3b6c61cefc906575d68089346b1,1.0,1.1102230246251565e-16,1.1102230246251565e-16,3,1.0,0.022525133091847085,0.06204423465929887,0.011085444351085758,0.9043451878977683,0.9043451878977683,0.8423009532384694,0.05931119508399232,0.07045648619072006,0.07962928911508785,0.10264153846153855
cond-06d0a73fabed411b37fc,fdw_raw,pilot-balanced-v1,pilot-balanced-v1,default,gac_fdw_event_full_scan_summary,event_full_scan_summary,3,weak_prototype_coverage,1,1,ffb63fa206350b47e8c842e31593a39da64d73d45189ec5733bb768632302488,1.0,2.7755575615628914e-17,2.7755575615628914e-17,2,1.0,0.20906792451522352,0.2445804461382203,0.29215056064227096,0.2542010687042851,0.29215056064227096,0.03794949193798586,0.14695503312832403,0.21099381581953525,0.20058968394437415,0.31119022422010395
cond-0754ed1d08faa440d5bb,multiregion_union,pilot-balanced-v1,pilot-balanced-v1,wan_100ms,gac_fdw_multiregion_event_raw_wide_sample,event_raw_wide_sample,3,clear_prototype,1,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0,4.429568129134138e-05,6.642497762856733e-05,1,1.0,0.11616898245894318,0.6640195677532974,0.02566412919248677,0.1941473205952727,0.6640195677532974,0.46987224715802467,0.00038817509185011247,0.00033092102770326825,0.00011188333853737447,0.00020593110253269868
cond-0815667b5c439756a642,multiregion_union,pilot-balanced-v1,pilot-balanced-v1,default,gac_fdw_multiregion_tenant_point_rollup,tenant_point_rollup,5,clear_prototype,1,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0,6.16674025084446e-06,1.0715570206965529e-05,2,1.0,0.005358641827231717,0.009952240925976165,0.9723607728133331,0.012328344433459138,0.9723607728133331,0.960032428379874,0.08128640753532419,0.03105570123683498,0.030288215661103894,0.023367272727272525
cond-109494aaf85c5b74f7dc,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,pilot-region-local-skew-asymmetric-medium-v1,wan_0ms,gac_fdw_multiregion_event_filter_summary,event_filter_summary,3,mixed_boundary,1,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0,5.0007653355425376e-05,7.501148003304092e-05,1,1.0,0.17552413390769753,0.41576067870164196,0.08353679304712086,0.3251783943435396,0.41576067870164196,0.09058228435810234,0.04340923504353689,0.049444384684150765,0.007697578612050188,0.005916900125240498
cond-129d83d07d674987662d,multiregion_union,pilot-region-imbalanced-v1,pilot-region-imbalanced-v1,default,gac_fdw_multiregion_global_user_join,global_user_topk,3,mixed_boundary,1,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0,0.00010577016770436469,0.00015615291397855224,0,1.0,0.4500458103366132,0.27204262924156225,0.09278192594967664,0.1851296344721479,0.4500458103366132,0.17800318109505092,0.023394191319679424,0.023796735537874633,0.02891621556777503,0.02958136379427306
cond-1661f99ef69859e5d461,fdw_raw,pilot-balanced-v1,pilot-balanced-v1,default,gac_fdw_daily_rollup,daily_tenant_rollup,3,mixed_boundary,1,1,a06d4c20eed1c4c4ed318c04134cf1cdb07eee489eccd4c3298e03039af1d8f2,1.0,0.0001630936042326392,0.00024464040634897266,3,1.0,0.17532271773042107,0.29034298073894244,0.1594315750232238,0.3749027265074127,0.3749027265074127,0.08455974576847025,0.011341214302329273,0.008181980254777349,0.015031721491057701,0.005200549475615808
cond-17b0613b129bd2b9c16c,multiregion_union,pilot-skew-heavy-v1,pilot-skew-heavy-v1,default,gac_fdw_multiregion_global_user_join,global_user_topk,3,clear_prototype,1,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0,3.233300167212322e-05,4.6101881032455105e-05,0,1.0,0.7056748282080436,0.18178593527342476,0.030025445835667273,0.08251379068286428,0.7056748282080436,0.5238888929346188,0.02486524122738187,0.02470205997774134,0.011052932979838496,0.01075089212801301
cond-1c1b79e78e1cf306ea1b,multiregion_union,pilot-region-imbalanced-v1,pilot-region-imbalanced-v1,work_mem_high,gac_fdw_multiregion_daily_tenant_rollup,daily_tenant_rollup,3,mixed_boundary,1,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0,8.148521087512443e-05,0.0001222278163127144,1,1.0,0.24626240511133055,0.36396188093320103,0.13345093783541956,0.25632477612004884,0.36396188093320103,0.1076371048131522,0.03392349331846424,0.037458006383899074,0.03279719509427622,0.033135696796333915
